ENTIRE_NAME,CTR_CD,CTR_TY,RELEASE_DATE,ORG,GSR_AD_OBS_C1M,GSR_AD_OBS_C1Y,GSR_AD_OBS_C3Y,GSR_AD_N_C1M,GSR_AD_N_C1Y,GSR_AD_N_C3Y,GSR_P0_OBS_C1M,GSR_P0_OBS_C1Y,GSR_P0_OBS_C3Y,GSR_P0_N_C1M,GSR_P0_N_C1Y,YEAR,MONTH
Geisinger Wyoming Valley Medical Ctr (PAWV) , PAWV , TX1 , 2014/03/20 , Kidney , 2 , 2 , 4 , 47 , 47 , 28 ,0,0,0,0,0,2013,1
Auxilio Mutuo Hospital (PRSJ) , PRSJ , TX1 , 2014/03/20 , Kidney , 5 , 11 , 24 , 184 , 184 , 214 , 0 , 0 , 1 , 12 , 12 ,2013,1
Rhode Island Hospital (RIRH) , RIRH , TX1 , 2014/03/20 , Kidney , 1 , 8 , 12 , 123 , 123 , 100 , 0 , 0 , 0 , 4 , 4 ,2013,1
Medical University of South Carolina (SCMU) , SCMU , TX1 , 2014/03/20 , Kidney , 8 , 30 , 58 , 419 , 419 , 385 , 0 , 0 , 5 , 20 , 20 ,2013,1
Avera McKennan Hospital (SDMK) , SDMK , TX1 , 2014/03/20 , Kidney , 2 , 7 , 9 , 76 , 76 , 71 , 0 , 0 , 0 , 1 , 1 ,2013,1
Sanford Health/USD Medical Center (SDSV) , SDSV , TX1 , 2014/03/20 , Kidney , 1 , 3 , 3 , 34 , 34 , 20 , 0 , 0 , 0 , 2 , 2 ,2013,1
Erlanger Medical Center (TNEM) , TNEM , TX1 , 2014/03/20 , Kidney , 0 , 2 , 5 , 31 , 31 , 31 ,0,0,0,0,0,2013,1
Johnson City Medical Center Hospital (TNJC) , TNJC , TX1 , 2014/03/20 , Kidney , 2 , 8 , 24 , 89 , 89 , 96 , 0 , 0 , 1 , 2 , 2 ,2013,1
Le Bonheur Children's Medical Center (TNLB) , TNLB , TX1 , 2014/03/20 , Kidney ,0,0,0,0,0,0, 2 , 2 , 1 , 12 , 12 ,2013,1
Methodist University Hospital (TNMH) , TNMH , TX1 , 2014/03/20 , Kidney , 4 , 12 , 38 , 233 , 233 , 251 , 0 , 0 ,0, 1 , 1 ,2013,1
Centennial Medical Center (TNPV) , TNPV , TX1 , 2014/03/20 , Kidney , 1 , 5 , 17 , 85 , 85 , 96 ,0,0,0,0,0,2013,1
Saint Thomas Hospital (TNST) , TNST , TX1 , 2014/03/20 , Kidney , 1 , 2 , 7 , 40 , 40 , 41 ,0,0,0,0,0,2013,1
University of Tennessee Medical Center at Knoxville (TNUK) , TNUK , TX1 , 2014/03/20 , Kidney , 2 , 7 , 15 , 85 , 85 , 65 , 0 , 0 , 1 , 8 , 8 ,2013,1
Vanderbilt University Medical Center (TNVU) , TNVU , TX1 , 2014/03/20 , Kidney , 5 , 18 , 45 , 360 , 360 , 320 , 0 , 0 , 3 , 20 , 20 ,2013,1
Nashville Veterans Administration Hospital (TNVU) , TNVU , VA1 , 2014/03/20 , Kidney , 1 , 3 , 6 , 58 , 58 , 49 ,0,0,0,0,0,2013,1
Baylor All Saints Medical Center (TXAS) , TXAS , TX1 , 2014/03/20 , Kidney , 10 , 22 , 39 , 245 , 245 , 235 ,0,0,0,0,0,2013,1
"University Hospital, University of Texas Health Science Center (TXBC) ", TXBC , TX1 , 2014/03/20 , Kidney , 1 , 7 , 21 , 136 , 136 , 133 , 0 , 0 , 4 , 4 , 4 ,2013,1
Cook Children's Medical Center (TXCF) , TXCF , TX1 , 2014/03/20 , Kidney , 0 , 0 ,0, 3 , 3 ,0, 1 , 1 , 4 , 16 , 16 ,2013,1
Children's Medical Center of Dallas (TXCM) , TXCM , TX1 , 2014/03/20 , Kidney , 0 , 2 , 1 , 10 , 10 , 3 , 1 , 2 , 7 , 47 , 47 ,2013,1
Driscoll Children's Hospital (TXDC) , TXDC , TX1 , 2014/03/20 , Kidney , 0 , 0 , 0 , 2 , 2 , 5 , 0 , 0 , 1 , 21 , 21 ,2013,1
North Austin Medical Center (TXDM) , TXDM , TX1 , 2014/03/20 , Kidney , 5 , 5 , 15 , 84 , 84 , 78 ,0,0,0,0,0,2013,1
Texas Health Harris Methodist Fort Worth Hospital (TXFW) , TXFW , TX1 , 2014/03/20 , Kidney , 2 , 7 , 22 , 77 , 77 , 109 ,0,0,0,0,0,2013,1
Medical City Dallas Hospital (TXHD) , TXHD , TX1 , 2014/03/20 , Kidney , 1 , 3 , 5 , 75 , 75 , 70 , 0 , 0 , 0 , 7 , 7 ,2013,1
"Memorial Hermann Hospital, University of Texas at Houston (TXHH) ", TXHH , TX1 , 2014/03/20 , Kidney , 6 , 11 , 45 , 118 , 118 , 190 , 0 , 0 , 1 , 8 , 8 ,2013,1
St Luke's Medical Center (TXHI) , TXHI , TX1 , 2014/03/20 , Kidney , 9 , 18 , 22 , 222 , 222 , 206 ,0,0, 0 ,0,0,2013,1
Methodist Specialty and Transplant Hospital (TXHS) , TXHS , TX1 , 2014/03/20 , Kidney , 11 , 32 , 37 , 563 , 563 , 369 , 0 , 1 , 1 , 5 , 5 ,2013,1
University of Texas Medical Branch at Galveston (TXJS) , TXJS , TX1 , 2014/03/20 , Kidney , 1 , 6 , 16 , 98 , 98 , 90 , 0 , 1 , 0 , 1 , 1 ,2013,1
University Medical Center (TXLG) , TXLG , TX1 , 2014/03/20 , Kidney , 3 , 8 , 11 , 77 , 77 , 67 ,0,0,0,0,0,2013,1
Covenant Medical Center (TXLM) , TXLM , TX1 , 2014/03/20 , Kidney ,0,0, 29 ,0,0, 103 ,0,0,0,0,0,2013,1
Las Palmas Medical Center (TXLP) , TXLP , TX1 , 2014/03/20 , Kidney , 0 , 1 ,0, 13 , 13 ,0,0,0,0,0,0,2013,1
McAllen Medical Center (TXMA) , TXMA , TX1 , 2014/03/20 , Kidney , 2 , 6 , 5 , 47 , 47 , 39 , 0 , 0 ,0, 1 , 1 ,2013,1
Methodist Dallas Medical Center (TXMC) , TXMC , TX1 , 2014/03/20 , Kidney , 2 , 8 , 16 , 139 , 139 , 174 ,0,0,0,0,0,2013,1
The Methodist Hospital (TXMH) , TXMH , TX1 , 2014/03/20 , Kidney , 2 , 14 , 27 , 437 , 437 , 262 ,0,0,0,0,0,2013,1
Parkland Memorial Hospital (TXPM) , TXPM , TX1 , 2014/03/20 , Kidney , 1 , 4 , 9 , 55 , 55 , 94 ,0,0,0,0,0,2013,1
Christus Santa Rosa Hospital Medical Center (TXRM) , TXRM , TX1 , 2014/03/20 , Kidney , 3 , 8 , 13 , 109 , 109 , 91 , 0 , 1 , 0 , 42 , 42 ,2013,1
Sierra Medical Center (TXSM) , TXSM , TX1 , 2014/03/20 , Kidney ,0,0, 0 ,0,0, 14 ,0,0,0,0,0,2013,1
University Hospital - St. Paul (TXSP) , TXSP , TX1 , 2014/03/20 , Kidney , 1 , 6 , 10 , 78 , 78 , 63 ,0,0,0,0,0,2013,1
Scott and White Memorial Hospital (TXSW) , TXSW , TX1 , 2014/03/20 , Kidney , 4 , 9 , 7 , 78 , 78 , 79 ,0,0, 0 ,0,0,2013,1
Texas Children's Hospital (TXTC) , TXTC , TX1 , 2014/03/20 , Kidney , 0 , 0 , 0 , 14 , 14 , 10 , 0 , 0 , 3 , 32 , 32 ,2013,1
Baylor University Medical Center (TXTX) , TXTX , TX1 , 2014/03/20 , Kidney , 5 , 16 , 40 , 249 , 249 , 300 ,0,0, 0 ,0,0,2013,1
East Texas Medical Center (TXTY) , TXTY , TX1 , 2014/03/20 , Kidney , 1 , 4 , 9 , 102 , 102 , 44 ,0,0,0,0,0,2013,1
Intermountain Medical Center (UTLD) , UTLD , TX1 , 2014/03/20 , Kidney , 2 , 12 , 14 , 229 , 229 , 204 ,0,0,0,0,0,2013,1
University of Utah Medical Center (UTMC) , UTMC , TX1 , 2014/03/20 , Kidney , 3 , 8 , 11 , 148 , 148 , 130 , 0 , 0 , 2 , 6 , 6 ,2013,1
Primary Children's Medical Center (UTPC) , UTPC , TX1 , 2014/03/20 , Kidney , 0 , 0 ,0, 1 , 1 ,0, 0 , 0 , 1 , 21 , 21 ,2013,1
Children's Hospital of the King's Daughters (VACH) , VACH , TX1 , 2014/03/20 , Kidney , 0 , 0 , 0 , 2 , 2 , 3 , 0 , 0 , 0 , 12 , 12 ,2013,1
Inova Fairfax Hospital (VAFH) , VAFH , TX1 , 2014/03/20 , Kidney , 7 , 17 , 36 , 246 , 246 , 224 , 1 , 1 , 1 , 9 , 9 ,2013,1
Henrico Doctors' Hospital (VAHD) , VAHD , TX1 , 2014/03/20 , Kidney , 3 , 6 , 11 , 118 , 118 , 116 ,0,0,0,0,0,2013,1
Medical College of Virginia Hospitals (VAMC) , VAMC , TX1 , 2014/03/20 , Kidney , 8 , 24 , 38 , 314 , 314 , 281 , 0 , 0 , 0 , 6 , 6 ,2013,1
Sentara Norfolk General Hospital (VANG) , VANG , TX1 , 2014/03/20 , Kidney , 0 , 8 , 34 , 152 , 152 , 187 ,0,0,0,0,0,2013,1
University of Virginia Health Sciences Center (VAUV) , VAUV , TX1 , 2014/03/20 , Kidney , 1 , 8 , 49 , 160 , 160 , 230 , 0 , 0 , 2 , 13 , 13 ,2013,1
Fletcher Allen Health Care (VTMC) , VTMC , TX1 , 2014/03/20 , Kidney , 1 , 5 , 10 , 80 , 80 , 78 , 0 , 0 , 1 , 4 , 4 ,2013,1
Seattle Children's Hospital (WACH) , WACH , TX1 , 2014/03/20 , Kidney , 0 , 1 , 1 , 10 , 10 , 8 , 0 , 0 , 6 , 50 , 50 ,2013,1
Sacred Heart Medical Center (WASH) , WASH , TX1 , 2014/03/20 , Kidney , 1 , 2 , 14 , 127 , 127 , 132 ,0,0, 0 ,0,0,2013,1
Swedish Medical Center (WASM) , WASM , TX1 , 2014/03/20 , Kidney , 1 , 3 , 12 , 214 , 214 , 184 ,0,0, 1 ,0,0,2013,1
University of Washington Medical Center (WAUW) , WAUW , TX1 , 2014/03/20 , Kidney , 1 , 5 , 19 , 249 , 249 , 230 ,0,0,0,0,0,2013,1
Virginia Mason Medical Center (WAVM) , WAVM , TX1 , 2014/03/20 , Kidney , 4 , 14 , 16 , 205 , 205 , 180 ,0,0,0,0,0,2013,1
Children's Hospital of Wisconsin (WICH) , WICH , TX1 , 2014/03/20 , Kidney , 0 , 0 ,0, 5 , 5 ,0, 0 , 0 , 1 , 17 , 17 ,2013,1
Froedtert Memorial Lutheran Hospital (WISE) , WISE , TX1 , 2014/03/20 , Kidney , 7 , 9 , 23 , 212 , 212 , 268 ,0,0,0,0,0,2013,1
Aurora St. Luke's Medical Center (WISL) , WISL , TX1 , 2014/03/20 , Kidney , 3 , 6 , 10 , 70 , 70 , 78 ,0,0,0,0,0,2013,1
University of Wisconsin Hospital and Clinics (WIUW) , WIUW , TX1 , 2014/03/20 , Kidney , 9 , 33 , 92 , 613 , 613 , 662 , 0 , 0 , 0 , 13 , 13 ,2013,1
Charleston Area Medical Center (WVCA) , WVCA , TX1 , 2014/03/20 , Kidney , 1 , 6 , 15 , 93 , 93 , 105 , 1 , 1 , 1 , 5 , 5 ,2013,1
Children's of Alabama (ALCH),ALCH,TX1,2019-01-06 18:00:00,KI,0,0,0,0,0,0,0,0,2,42,42,2018,11
University of Alabama Hospital (ALUA),ALUA,TX1,2019-01-06 18:00:00,KI,5,20,53,569,569,506,0,0,5,0,0,2018,11
Birmingham VA Medical Center (ALVA),ALVA,TX1,2019-01-06 18:00:00,KI,0,0,0,10,10,0,0,0,0,0,0,2018,11
Baptist Medical Center (ARBH),ARBH,TX1,2019-01-06 18:00:00,KI,1,1,4,17,17,71,0,0,0,0,0,2018,11
Arkansas Children's Hospital (ARCH),ARCH,TX1,2019-01-06 18:00:00,KI,0,0,0,0,0,0,0,0,3,13,13,2018,11
UAMS Medical Center (ARUA),ARUA,TX1,2019-01-06 18:00:00,KI,0,7,10,159,159,105,0,0,0,0,0,2018,11
Phoenix Children's Hospital (AZCH),AZCH,TX1,2019-01-06 18:00:00,KI,0,0,0,0,0,0,1,1,3,35,35,2018,11
Banner-University Medical Center Phoenix (AZGS),AZGS,TX1,2019-01-06 18:00:00,KI,5,25,37,394,394,341,0,0,1,0,0,2018,11
Mayo Clinic Hospital (AZMC),AZMC,TX1,2019-01-06 18:00:00,KI,10,35,59,734,734,641,0,0,0,1,1,2018,11
St. Joseph's Hospital and Medical Center (AZSJ),AZSJ,TX1,2019-01-06 18:00:00,KI,0,0,1,23,23,4,0,0,0,0,0,2018,11
Banner University Medical Center-Tucson (AZUA),AZUA,TX1,2019-01-06 18:00:00,KI,4,20,10,263,263,94,0,0,0,1,1,2018,11
Rady Children's Hospital and Health Center (CACH),CACH,TX1,2019-01-06 18:00:00,KI,0,0,0,0,0,0,0,0,1,21,21,2018,11
Childrens Hospital Los Angeles (CACL),CACL,TX1,2019-01-06 18:00:00,KI,0,0,0,1,1,0,0,0,5,35,35,2018,11
Cedars-Sinai Medical Center (CACS),CACS,TX1,2019-01-06 18:00:00,KI,9,21,43,450,450,412,0,0,1,17,17,2018,11
Scripps Green Hospital (CAGH),CAGH,TX1,2019-01-06 18:00:00,KI,0,0,12,139,139,152,0,0,0,0,0,2018,11
University of California Irvine Medical Center (CAIM),CAIM,TX1,2019-01-06 18:00:00,KI,1,1,12,125,125,118,0,0,0,0,0,2018,11
Harbor UCLA Medical Center (CALA),CALA,TX1,2019-01-06 18:00:00,KI,0,0,3,55,55,73,0,0,0,0,0,2018,11
Loma Linda University Medical Center (CALL),CALL,TX1,2019-01-06 18:00:00,KI,8,12,24,317,317,238,2,3,0,31,31,2018,11
UCSF Medical Center at Mission Bay (CAMB),CAMB,TX1,2019-01-06 18:00:00,KI,0,0,0,2,2,0,1,1,0,28,28,2018,11
Lucile Salter Packard Children's Hospital at Stanford (CAPC),CAPC,TX1,2019-01-06 18:00:00,KI,0,0,0,1,1,0,0,0,3,97,97,2018,11
California Pacific Medical Center (CAPM),CAPM,TX1,2019-01-06 18:00:00,KI,11,23,44,446,446,444,0,0,0,0,0,2018,11
Riverside Community Hospital (CARC),CARC,TX1,2019-01-06 18:00:00,KI,1,6,5,49,49,57,0,0,0,0,0,2018,11
University of California San Diego Medical Center (CASD),CASD,TX1,2019-01-06 18:00:00,KI,0,2,21,162,162,160,0,0,0,0,0,2018,11
University of California San Francisco Medical Center (CASF),CASF,TX1,2019-01-06 18:00:00,KI,9,20,62,762,762,784,0,0,3,6,6,2018,11
Sharp Memorial Hospital (CASH),CASH,TX1,2019-01-06 18:00:00,KI,2,5,11,152,152,171,0,0,0,0,0,2018,11
Saint Joseph Hospital (CASJ),CASJ,TX1,2019-01-06 18:00:00,KI,0,0,1,40,40,49,0,0,0,0,0,2018,11
University of California Davis Medical Center (CASM),CASM,TX1,2019-01-06 18:00:00,KI,25,52,72,798,798,792,0,0,3,20,20,2018,11
Stanford Health Care (CASU),CASU,TX1,2019-01-06 18:00:00,KI,0,4,14,242,242,211,0,0,0,0,0,2018,11
St. Vincent Medical Center (CASV),CASV,TX1,2019-01-06 18:00:00,KI,6,9,16,157,157,108,0,0,0,0,0,2018,11
University of California at Los Angeles Medical Center (CAUC),CAUC,TX1,2019-01-06 18:00:00,KI,6,18,55,778,778,644,0,0,6,40,40,2018,11
Keck Hospital of USC (CAUH),CAUH,TX1,2019-01-06 18:00:00,KI,7,16,21,344,344,289,0,0,0,0,0,2018,11
Children's Hospital Colorado (COCH),COCH,TX1,2019-01-06 18:00:00,KI,0,0,0,2,2,2,0,1,1,51,51,2018,11
Centura Porter Adventist Hospital (COPM),COPM,TX1,2019-01-06 18:00:00,KI,2,9,10,109,109,116,0,0,0,0,0,2018,11
Presbyterian/St Luke's Medical Center (COSL),COSL,TX1,2019-01-06 18:00:00,KI,3,4,7,150,150,146,0,0,0,0,0,2018,11
University of Colorado Hospital/Health Science Center (COUC),COUC,TX1,2019-01-06 18:00:00,KI,3,10,44,407,407,335,0,0,0,1,1,2018,11
Hartford Hospital (CTHH),CTHH,TX1,2019-01-06 18:00:00,KI,7,11,7,157,157,121,0,0,1,8,8,2018,11
Yale New Haven Hospital (CTYN),CTYN,TX1,2019-01-06 18:00:00,KI,3,8,24,293,293,255,0,0,0,16,16,2018,11
Children's National Medical Center (DCCH),DCCH,TX1,2019-01-06 18:00:00,KI,0,0,0,1,1,0,1,1,2,49,49,2018,11
Georgetown University Medical Center (DCGU),DCGU,TX1,2019-01-06 18:00:00,KI,8,23,25,481,481,209,0,0,1,3,3,2018,11
George Washington University Hospital (DCGW),DCGW,TX1,2019-01-06 18:00:00,KI,1,5,1,121,121,13,0,0,0,0,0,2018,11
Washington Hospital Center (DCWH),DCWH,TX1,2019-01-06 18:00:00,KI,0,0,37,0,0,177,0,0,0,0,0,2018,11
Walter Reed National Military Medical Center at Bethesda (DCWR),DCWR,TX1,2019-01-06 18:00:00,KI,1,3,2,108,108,62,0,0,0,0,0,2018,11
Alfred I DuPont Hospital for Children (DEAI),DEAI,TX1,2019-01-06 18:00:00,KI,0,0,0,1,1,0,0,0,0,13,13,2018,11
Christiana Care Health Services (DECC),DECC,TX1,2019-01-06 18:00:00,KI,0,0,16,63,63,85,0,0,0,0,0,2018,11
Cleveland Clinic Florida Weston (FLCC),FLCC,TX1,2019-01-06 18:00:00,KI,4,13,3,257,257,64,0,0,0,0,0,2018,11
Florida Hospital Medical Center (FLFH),FLFH,TX1,2019-01-06 18:00:00,KI,8,24,43,398,398,362,1,1,1,14,14,2018,11
Gulf Coast Medical Center (FLFR),FLFR,TX1,2019-01-06 18:00:00,KI,0,1,17,51,51,119,0,0,0,0,0,2018,11
Halifax Medical Center (FLHM),FLHM,TX1,2019-01-06 18:00:00,KI,0,2,1,29,29,24,0,0,0,0,0,2018,11
Jackson Memorial Hospital University of Miami School of Medicine (FLJM),FLJM,TX1,2019-01-06 18:00:00,KI,14,28,95,678,678,721,0,0,3,56,56,2018,11
Largo Medical Center (FLLM),FLLM,TX1,2019-01-06 18:00:00,KI,2,7,0,63,63,0,0,0,0,0,0,2018,11
Sacred Heart Hospital Pensacola (FLSH),FLSH,TX1,2019-01-06 18:00:00,KI,0,0,0,4,4,0,0,0,0,0,0,2018,11
Mayo Clinic Florida (FLSL),FLSL,TX1,2019-01-06 18:00:00,KI,5,20,40,361,361,323,0,0,0,0,0,2018,11
Tampa General Hospital (FLTG),FLTG,TX1,2019-01-06 18:00:00,KI,12,27,44,552,552,453,0,0,4,34,34,2018,11
UF Health Shands Hospital (FLUF),FLUF,TX1,2019-01-06 18:00:00,KI,6,9,21,171,171,177,0,0,5,23,23,2018,11
Children's Healthcare of Atlanta at Egleston (GAEH),GAEH,TX1,2019-01-06 18:00:00,KI,0,0,0,3,3,1,3,3,7,58,58,2018,11
Emory University Hospital (GAEM),GAEM,TX1,2019-01-06 18:00:00,KI,8,29,59,612,612,513,0,0,0,0,0,2018,11
"AU Medical Center, Inc. (GAMC)",GAMC,TX1,2019-01-06 18:00:00,KI,4,7,29,153,153,165,0,0,2,8,8,2018,11
Piedmont Hospital (GAPH),GAPH,TX1,2019-01-06 18:00:00,KI,6,11,33,359,359,343,0,0,0,0,0,2018,11
The Queen's Medical Center (HIQM),HIQM,TX1,2019-01-06 18:00:00,KI,0,3,16,115,115,129,0,0,0,2,2,2018,11
Iowa Methodist Medical Center (IAIM),IAIM,TX1,2019-01-06 18:00:00,KI,5,9,20,163,163,124,0,0,0,0,0,2018,11
University of Iowa Hospitals and Clinics Transplant Programs (IAIV),IAIV,TX1,2019-01-06 18:00:00,KI,1,3,21,157,157,155,0,0,0,16,16,2018,11
Mercy Medical Center-Des Moines (IAMH),IAMH,TX1,2019-01-06 18:00:00,KI,1,4,18,68,68,85,0,0,0,0,0,2018,11
The Iowa City VA Health Care System (IAVA),IAVA,TX1,2019-01-06 18:00:00,KI,0,0,17,51,51,86,0,0,0,0,0,2018,11
Advocate Christ Medical Center (ILCH),ILCH,TX1,2019-01-06 18:00:00,KI,0,1,0,41,41,23,0,0,0,0,0,2018,11
Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM),ILCM,TX1,2019-01-06 18:00:00,KI,0,0,0,2,2,0,2,2,5,39,39,2018,11
Loyola University Medical Center (ILLU),ILLU,TX1,2019-01-06 18:00:00,KI,1,4,26,177,177,157,0,0,0,3,3,2018,11
Memorial Medical Center (ILMM),ILMM,TX1,2019-01-06 18:00:00,KI,2,2,18,50,50,65,0,0,0,0,0,2018,11
Northwestern Memorial Hospital (ILNM),ILNM,TX1,2019-01-06 18:00:00,KI,6,21,44,525,525,430,0,0,0,0,0,2018,11
Rush University Medical Center (ILPL),ILPL,TX1,2019-01-06 18:00:00,KI,1,7,13,237,237,202,0,0,0,4,4,2018,11
OSF Saint Francis Medical Center (ILSF),ILSF,TX1,2019-01-06 18:00:00,KI,0,2,15,93,93,97,0,0,1,2,2,2018,11
University of Chicago Medical Center (ILUC),ILUC,TX1,2019-01-06 18:00:00,KI,4,10,10,148,148,127,0,0,1,10,10,2018,11
University of Illinois Medical Center (ILUI),ILUI,TX1,2019-01-06 18:00:00,KI,3,10,37,260,260,257,0,0,2,6,6,2018,11
Indiana University Health (INIM),INIM,TX1,2019-01-06 18:00:00,KI,10,16,33,419,419,419,0,0,4,19,19,2018,11
Lutheran Hospital of Fort Wayne (INLH),INLH,TX1,2019-01-06 18:00:00,KI,1,5,15,61,61,82,0,0,0,0,0,2018,11
St Vincent Hospital and Health Care Center (INSV),INSV,TX1,2019-01-06 18:00:00,KI,0,1,12,124,124,108,0,0,0,1,1,2018,11
University of Kansas Hospital (KSUK),KSUK,TX1,2019-01-06 18:00:00,KI,5,11,32,274,274,286,0,0,0,0,0,2018,11
Jewish Hospital (KYJH),KYJH,TX1,2019-01-06 18:00:00,KI,0,10,18,177,177,125,0,0,0,0,0,2018,11
Norton Children's Hospital (KYKC),KYKC,TX1,2019-01-06 18:00:00,KI,0,0,0,1,1,0,0,1,2,10,10,2018,11
University of Kentucky Medical Center (KYUK),KYUK,TX1,2019-01-06 18:00:00,KI,2,6,24,189,189,195,0,0,2,7,7,2018,11
Children's Hospital (LACH),LACH,TX1,2019-01-06 18:00:00,KI,0,0,0,1,1,0,0,0,4,16,16,2018,11
Ochsner Foundation Hospital (LAOF),LAOF,TX1,2019-01-06 18:00:00,KI,5,10,28,266,266,278,0,0,1,1,1,2018,11
Tulane Medical Center (LATU),LATU,TX1,2019-01-06 18:00:00,KI,2,6,30,153,153,156,0,0,3,11,11,2018,11
Willis-Knighton Medical Center (LAWK),LAWK,TX1,2019-01-06 18:00:00,KI,1,6,10,111,111,74,0,0,0,0,0,2018,11
Beth Israel Deaconess Medical Center (MABI),MABI,TX1,2019-01-06 18:00:00,KI,2,5,12,130,130,144,0,0,0,0,0,2018,11
Baystate Medical Center (MABS),MABS,TX1,2019-01-06 18:00:00,KI,2,3,8,68,68,72,0,0,0,0,0,2018,11
Boston Medical Center (MABU),MABU,TX1,2019-01-06 18:00:00,KI,2,6,11,110,110,83,0,0,0,0,0,2018,11
Boston Children's Hospital (MACH),MACH,TX1,2019-01-06 18:00:00,KI,0,0,0,3,3,6,0,0,3,65,65,2018,11
Lahey Clinic Medical Center (MALC),MALC,TX1,2019-01-06 18:00:00,KI,1,1,14,74,74,84,0,0,0,0,0,2018,11
Massachusetts General Hospital (MAMG),MAMG,TX1,2019-01-06 18:00:00,KI,2,7,23,288,288,251,0,1,0,11,11,2018,11
Tufts Medical Center (MANM),MANM,TX1,2019-01-06 18:00:00,KI,3,3,3,96,96,71,0,0,0,1,1,2018,11
Brigham and Women's Hospital (MAPB),MAPB,TX1,2019-01-06 18:00:00,KI,2,9,12,172,172,146,0,0,0,0,0,2018,11
UMass Memorial Medical Center (MAUM),MAUM,TX1,2019-01-06 18:00:00,KI,1,1,13,118,118,114,0,0,0,0,0,2018,11
Johns Hopkins Hospital (MDJH),MDJH,TX1,2019-01-06 18:00:00,KI,9,21,74,469,469,554,0,0,2,17,17,2018,11
University of Maryland Medical System (MDUM),MDUM,TX1,2019-01-06 18:00:00,KI,12,44,104,523,523,622,0,0,1,6,6,2018,11
Maine Medical Center (MEMC),MEMC,TX1,2019-01-06 18:00:00,KI,1,3,12,110,110,109,0,0,1,2,2,2018,11
William Beaumont Hospital (MIBH),MIBH,TX1,2019-01-06 18:00:00,KI,6,10,30,212,212,193,0,0,0,0,0,2018,11
Children's Hospital of Michigan (MICH),MICH,TX1,2019-01-06 18:00:00,KI,0,0,1,3,3,1,0,0,2,15,15,2018,11
Helen DeVos Children's Hospital (MIDV),MIDV,TX1,2019-01-06 18:00:00,KI,0,0,0,0,0,0,1,1,0,14,14,2018,11
Henry Ford Hospital (MIHF),MIHF,TX1,2019-01-06 18:00:00,KI,2,10,32,272,272,263,0,0,0,1,1,2018,11
Harper University Hospital Detroit Medical Center (MIHH),MIHH,TX1,2019-01-06 18:00:00,KI,1,4,7,80,80,52,0,0,0,0,0,2018,11
St John Hospital and Medical Center (MISJ),MISJ,TX1,2019-01-06 18:00:00,KI,1,3,11,95,95,110,0,0,0,1,1,2018,11
Mercy Health Saint Marys (MISM,MISM,TX1,2019-01-06 18:00:00,KI,6,18,25,283,283,211,0,0,0,0,0,2018,11
University of Michigan Medical Center (MIUM),MIUM,TX1,2019-01-06 18:00:00,KI,6,13,58,385,385,472,1,1,2,29,29,2018,11
Abbott Northwestern Hospital (MNAN),MNAN,TX1,2019-01-06 18:00:00,KI,1,1,4,83,83,64,0,0,0,0,0,2018,11
Hennepin County Medical Center (MNHC),MNHC,TX1,2019-01-06 18:00:00,KI,1,3,7,120,120,92,0,0,0,0,0,2018,11
Rochester Methodist Hospital (Mayo Clinic) (MNMC),MNMC,TX1,2019-01-06 18:00:00,KI,4,8,21,486,486,365,0,0,0,0,0,2018,11
Saint Marys Hospital (Mayo Clinic) (MNSM),MNSM,TX1,2019-01-06 18:00:00,KI,0,0,0,3,3,0,0,0,0,12,12,2018,11
"University of Minnesota Medical Center, Fairview (MNUM)",MNUM,TX1,2019-01-06 18:00:00,KI,7,14,23,419,419,375,1,2,3,38,38,2018,11
Barnes-Jewish Hospital (MOBH),MOBH,TX1,2019-01-06 18:00:00,KI,10,18,54,557,557,514,0,0,0,0,0,2018,11
Cardinal Glennon Children's Hospital (MOCG),MOCG,TX1,2019-01-06 18:00:00,KI,0,0,0,0,0,0,0,0,1,11,11,2018,11
St. Louis Children's Hospital (MOCH),MOCH,TX1,2019-01-06 18:00:00,KI,0,0,0,0,0,3,0,1,3,16,16,2018,11
Children's Mercy Hospital (MOCM),MOCM,TX1,2019-01-06 18:00:00,KI,0,0,0,1,1,3,0,0,0,44,44,2018,11
St Luke's Hospital of Kansas City (MOLH),MOLH,TX1,2019-01-06 18:00:00,KI,1,5,3,150,150,68,0,0,0,0,0,2018,11
Research Medical Center (MORH),MORH,TX1,2019-01-06 18:00:00,KI,3,7,17,162,162,132,0,0,0,0,0,2018,11
SSM Health Saint Louis University Hospital (MOSL),MOSL,TX1,2019-01-06 18:00:00,KI,1,3,8,122,122,86,0,0,0,0,0,2018,11
University of Missouri Hospital and Clinics (MOUM),MOUM,TX1,2019-01-06 18:00:00,KI,2,5,4,48,48,32,0,0,1,7,7,2018,11
University of Mississippi Medical Center (MSUM),MSUM,TX1,2019-01-06 18:00:00,KI,5,20,35,290,290,213,0,0,1,4,4,2018,11
Wake Forest Baptist Medical Center (NCBG),NCBG,TX1,2019-01-06 18:00:00,KI,18,26,56,384,384,374,0,0,1,13,13,2018,11
Carolinas Medical Center (NCCM),NCCM,TX1,2019-01-06 18:00:00,KI,3,7,16,241,241,236,0,0,2,16,16,2018,11
Duke University Hospital (NCDU),NCDU,TX1,2019-01-06 18:00:00,KI,12,20,28,354,354,257,0,0,0,12,12,2018,11
