,ENTIRE_NAME,CTR_CD,CTR_TY,RELEASE_DATE,ORG,RCC_A10_C,RCC_A17_C,RCC_A2_C,RCC_A34_C,RCC_A49_C,RCC_A64_C,RCC_A65P_C,RCC_AU_C,RCC_BAB_C,RCC_BA_C,RCC_BB_C,RCC_BO_C,RCC_BMI20_C,RCC_BMI25_C,RCC_BMI30_C,RCC_BMI31P_C,RCC_BMINR_C,RCC_BU_C,RCC_GF_C,RCC_GM_C,RCC_GU_C,RCC_ICU_C,RCC_HOSPNR_C,RCC_HOSP_C,RCC_PTXN_C,RCC_PTXU_C,RCC_PTXY_C,RCC_NOTHOSP_C,RCC_N_C,YEAR,MONTH,D_OR_L
198,North Austin Medical Center (TXDM) , TXDM , TX1 , 2016/06/16 , Kidney ,0.0,0.0,0.0,28.6,35.7,21.4,14.3,0.0,7.1,42.9,21.4,28.6,7.1,28.6,28.6,35.7,0.0,0.0,28.6,71.4,0.0,0.0,78.6,0.0,64.3,0.0,35.7,21.4,14,2016,6,DECEASED
199,Texas Health Harris Methodist Fort Worth Hospital (TXFW) , TXFW , TX1 , 2016/06/16 , Kidney ,0.0,0.0,0.0,0.0,14.3,42.9,42.9,0.0,0.0,57.1,14.3,28.6,0.0,14.3,28.6,57.1,0.0,0.0,42.9,57.1,0.0,0.0,100.0,0.0,85.7,0.0,14.3,0.0,7,2016,6,DECEASED
200,Medical City Dallas Hospital (TXHD) , TXHD , TX1 , 2016/06/16 , Kidney ,0.0,4.2,0.0,20.8,20.8,37.5,16.7,0.0,12.5,29.2,8.3,50.0,16.7,41.7,29.2,12.5,0.0,0.0,41.7,58.3,0.0,0.0,91.7,0.0,70.8,0.0,29.2,8.3,24,2016,6,DECEASED
201,"Memorial Hermann Hospital, University of Texas at Houston (TXHH) ", TXHH , TX1 , 2016/06/16 , Kidney ,2.2,3.3,0.0,12.2,23.3,44.4,14.4,0.0,4.4,31.1,10.0,54.4,10.0,34.4,32.2,23.3,0.0,0.0,41.1,58.9,0.0,0.0,98.9,0.0,82.2,0.0,17.8,1.1,90,2016,6,DECEASED
202,CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI) , TXHI , TX1 , 2016/06/16 , Kidney ,0.0,0.0,0.0,13.4,31.7,45.1,9.8,0.0,8.5,31.7,13.4,46.3,9.8,22.0,28.0,40.2,0.0,0.0,36.6,63.4,0.0,0.0,100.0,0.0,80.5,0.0,19.5,0.0,82,2016,6,DECEASED
203,Methodist Specialty and Transplant Hospital (TXHS) , TXHS , TX1 , 2016/06/16 , Kidney ,0.0,0.7,0.0,8.0,32.7,47.3,11.3,0.0,4.0,37.3,8.7,50.0,5.3,28.0,27.3,35.3,4.0,0.0,52.7,47.3,0.0,0.0,100.0,0.0,83.3,0.0,16.7,0.0,150,2016,6,DECEASED
204,University of Texas Medical Branch at Galveston (TXJS) , TXJS , TX1 , 2016/06/16 , Kidney ,0.0,0.0,0.0,20.7,25.9,37.9,15.5,0.0,3.4,29.3,20.7,46.6,12.1,27.6,39.7,20.7,0.0,0.0,39.7,60.3,0.0,0.0,89.7,0.0,70.7,0.0,29.3,10.3,58,2016,6,DECEASED
205,Las Palmas Medical Center (TXLP) , TXLP , TX1 , 2016/06/16 , Kidney ,0.0,0.0,0.0,14.3,25.0,42.9,17.9,0.0,3.6,32.1,3.6,60.7,14.3,39.3,21.4,25.0,0.0,0.0,39.3,60.7,0.0,10.7,82.1,0.0,96.4,0.0,3.6,7.1,28,2016,6,DECEASED
206,McAllen Medical Center (TXMA) , TXMA , TX1 , 2016/06/16 , Kidney ,0.0,0.0,0.0,33.3,66.7,0.0,0.0,0.0,0.0,33.3,0.0,66.7,33.3,66.7,0.0,0.0,0.0,0.0,33.3,66.7,0.0,0.0,33.3,0.0,66.7,0.0,33.3,66.7,3,2016,6,DECEASED
207,Methodist Dallas Medical Center (TXMC) , TXMC , TX1 , 2016/06/16 , Kidney ,0.0,0.0,0.0,10.7,30.4,46.4,12.5,0.0,1.8,39.3,5.4,53.6,5.4,33.9,26.8,33.9,0.0,0.0,37.5,62.5,0.0,0.0,94.6,0.0,75.0,0.0,25.0,5.4,56,2016,6,DECEASED
208,The Methodist Hospital (TXMH) , TXMH , TX1 , 2016/06/16 , Kidney ,0.0,0.0,0.0,15.2,43.0,31.6,10.1,0.0,7.6,27.8,16.5,48.1,12.7,39.2,21.5,26.6,0.0,0.0,44.3,55.7,0.0,0.0,100.0,0.0,86.1,0.0,13.9,0.0,79,2016,6,DECEASED
209,Plaza Medical Center of Fort Worth (TXPL) , TXPL , TX1 , 2016/06/16 , Kidney ,0.0,0.0,0.0,11.1,27.8,37.0,24.1,0.0,1.9,38.9,9.3,50.0,7.4,24.1,37.0,31.5,0.0,0.0,37.0,63.0,0.0,0.0,92.6,0.0,96.3,0.0,3.7,7.4,54,2016,6,DECEASED
210,Parkland Health and Hospital System (TXPM) , TXPM , TX1 , 2016/06/16 , Kidney ,0.0,0.0,0.0,0.0,33.3,66.7,0.0,0.0,0.0,55.6,0.0,44.4,44.4,33.3,11.1,11.1,0.0,0.0,55.6,44.4,0.0,0.0,100.0,0.0,88.9,0.0,11.1,0.0,9,2016,6,DECEASED
211,Christus Santa Rosa Hospital Medical Center (TXRM) , TXRM , TX1 , 2016/06/16 , Kidney ,0.0,0.0,0.0,0.0,30.0,50.0,20.0,0.0,10.0,60.0,10.0,20.0,10.0,30.0,30.0,30.0,0.0,0.0,50.0,50.0,0.0,0.0,90.0,0.0,90.0,0.0,10.0,10.0,10,2016,6,DECEASED
212,UT Southwestern Medical Center/ (TXSP) , TXSP , TX1 , 2016/06/16 , Kidney ,0.0,0.0,0.0,5.1,30.8,38.5,25.6,0.0,7.7,20.5,12.8,59.0,7.7,20.5,41.0,28.2,2.6,0.0,30.8,69.2,0.0,0.0,97.4,0.0,94.9,0.0,5.1,2.6,39,2016,6,DECEASED
213,Scott and White Memorial Hospital (TXSW) , TXSW , TX1 , 2016/06/16 , Kidney ,0.0,0.0,0.0,13.8,31.0,37.9,17.2,0.0,3.4,13.8,13.8,69.0,13.8,27.6,37.9,20.7,0.0,0.0,55.2,44.8,0.0,0.0,93.1,0.0,65.5,0.0,34.5,6.9,29,2016,6,DECEASED
214,Texas Children's Hospital (TXTC) , TXTC , TX1 , 2016/06/16 , Kidney ,16.7,61.1,0.0,22.2,0.0,0.0,0.0,0.0,0.0,11.1,5.6,83.3,55.6,44.4,0.0,0.0,0.0,0.0,33.3,66.7,0.0,0.0,77.8,0.0,94.4,0.0,5.6,22.2,18,2016,6,DECEASED
215,Baylor University Medical Center (TXTX) , TXTX , TX1 , 2016/06/16 , Kidney ,0.0,0.0,0.0,13.4,25.8,46.4,14.4,0.0,8.2,36.1,17.5,38.1,8.2,28.9,32.0,30.9,0.0,0.0,42.3,57.7,0.0,0.0,92.8,0.0,85.6,0.0,14.4,7.2,97,2016,6,DECEASED
216,East Texas Medical Center (TXTY) , TXTY , TX1 , 2016/06/16 , Kidney ,0.0,0.0,0.0,18.8,37.5,31.3,12.5,0.0,0.0,21.9,28.1,50.0,12.5,31.3,25.0,31.3,0.0,0.0,43.8,56.3,0.0,0.0,71.9,0.0,84.4,0.0,15.6,28.1,32,2016,6,DECEASED
217,Michael E. DeBakey VA Medical Center (TXVA) , TXVA , TX1 , 2016/06/16 , Kidney ,0.0,0.0,0.0,0.0,16.7,33.3,50.0,0.0,16.7,66.7,0.0,16.7,16.7,0.0,66.7,16.7,0.0,0.0,0.0,100.0,0.0,0.0,66.7,0.0,83.3,0.0,16.7,33.3,6,2016,6,DECEASED
218,Intermountain Medical Center (UTLD) , UTLD , TX1 , 2016/06/16 , Kidney ,0.0,0.0,0.0,9.4,34.4,37.5,18.8,0.0,6.3,31.3,15.6,46.9,12.5,34.4,31.3,21.9,0.0,0.0,34.4,65.6,0.0,0.0,100.0,0.0,87.5,0.0,12.5,0.0,32,2016,6,DECEASED
219,University of Utah Medical Center (UTMC) , UTMC , TX1 , 2016/06/16 , Kidney ,0.0,0.0,0.0,21.1,25.0,35.5,18.4,0.0,13.2,32.9,3.9,50.0,9.2,30.3,31.6,28.9,0.0,0.0,35.5,64.5,0.0,1.3,89.5,0.0,76.3,0.0,23.7,9.2,76,2016,6,DECEASED
220,Primary Children's Hospital (UTPC) , UTPC , TX1 , 2016/06/16 , Kidney ,42.9,42.9,0.0,14.3,0.0,0.0,0.0,0.0,0.0,42.9,0.0,57.1,85.7,14.3,0.0,0.0,0.0,0.0,42.9,57.1,0.0,0.0,57.1,0.0,100.0,0.0,0.0,42.9,7,2016,6,DECEASED
221,Inova Fairfax Hospital (VAFH) , VAFH , TX1 , 2016/06/16 , Kidney ,0.0,0.0,0.0,15.0,15.0,50.0,20.0,0.0,25.0,20.0,20.0,35.0,15.0,40.0,22.5,22.5,0.0,0.0,32.5,67.5,0.0,0.0,92.5,0.0,85.0,0.0,15.0,7.5,40,2016,6,DECEASED
222,Henrico Doctors' Hospital (VAHD) , VAHD , TX1 , 2016/06/16 , Kidney ,0.0,0.0,0.0,13.3,33.3,33.3,20.0,0.0,0.0,33.3,26.7,40.0,0.0,46.7,53.3,0.0,0.0,0.0,33.3,66.7,0.0,0.0,86.7,0.0,66.7,0.0,33.3,13.3,15,2016,6,DECEASED
223,Medical College of Virginia Hospitals (VAMC) , VAMC , TX1 , 2016/06/16 , Kidney ,0.8,0.8,0.0,16.0,27.7,37.8,16.8,0.0,4.2,25.2,15.1,55.5,5.9,21.0,38.7,34.5,0.0,0.0,31.1,68.9,0.0,0.0,84.9,0.0,79.8,0.0,20.2,15.1,119,2016,6,DECEASED
224,Sentara Norfolk General Hospital (VANG) , VANG , TX1 , 2016/06/16 , Kidney ,0.0,0.0,0.0,4.7,32.6,55.8,7.0,0.0,0.0,20.9,23.3,55.8,7.0,34.9,23.3,32.6,2.3,0.0,44.2,55.8,0.0,0.0,93.0,0.0,72.1,0.0,27.9,7.0,43,2016,6,DECEASED
225,University of Virginia Health Sciences Center (VAUV) , VAUV , TX1 , 2016/06/16 , Kidney ,1.5,4.5,0.0,13.4,23.9,38.8,17.9,0.0,3.0,34.3,16.4,46.3,6.0,29.9,22.4,40.3,1.5,0.0,31.3,68.7,0.0,0.0,95.5,0.0,85.1,0.0,14.9,4.5,67,2016,6,DECEASED
226,The University of Vermont Medical Center (VTMC) , VTMC , TX1 , 2016/06/16 , Kidney ,0.0,0.0,0.0,18.8,18.8,43.8,18.8,0.0,0.0,50.0,18.8,31.3,6.3,18.8,43.8,31.3,0.0,0.0,43.8,56.3,0.0,0.0,93.8,0.0,93.8,0.0,6.3,6.3,16,2016,6,DECEASED
227,Seattle Children's Hospital (WACH) , WACH , TX1 , 2016/06/16 , Kidney ,50.0,41.7,0.0,8.3,0.0,0.0,0.0,0.0,0.0,25.0,33.3,41.7,75.0,25.0,0.0,0.0,0.0,0.0,66.7,33.3,0.0,0.0,91.7,0.0,83.3,0.0,16.7,8.3,12,2016,6,DECEASED
228,Providence Sacred Heart Medical Center & Children's Hospital (WASH) , WASH , TX1 , 2016/06/16 , Kidney ,0.0,0.0,0.0,16.2,32.4,27.0,24.3,0.0,0.0,35.1,5.4,59.5,10.8,45.9,21.6,21.6,0.0,0.0,24.3,75.7,0.0,0.0,81.1,0.0,83.8,0.0,16.2,18.9,37,2016,6,DECEASED
229,Swedish Medical Center (WASM) , WASM , TX1 , 2016/06/16 , Kidney ,0.0,0.0,0.0,5.6,29.6,37.0,27.8,0.0,7.4,31.5,11.1,50.0,13.0,24.1,27.8,35.2,0.0,0.0,38.9,61.1,0.0,0.0,100.0,0.0,85.2,0.0,14.8,0.0,54,2016,6,DECEASED
230,University of Washington Medical Center (WAUW) , WAUW , TX1 , 2016/06/16 , Kidney ,0.0,0.0,0.0,15.7,33.7,27.0,23.6,0.0,7.9,37.1,12.4,42.7,9.0,33.7,39.3,18.0,0.0,0.0,36.0,64.0,0.0,0.0,87.6,1.1,88.8,0.0,11.2,11.2,89,2016,6,DECEASED
231,Virginia Mason Medical Center (WAVM) , WAVM , TX1 , 2016/06/16 , Kidney ,0.0,0.0,0.0,14.5,18.8,30.4,36.2,0.0,2.9,37.7,21.7,37.7,13.0,39.1,13.0,30.4,4.3,0.0,49.3,50.7,0.0,0.0,78.3,0.0,88.4,0.0,11.6,21.7,69,2016,6,DECEASED
232,Children's Hospital of Wisconsin (WICH) , WICH , TX1 , 2016/06/16 , Kidney ,75.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,75.0,100.0,0.0,0.0,0.0,0.0,0.0,25.0,75.0,0.0,0.0,75.0,0.0,100.0,0.0,0.0,25.0,4,2016,6,DECEASED
233,Froedtert Memorial Lutheran Hospital (WISE) , WISE , TX1 , 2016/06/16 , Kidney ,0.0,0.0,0.0,15.2,23.9,43.5,17.4,0.0,10.9,32.6,13.0,43.5,6.5,23.9,34.8,34.8,0.0,0.0,43.5,56.5,0.0,0.0,67.4,0.0,76.1,0.0,23.9,32.6,46,2016,6,DECEASED
234,Aurora St. Luke's Medical Center (WISL) , WISL , TX1 , 2016/06/16 , Kidney ,0.0,0.0,0.0,0.0,45.5,40.9,13.6,0.0,13.6,18.2,27.3,40.9,4.5,36.4,40.9,18.2,0.0,0.0,22.7,77.3,0.0,0.0,95.5,0.0,100.0,0.0,0.0,4.5,22,2016,6,DECEASED
235,University of Wisconsin Hospital and Clinics (WIUW) , WIUW , TX1 , 2016/06/16 , Kidney ,0.0,1.3,0.0,9.7,22.1,50.6,16.2,0.0,9.7,39.6,7.1,43.5,10.4,25.3,26.0,38.3,0.0,0.0,37.0,63.0,0.0,0.6,78.6,0.0,79.9,0.0,20.1,20.8,154,2016,6,DECEASED
236,Charleston Area Medical Center (WVCA) , WVCA , TX1 , 2016/06/16 , Kidney ,0.0,4.5,0.0,9.1,22.7,50.0,13.6,0.0,9.1,36.4,13.6,40.9,0.0,18.2,27.3,54.5,0.0,0.0,36.4,63.6,0.0,0.0,81.8,0.0,81.8,0.0,18.2,18.2,22,2016,6,DECEASED
0,Hartford Hospital (CTHH),CTHH,TX1,2017-01-04 18:00:00,KI,3.4482758621,3.4482758621,0.0,20.689655172,6.8965517241,31.034482759,34.482758621,0.0,3.4482758621,34.482758621,24.137931034,37.931034483,13.793103448,27.586206897,34.482758621,17.24137931,6.8965517241,0.0,31.034482759,68.965517241,0.0,0.0,100.0,0.0,82.75862069,0.0,17.24137931,0.0,29,2017,1,DECEASED
1,Yale New Haven Hospital (CTYN),CTYN,TX1,2017-01-04 18:00:00,KI,3.5714285714,3.5714285714,1.7857142857,10.714285714,25.0,39.285714286,16.071428571,0.0,5.3571428571,32.142857143,21.428571429,41.071428571,12.5,26.785714286,30.357142857,30.357142857,0.0,0.0,30.357142857,69.642857143,0.0,0.0,100.0,0.0,76.785714286,0.0,23.214285714,0.0,56,2017,1,DECEASED
2,Beth Israel Deaconess Medical Center (MABI),MABI,TX1,2017-01-04 18:00:00,KI,0.0,0.0,0.0,10.526315789,15.789473684,50.0,23.684210526,0.0,2.6315789474,44.736842105,15.789473684,36.842105263,2.6315789474,39.473684211,23.684210526,31.578947368,2.6315789474,0.0,26.315789474,73.684210526,0.0,0.0,100.0,0.0,84.210526316,0.0,15.789473684,0.0,38,2017,1,DECEASED
3,Baystate Medical Center (MABS),MABS,TX1,2017-01-04 18:00:00,KI,0.0,0.0,0.0,20.0,40.0,40.0,0.0,0.0,0.0,80.0,20.0,0.0,20.0,20.0,40.0,20.0,0.0,0.0,80.0,20.0,0.0,0.0,100.0,0.0,80.0,0.0,20.0,0.0,5,2017,1,DECEASED
4,Boston Medical Center (MABU),MABU,TX1,2017-01-04 18:00:00,KI,0.0,0.0,0.0,13.513513514,24.324324324,43.243243243,18.918918919,0.0,2.7027027027,48.648648649,13.513513514,35.135135135,0.0,43.243243243,37.837837838,18.918918919,0.0,0.0,37.837837838,62.162162162,0.0,0.0,100.0,0.0,89.189189189,0.0,10.810810811,0.0,37,2017,1,DECEASED
5,Boston Children's Hospital (MACH),MACH,TX1,2017-01-04 18:00:00,KI,30.0,30.0,0.0,40.0,0.0,0.0,0.0,0.0,10.0,10.0,20.0,60.0,70.0,20.0,10.0,0.0,0.0,0.0,40.0,60.0,0.0,0.0,100.0,0.0,90.0,0.0,10.0,0.0,10,2017,1,DECEASED
6,Lahey Clinic Medical Center (MALC),MALC,TX1,2017-01-04 18:00:00,KI,0.0,0.0,0.0,5.5555555556,11.111111111,44.444444444,38.888888889,0.0,5.5555555556,50.0,5.5555555556,38.888888889,0.0,38.888888889,22.222222222,38.888888889,0.0,0.0,22.222222222,77.777777778,0.0,0.0,100.0,0.0,77.777777778,0.0,22.222222222,0.0,18,2017,1,DECEASED
7,Massachusetts General Hospital (MAMG),MAMG,TX1,2017-01-04 18:00:00,KI,2.4096385542,2.4096385542,0.0,4.8192771084,19.277108434,46.987951807,24.096385542,0.0,6.0240963855,33.734939759,19.277108434,40.963855422,16.86746988,31.325301205,33.734939759,18.072289157,0.0,0.0,43.373493976,56.626506024,0.0,0.0,100.0,0.0,71.084337349,0.0,28.915662651,0.0,83,2017,1,DECEASED
8,Tufts Medical Center (MANM),MANM,TX1,2017-01-04 18:00:00,KI,0.0,5.5555555556,0.0,0.0,27.777777778,33.333333333,33.333333333,0.0,11.111111111,50.0,11.111111111,27.777777778,16.666666667,27.777777778,27.777777778,27.777777778,0.0,0.0,38.888888889,61.111111111,0.0,0.0,100.0,0.0,88.888888889,0.0,11.111111111,0.0,18,2017,1,DECEASED
9,Brigham and Women's Hospital (MAPB),MAPB,TX1,2017-01-04 18:00:00,KI,0.0,0.0,0.0,17.142857143,40.0,20.0,22.857142857,0.0,5.7142857143,22.857142857,5.7142857143,65.714285714,14.285714286,20.0,31.428571429,31.428571429,2.8571428571,0.0,57.142857143,42.857142857,0.0,0.0,100.0,0.0,68.571428571,0.0,31.428571429,0.0,35,2017,1,DECEASED
10,UMass Memorial Medical Center (MAUM),MAUM,TX1,2017-01-04 18:00:00,KI,0.0,0.0,0.0,7.8947368421,21.052631579,34.210526316,36.842105263,0.0,2.6315789474,50.0,2.6315789474,44.736842105,5.2631578947,26.315789474,28.947368421,39.473684211,0.0,0.0,47.368421053,52.631578947,0.0,0.0,100.0,0.0,84.210526316,0.0,15.789473684,0.0,38,2017,1,DECEASED
11,Maine Medical Center (MEMC),MEMC,TX1,2017-01-04 18:00:00,KI,0.0,0.0,0.0,5.2631578947,15.789473684,68.421052632,10.526315789,0.0,0.0,57.894736842,10.526315789,31.578947368,0.0,15.789473684,57.894736842,26.315789474,0.0,0.0,21.052631579,78.947368421,0.0,0.0,100.0,0.0,73.684210526,0.0,26.315789474,0.0,19,2017,1,DECEASED
12,Mary Hitchcock Memorial Hospital (NHDH),NHDH,TX1,2017-01-04 18:00:00,KI,0.0,0.0,0.0,12.0,20.0,36.0,32.0,0.0,8.0,44.0,8.0,40.0,4.0,32.0,32.0,32.0,0.0,0.0,40.0,60.0,0.0,0.0,100.0,0.0,88.0,0.0,12.0,0.0,25,2017,1,DECEASED
13,Rhode Island Hospital (RIRH),RIRH,TX1,2017-01-04 18:00:00,KI,0.0,2.8571428571,0.0,8.5714285714,25.714285714,34.285714286,28.571428571,0.0,0.0,62.857142857,2.8571428571,34.285714286,5.7142857143,22.857142857,25.714285714,28.571428571,17.142857143,0.0,31.428571429,68.571428571,0.0,0.0,100.0,0.0,77.142857143,0.0,22.857142857,0.0,35,2017,1,DECEASED
14,Children's National Medical Center (DCCH),DCCH,TX1,2017-01-04 18:00:00,KI,60.0,30.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,50.0,20.0,30.0,70.0,20.0,0.0,10.0,0.0,0.0,50.0,50.0,0.0,0.0,100.0,0.0,90.0,0.0,10.0,0.0,10,2017,1,DECEASED
15,Georgetown University Medical Center (DCGU),DCGU,TX1,2017-01-04 18:00:00,KI,0.0,0.7518796992,0.0,12.030075188,28.571428571,46.616541353,12.030075188,0.0,3.007518797,31.578947368,20.30075188,45.112781955,7.5187969925,28.571428571,39.097744361,24.812030075,0.0,0.0,40.601503759,59.398496241,0.0,0.0,100.0,0.0,82.706766917,0.0,17.293233083,0.0,133,2017,1,DECEASED
16,George Washington University Hospital (DCGW),DCGW,TX1,2017-01-04 18:00:00,KI,0.0,0.0,0.0,8.3333333333,38.888888889,33.333333333,19.444444444,0.0,0.0,33.333333333,13.888888889,52.777777778,11.111111111,41.666666667,19.444444444,27.777777778,0.0,0.0,27.777777778,72.222222222,0.0,0.0,100.0,0.0,80.555555556,0.0,19.444444444,0.0,36,2017,1,DECEASED
17,Walter Reed National Military Medical Center at Bethesda (DCWR),DCWR,TX1,2017-01-04 18:00:00,KI,0.0,0.0,0.0,0.0,20.0,50.0,30.0,0.0,5.0,35.0,0.0,60.0,0.0,15.0,65.0,20.0,0.0,0.0,25.0,75.0,0.0,0.0,100.0,0.0,85.0,0.0,15.0,0.0,20,2017,1,DECEASED
18,Alfred I DuPont Hospital for Children (DEAI),DEAI,TX1,2017-01-04 18:00:00,KI,66.666666667,33.333333333,0.0,0.0,0.0,0.0,0.0,0.0,33.333333333,33.333333333,0.0,33.333333333,33.333333333,33.333333333,33.333333333,0.0,0.0,0.0,33.333333333,66.666666667,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,3,2017,1,DECEASED
19,Christiana Care Health Services (DECC),DECC,TX1,2017-01-04 18:00:00,KI,0.0,0.0,0.0,6.25,18.75,31.25,43.75,0.0,12.5,18.75,25.0,43.75,0.0,43.75,12.5,43.75,0.0,0.0,43.75,56.25,0.0,0.0,100.0,0.0,81.25,0.0,18.75,0.0,16,2017,1,DECEASED
20,Johns Hopkins Hospital (MDJH),MDJH,TX1,2017-01-04 18:00:00,KI,1.6759776536,1.6759776536,0.0,13.966480447,29.05027933,35.195530726,18.43575419,0.0,3.9106145251,37.988826816,11.731843575,46.368715084,12.290502793,27.932960894,30.167597765,29.608938547,0.0,0.0,40.223463687,59.776536313,0.0,0.0,100.0,0.0,77.653631285,0.0,22.346368715,0.0,179,2017,1,DECEASED
21,University of Maryland Medical System (MDUM),MDUM,TX1,2017-01-04 18:00:00,KI,0.0,0.0,0.6993006993,6.2937062937,22.377622378,40.559440559,30.06993007,0.0,3.4965034965,37.062937063,15.384615385,44.055944056,7.6923076923,22.377622378,34.265734266,35.664335664,0.0,0.0,46.853146853,53.146853147,0.0,0.0,100.0,0.0,86.013986014,0.0,13.986013986,0.0,143,2017,1,DECEASED
22,Newark Beth Israel Medical Center (NJBI),NJBI,TX1,2017-01-04 18:00:00,KI,0.0,0.0,0.0,25.0,25.0,50.0,0.0,0.0,0.0,0.0,25.0,75.0,25.0,25.0,25.0,25.0,0.0,0.0,25.0,75.0,0.0,0.0,100.0,0.0,75.0,0.0,25.0,0.0,4,2017,1,DECEASED
23,Hackensack University Medical Center (NJHK),NJHK,TX1,2017-01-04 18:00:00,KI,0.0,0.0,0.0,0.0,31.25,56.25,12.5,0.0,12.5,18.75,25.0,43.75,0.0,18.75,31.25,50.0,0.0,0.0,37.5,62.5,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,16,2017,1,DECEASED
24,Our Lady of Lourdes Medical Center (NJLL),NJLL,TX1,2017-01-04 18:00:00,KI,0.0,0.0,0.0,25.806451613,22.580645161,38.709677419,12.903225806,0.0,6.4516129032,12.903225806,25.806451613,54.838709677,3.2258064516,29.032258065,19.35483871,41.935483871,6.4516129032,0.0,41.935483871,58.064516129,0.0,0.0,100.0,0.0,90.322580645,0.0,9.6774193548,0.0,31,2017,1,DECEASED
25,Robert Wood Johnson University Hospital (NJRW),NJRW,TX1,2017-01-04 18:00:00,KI,0.0,7.3170731707,0.0,7.3170731707,31.707317073,41.463414634,12.195121951,0.0,7.3170731707,34.146341463,17.073170732,41.463414634,12.195121951,36.585365854,31.707317073,19.512195122,0.0,0.0,51.219512195,48.780487805,0.0,0.0,100.0,0.0,87.804878049,0.0,12.195121951,0.0,41,2017,1,DECEASED
26,Saint Barnabas Medical Center (NJSB),NJSB,TX1,2017-01-04 18:00:00,KI,0.6024096386,1.2048192771,0.0,7.2289156627,27.108433735,48.795180723,15.060240964,0.0,6.0240963855,28.313253012,22.289156627,43.373493976,7.8313253012,26.506024096,40.963855422,24.698795181,0.0,0.0,42.168674699,57.831325301,0.0,0.0,100.0,0.0,77.108433735,0.0,22.891566265,0.0,166,2017,1,DECEASED
27,University Hospital (NJUH),NJUH,TX1,2017-01-04 18:00:00,KI,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,1,2017,1,DECEASED
28,Albert Einstein Medical Center (PAAE),PAAE,TX1,2017-01-04 18:00:00,KI,0.0,0.0,0.0,12.307692308,35.384615385,43.076923077,9.2307692308,0.0,3.0769230769,36.923076923,16.923076923,43.076923077,13.846153846,20.0,20.0,46.153846154,0.0,0.0,44.615384615,55.384615385,0.0,0.0,100.0,0.0,89.230769231,0.0,10.769230769,0.0,65,2017,1,DECEASED
29,Allegheny General Hospital (PAAG),PAAG,TX1,2017-01-04 18:00:00,KI,0.0,0.0,0.0,5.8823529412,17.647058824,51.470588235,25.0,0.0,4.4117647059,27.941176471,27.941176471,39.705882353,7.3529411765,29.411764706,35.294117647,27.941176471,0.0,0.0,29.411764706,70.588235294,0.0,0.0,100.0,0.0,86.764705882,0.0,13.235294118,0.0,68,2017,1,DECEASED
30,Crozer-Chester Medical Center (PACC),PACC,TX1,2017-01-04 18:00:00,KI,0.0,0.0,0.0,0.0,7.6923076923,69.230769231,23.076923077,0.0,7.6923076923,53.846153846,15.384615385,23.076923077,0.0,23.076923077,61.538461538,15.384615385,0.0,0.0,38.461538462,61.538461538,0.0,0.0,100.0,0.0,92.307692308,0.0,7.6923076923,0.0,13,2017,1,DECEASED
31,Children's Hospital of Pittsburgh of UPMC (PACH),PACH,TX1,2017-01-04 18:00:00,KI,22.222222222,44.444444444,0.0,33.333333333,0.0,0.0,0.0,0.0,0.0,33.333333333,33.333333333,33.333333333,44.444444444,22.222222222,11.111111111,22.222222222,0.0,0.0,55.555555556,44.444444444,0.0,0.0,100.0,0.0,88.888888889,0.0,11.111111111,0.0,9,2017,1,DECEASED
32,Children's Hospital of Philadelphia (PACP),PACP,TX1,2017-01-04 18:00:00,KI,60.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,20.0,40.0,40.0,0.0,0.0,20.0,0.0,40.0,60.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,5,2017,1,DECEASED
33,Geisinger Medical Center (PAGM),PAGM,TX1,2017-01-04 18:00:00,KI,4.347826087,4.347826087,0.0,4.347826087,26.086956522,47.826086957,13.043478261,0.0,8.6956521739,34.782608696,4.347826087,52.173913043,13.043478261,17.391304348,26.086956522,34.782608696,8.6956521739,0.0,34.782608696,65.217391304,0.0,0.0,100.0,0.0,82.608695652,0.0,17.391304348,0.0,23,2017,1,DECEASED
34,Penn State Milton S Hershey Medical Center (PAHE),PAHE,TX1,2017-01-04 18:00:00,KI,0.0,10.0,5.0,20.0,5.0,40.0,20.0,0.0,10.0,35.0,15.0,40.0,5.0,30.0,40.0,25.0,0.0,0.0,50.0,50.0,0.0,0.0,100.0,0.0,75.0,0.0,25.0,0.0,20,2017,1,DECEASED
