,ENTIRE_NAME,CTR_CD,CTR_TY,RELEASE_DATE,ORG,RCL_A10_C,RCL_A17_C,RCL_A2_C,RCL_A34_C,RCL_A49_C,RCL_A64_C,RCL_A65P_C,RCL_AU_C,RCL_BAB_C,RCL_BA_C,RCL_BB_C,RCL_BO_C,RCL_BMI20_C,RCL_BMI25_C,RCL_BMI30_C,RCL_BMI31P_C,RCL_BMINR_C,RCL_BU_C,RCL_GF_C,RCL_GM_C,RCL_GU_C,RCL_ICU_C,RCL_HOSPNR_C,RCL_HOSP_C,RCL_PTXN_C,RCL_PTXU_C,RCL_PTXY_C,RCL_NOTHOSP_C,RCL_N_C,YEAR,MONTH,D_OR_L
37,Alfred I DuPont Hospital for Children (DEAI) , DEAI , TX1 , 2014/03/20 , Kidney ,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,1,2013.0,7.0,LIVING
38,Christiana Care Health Services (DECC) , DECC , TX1 , 2014/03/20 , Kidney ,0.0,0.0,0.0,0.0,42.9,28.6,28.6,0.0,0.0,57.1,0.0,42.9,14.3,14.3,28.6,42.9,0.0,0.0,42.9,57.1,0.0,0.0,0.0,0.0,85.7,0.0,14.3,100.0,7,2013.0,7.0,LIVING
39,Florida Hospital Medical Center (FLFH) , FLFH , TX1 , 2014/03/20 , Kidney ,0.0,0.0,0.0,43.3,23.3,26.7,6.7,0.0,6.7,40.0,6.7,46.7,20.0,30.0,23.3,26.7,0.0,0.0,40.0,60.0,0.0,0.0,0.0,0.0,93.3,0.0,6.7,100.0,30,2013.0,7.0,LIVING
40,Gulf Coast Medical Center (FLFR) , FLFR , TX1 , 2014/03/20 , Kidney ,0.0,0.0,0.0,0.0,0.0,66.7,33.3,0.0,0.0,33.3,33.3,33.3,0.0,33.3,66.7,0.0,0.0,0.0,33.3,66.7,0.0,0.0,0.0,0.0,66.7,0.0,33.3,100.0,6,2013.0,7.0,LIVING
41,Halifax Medical Center (FLHM) , FLHM , TX1 , 2014/03/20 , Kidney ,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,1,2013.0,7.0,LIVING
42,Jackson Memorial Hospital University of Miami School of Medicine (FLJM) , FLJM , TX1 , 2014/03/20 , Kidney ,2.1,1.0,0.0,17.5,27.8,33.0,18.6,0.0,4.1,37.1,11.3,47.4,11.3,29.9,32.0,26.8,0.0,0.0,36.1,63.9,0.0,0.0,0.0,0.0,95.9,0.0,4.1,100.0,97,2013.0,7.0,LIVING
43,Mayo Clinic Florida (FLSL) , FLSL , TX1 , 2014/03/20 , Kidney ,0.0,0.0,0.0,14.3,38.1,21.4,26.2,0.0,7.1,26.2,19.0,47.6,4.8,45.2,28.6,21.4,0.0,0.0,45.2,54.8,0.0,0.0,0.0,2.4,90.5,0.0,9.5,97.6,42,2013.0,7.0,LIVING
44,Tampa General Hospital (FLTG) , FLTG , TX1 , 2014/03/20 , Kidney ,0.0,9.1,0.0,21.2,27.3,36.4,6.1,0.0,3.0,36.4,9.1,51.5,9.1,39.4,36.4,15.2,0.0,0.0,33.3,66.7,0.0,0.0,0.0,6.1,87.9,0.0,12.1,93.9,33,2013.0,7.0,LIVING
45,Shands Hospital at The University of Florida (FLUF) , FLUF , TX1 , 2014/03/20 , Kidney ,3.7,7.4,0.0,18.5,18.5,37.0,14.8,0.0,3.7,25.9,11.1,59.3,14.8,29.6,14.8,40.7,0.0,0.0,44.4,55.6,0.0,0.0,0.0,0.0,88.9,0.0,11.1,100.0,27,2013.0,7.0,LIVING
46,Children's Healthcare of Atlanta at Egleston (GAEH) , GAEH , TX1 , 2014/03/20 , Kidney ,54.5,27.3,0.0,18.2,0.0,0.0,0.0,0.0,9.1,9.1,27.3,54.5,72.7,9.1,0.0,9.1,9.1,0.0,45.5,54.5,0.0,0.0,0.0,0.0,81.8,0.0,18.2,100.0,11,2013.0,7.0,LIVING
47,Emory University Hospital (GAEM) , GAEM , TX1 , 2014/03/20 , Kidney ,0.0,0.0,0.0,25.0,29.7,29.7,15.6,0.0,3.1,37.5,21.9,37.5,10.9,37.5,23.4,28.1,0.0,0.0,45.3,54.7,0.0,0.0,0.0,4.7,85.9,0.0,14.1,95.3,64,2013.0,7.0,LIVING
48,Georgia Health Sciences Medical Center (GAMC) , GAMC , TX1 , 2014/03/20 , Kidney ,0.0,0.0,0.0,21.4,50.0,14.3,14.3,0.0,7.1,57.1,0.0,35.7,7.1,14.3,57.1,14.3,7.1,0.0,14.3,85.7,0.0,0.0,0.0,0.0,92.9,0.0,7.1,100.0,14,2013.0,7.0,LIVING
49,Piedmont Hospital (GAPH) , GAPH , TX1 , 2014/03/20 , Kidney ,0.0,0.0,0.0,14.0,28.1,33.3,24.6,0.0,7.0,36.8,7.0,49.1,10.5,28.1,22.8,28.1,10.5,0.0,47.4,52.6,0.0,0.0,0.0,0.0,89.5,0.0,10.5,100.0,57,2013.0,7.0,LIVING
50,The Queen's Medical Center (HIQM) , HIQM , TX1 , 2014/03/20 , Kidney ,0.0,0.0,0.0,33.3,33.3,0.0,33.3,0.0,0.0,66.7,33.3,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,3,2013.0,7.0,LIVING
51,Iowa Methodist Medical Center (IAIM) , IAIM , TX1 , 2014/03/20 , Kidney ,0.0,0.0,0.0,33.3,22.2,33.3,11.1,0.0,11.1,33.3,11.1,44.4,11.1,33.3,33.3,22.2,0.0,0.0,22.2,77.8,0.0,0.0,0.0,0.0,88.9,0.0,11.1,100.0,9,2013.0,7.0,LIVING
52,University of Iowa Hospitals and Clinics (IAIV) , IAIV , TX1 , 2014/03/20 , Kidney ,0.0,4.8,0.0,14.3,23.8,42.9,14.3,0.0,14.3,42.9,9.5,33.3,4.8,23.8,33.3,33.3,4.8,0.0,57.1,42.9,0.0,0.0,0.0,0.0,95.2,0.0,4.8,100.0,21,2013.0,7.0,LIVING
53,Iowa City VA Medical Center (IAIV) , IAIV , VA1 , 2014/03/20 , Kidney ,0.0,0.0,0.0,0.0,0.0,75.0,25.0,0.0,0.0,25.0,0.0,75.0,0.0,25.0,75.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,75.0,0.0,25.0,100.0,4,2013.0,7.0,LIVING
54,Mercy Medical Center-Des Moines (IAMH) , IAMH , TX1 , 2014/03/20 , Kidney ,0.0,0.0,0.0,18.2,27.3,27.3,27.3,0.0,9.1,27.3,18.2,45.5,9.1,18.2,27.3,45.5,0.0,0.0,45.5,54.5,0.0,0.0,0.0,0.0,72.7,0.0,27.3,100.0,11,2013.0,7.0,LIVING
55,Advocate Christ Medical Center (ILCH) , ILCH , TX1 , 2014/03/20 , Kidney ,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,25.0,25.0,50.0,0.0,50.0,50.0,0.0,0.0,0.0,75.0,25.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,4,2013.0,7.0,LIVING
56,Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM) , ILCM , TX1 , 2014/03/20 , Kidney ,33.3,55.6,0.0,11.1,0.0,0.0,0.0,0.0,11.1,33.3,22.2,33.3,77.8,22.2,0.0,0.0,0.0,0.0,11.1,88.9,0.0,0.0,0.0,11.1,77.8,0.0,22.2,88.9,9,2013.0,7.0,LIVING
57,Loyola University Medical Center (ILLU) , ILLU , TX1 , 2014/03/20 , Kidney ,0.0,0.0,0.0,25.9,25.9,44.4,3.7,0.0,3.7,44.4,18.5,33.3,11.1,33.3,25.9,29.6,0.0,0.0,33.3,66.7,0.0,0.0,0.0,0.0,88.9,0.0,11.1,100.0,27,2013.0,7.0,LIVING
58,Memorial Medical Center (ILMM) , ILMM , TX1 , 2014/03/20 , Kidney ,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,30.0,10.0,60.0,0.0,50.0,30.0,20.0,0.0,0.0,20.0,80.0,0.0,0.0,0.0,0.0,90.0,0.0,10.0,100.0,10,2013.0,7.0,LIVING
59,Northwestern Memorial Hospital (ILNM) , ILNM , TX1 , 2014/03/20 , Kidney ,0.0,0.0,0.0,16.1,25.2,42.6,16.1,0.0,5.8,41.9,12.9,39.4,5.2,23.2,32.3,32.9,6.5,0.0,35.5,64.5,0.0,0.0,0.0,0.0,90.3,0.0,9.7,100.0,155,2013.0,7.0,LIVING
60,Rush University Medical Center (ILPL) , ILPL , TX1 , 2014/03/20 , Kidney ,0.0,0.0,0.0,20.0,50.0,30.0,0.0,0.0,0.0,20.0,40.0,40.0,50.0,20.0,20.0,10.0,0.0,0.0,80.0,20.0,0.0,0.0,0.0,0.0,70.0,0.0,30.0,100.0,10,2013.0,7.0,LIVING
61,OSF Saint Francis Medical Center (ILSF) , ILSF , TX1 , 2014/03/20 , Kidney ,0.0,0.0,0.0,22.2,33.3,38.9,5.6,0.0,11.1,22.2,16.7,50.0,11.1,22.2,44.4,22.2,0.0,0.0,33.3,66.7,0.0,0.0,0.0,0.0,72.2,0.0,27.8,100.0,18,2013.0,7.0,LIVING
62,University of Chicago Medical Center (ILUC) , ILUC , TX1 , 2014/03/20 , Kidney ,0.0,0.0,0.0,26.7,26.7,46.7,0.0,0.0,6.7,46.7,6.7,40.0,0.0,26.7,40.0,33.3,0.0,0.0,20.0,80.0,0.0,0.0,0.0,0.0,80.0,0.0,20.0,100.0,15,2013.0,7.0,LIVING
63,University of Illinois Medical Center (ILUI) , ILUI , TX1 , 2014/03/20 , Kidney ,3.1,1.6,0.0,20.3,35.9,29.7,9.4,0.0,3.1,32.8,14.1,50.0,4.7,25.0,21.9,48.4,0.0,0.0,46.9,53.1,0.0,0.0,0.0,3.1,85.9,0.0,14.1,96.9,64,2013.0,7.0,LIVING
64,Indiana University Health (INIM) , INIM , TX1 , 2014/03/20 , Kidney ,6.5,4.8,0.0,27.4,32.3,19.4,9.7,0.0,8.1,37.1,9.7,45.2,8.1,1.6,1.6,1.6,87.1,0.0,37.1,62.9,0.0,0.0,0.0,1.6,85.5,0.0,14.5,98.4,62,2013.0,7.0,LIVING
65,Lutheran Hospital of Fort Wayne (INLH) , INLH , TX1 , 2014/03/20 , Kidney ,0.0,0.0,0.0,17.6,41.2,35.3,5.9,0.0,11.8,47.1,11.8,29.4,11.8,23.5,35.3,29.4,0.0,0.0,29.4,70.6,0.0,0.0,0.0,0.0,82.4,0.0,17.6,100.0,17,2013.0,7.0,LIVING
66,St Vincent Hospital and Health Care Center (INSV) , INSV , TX1 , 2014/03/20 , Kidney ,0.0,10.0,0.0,80.0,0.0,10.0,0.0,0.0,0.0,40.0,0.0,60.0,20.0,20.0,30.0,30.0,0.0,0.0,70.0,30.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,10,2013.0,7.0,LIVING
67,"Via Christi Hospitals Wichita, Inc. (KSFW) ", KSFW , TX1 , 2014/03/20 , Kidney ,0.0,0.0,0.0,16.7,16.7,33.3,33.3,0.0,0.0,83.3,0.0,16.7,16.7,16.7,33.3,33.3,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,6,2013.0,7.0,LIVING
68,University of Kansas Hospital (KSUK) , KSUK , TX1 , 2014/03/20 , Kidney ,0.0,0.0,0.0,31.8,13.6,50.0,4.5,0.0,0.0,54.5,0.0,45.5,0.0,31.8,40.9,27.3,0.0,0.0,31.8,68.2,0.0,0.0,0.0,0.0,90.9,0.0,9.1,100.0,22,2013.0,7.0,LIVING
69,Jewish Hospital (KYJH) , KYJH , TX1 , 2014/03/20 , Kidney ,0.0,0.0,0.0,0.0,11.1,66.7,22.2,0.0,22.2,33.3,22.2,22.2,11.1,22.2,33.3,33.3,0.0,0.0,33.3,66.7,0.0,0.0,0.0,0.0,88.9,0.0,11.1,100.0,9,2013.0,7.0,LIVING
70,University of Kentucky Medical Center (KYUK) , KYUK , TX1 , 2014/03/20 , Kidney ,0.0,0.0,0.0,23.5,35.3,35.3,5.9,0.0,5.9,35.3,23.5,35.3,0.0,29.4,41.2,29.4,0.0,0.0,58.8,41.2,0.0,0.0,0.0,0.0,88.2,0.0,11.8,100.0,17,2013.0,7.0,LIVING
71,Children's Hospital (LACH) , LACH , TX1 , 2014/03/20 , Kidney ,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,25.0,25.0,75.0,25.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,75.0,0.0,25.0,100.0,4,2013.0,7.0,LIVING
72,Ochsner Foundation Hospital (LAOF) , LAOF , TX1 , 2014/03/20 , Kidney ,0.0,0.0,0.0,18.2,39.4,27.3,15.2,0.0,0.0,51.5,6.1,42.4,12.1,27.3,33.3,27.3,0.0,0.0,39.4,60.6,0.0,0.0,0.0,0.0,97.0,0.0,3.0,100.0,33,2013.0,7.0,LIVING
73,Tulane Medical Center (LATU) , LATU , TX1 , 2014/03/20 , Kidney ,0.0,0.0,0.0,4.3,47.8,39.1,8.7,0.0,4.3,43.5,13.0,39.1,0.0,21.7,47.8,26.1,4.3,0.0,52.2,47.8,0.0,4.3,0.0,0.0,87.0,0.0,13.0,95.7,23,2013.0,7.0,LIVING
74,Willis-Knighton Medical Center (LAWK) , LAWK , TX1 , 2014/03/20 , Kidney ,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,50.0,50.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,2,2013.0,7.0,LIVING
75,Beth Israel Deaconess Medical Center (MABI) , MABI , TX1 , 2014/03/20 , Kidney ,0.0,0.0,0.0,16.7,25.0,41.7,16.7,0.0,4.2,25.0,16.7,54.2,4.2,45.8,20.8,29.2,0.0,0.0,37.5,62.5,0.0,0.0,0.0,0.0,95.8,0.0,4.2,100.0,24,2013.0,7.0,LIVING
76,Baystate Medical Center (MABS) , MABS , TX1 , 2014/03/20 , Kidney ,0.0,0.0,0.0,20.0,30.0,50.0,0.0,0.0,0.0,50.0,0.0,50.0,20.0,20.0,30.0,30.0,0.0,0.0,40.0,60.0,0.0,0.0,0.0,0.0,90.0,0.0,10.0,100.0,10,2013.0,7.0,LIVING
77,Boston Medical Center (MABU) , MABU , TX1 , 2014/03/20 , Kidney ,0.0,0.0,0.0,15.4,0.0,61.5,23.1,0.0,0.0,38.5,7.7,53.8,7.7,30.8,38.5,23.1,0.0,0.0,15.4,84.6,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,13,2013.0,7.0,LIVING
78,Boston Children's Hospital (MACH) , MACH , TX1 , 2014/03/20 , Kidney ,60.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,10.0,40.0,80.0,0.0,0.0,0.0,20.0,0.0,70.0,30.0,0.0,0.0,0.0,10.0,100.0,0.0,0.0,90.0,10,2013.0,7.0,LIVING
79,Lahey Clinic Medical Center (MALC) , MALC , TX1 , 2014/03/20 , Kidney ,0.0,0.0,0.0,8.3,16.7,50.0,25.0,0.0,0.0,33.3,8.3,58.3,8.3,16.7,75.0,0.0,0.0,0.0,25.0,75.0,0.0,0.0,0.0,0.0,91.7,0.0,8.3,100.0,12,2013.0,7.0,LIVING
80,Massachusetts General Hospital (MAMG) , MAMG , TX1 , 2014/03/20 , Kidney ,0.0,0.0,0.0,17.9,23.1,53.8,5.1,0.0,7.7,30.8,12.8,48.7,12.8,35.9,15.4,33.3,2.6,0.0,35.9,64.1,0.0,0.0,0.0,7.7,94.9,0.0,5.1,92.3,39,2013.0,7.0,LIVING
81,Tufts Medical Center (MANM) , MANM , TX1 , 2014/03/20 , Kidney ,7.1,0.0,0.0,7.1,14.3,64.3,7.1,0.0,0.0,50.0,7.1,42.9,7.1,35.7,35.7,21.4,0.0,0.0,42.9,57.1,0.0,0.0,0.0,0.0,92.9,0.0,7.1,100.0,14,2013.0,7.0,LIVING
82,Brigham and Women's Hospital (MAPB) , MAPB , TX1 , 2014/03/20 , Kidney ,0.0,0.0,0.0,19.4,33.3,36.1,11.1,0.0,5.6,36.1,2.8,55.6,8.3,25.0,44.4,22.2,0.0,0.0,52.8,47.2,0.0,0.0,0.0,2.8,86.1,0.0,13.9,97.2,36,2013.0,7.0,LIVING
83,UMass Memorial Medical Center (MAUM) , MAUM , TX1 , 2014/03/20 , Kidney ,0.0,0.0,0.0,10.0,0.0,60.0,30.0,0.0,0.0,60.0,10.0,30.0,10.0,20.0,30.0,40.0,0.0,0.0,40.0,60.0,0.0,0.0,0.0,0.0,80.0,0.0,20.0,100.0,10,2013.0,7.0,LIVING
84,Johns Hopkins Hospital (MDJH) , MDJH , TX1 , 2014/03/20 , Kidney ,1.2,2.3,0.0,24.4,26.7,34.9,10.5,0.0,2.3,44.2,10.5,43.0,18.6,38.4,23.3,17.4,2.3,0.0,53.5,46.5,0.0,0.0,0.0,1.2,68.6,0.0,31.4,98.8,86,2013.0,7.0,LIVING
85,University of Maryland Medical System (MDUM) , MDUM , TX1 , 2014/03/20 , Kidney ,0.0,0.0,1.0,13.7,29.4,42.2,13.7,0.0,3.9,43.1,12.7,40.2,9.8,25.5,32.4,32.4,0.0,0.0,49.0,51.0,0.0,0.0,0.0,1.0,80.4,0.0,19.6,99.0,102,2013.0,7.0,LIVING
86,Maine Medical Center (MEMC) , MEMC , TX1 , 2014/03/20 , Kidney ,0.0,0.0,0.0,33.3,27.8,38.9,0.0,0.0,11.1,61.1,5.6,22.2,5.6,44.4,27.8,22.2,0.0,0.0,27.8,72.2,0.0,0.0,0.0,0.0,88.9,0.0,11.1,100.0,18,2013.0,7.0,LIVING
87,William Beaumont Hospital (MIBH) , MIBH , TX1 , 2014/03/20 , Kidney ,0.0,0.0,0.0,16.7,33.3,41.7,8.3,0.0,8.3,50.0,8.3,33.3,8.3,16.7,16.7,58.3,0.0,0.0,16.7,83.3,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,12,2013.0,7.0,LIVING
88,Helen DeVos Children's Hospital (MIDV) , MIDV , TX1 , 2014/03/20 , Kidney ,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,2,2013.0,7.0,LIVING
89,Henry Ford Hospital (MIHF) , MIHF , TX1 , 2014/03/20 , Kidney ,0.0,0.0,0.0,16.7,21.4,40.5,21.4,0.0,4.8,38.1,21.4,35.7,19.0,21.4,33.3,26.2,0.0,0.0,23.8,76.2,0.0,0.0,0.0,2.4,88.1,0.0,11.9,97.6,42,2013.0,7.0,LIVING
90,Harper University Hospital Detroit Medical Center (MIHH) , MIHH , TX1 , 2014/03/20 , Kidney ,0.0,0.0,0.0,33.3,50.0,16.7,0.0,0.0,0.0,33.3,16.7,50.0,0.0,0.0,16.7,83.3,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,6,2013.0,7.0,LIVING
91,St John Hospital and Medical Center (MISJ) , MISJ , TX1 , 2014/03/20 , Kidney ,0.0,0.0,0.0,7.1,50.0,42.9,0.0,0.0,0.0,28.6,14.3,57.1,0.0,35.7,42.9,21.4,0.0,0.0,28.6,71.4,0.0,0.0,0.0,0.0,85.7,0.0,14.3,100.0,14,2013.0,7.0,LIVING
92,St. Mary's Health Care - Main Hospital (MISM) , MISM , TX1 , 2014/03/20 , Kidney ,0.0,0.0,0.0,9.1,21.2,54.5,15.2,0.0,3.0,42.4,12.1,42.4,12.1,21.2,33.3,33.3,0.0,0.0,24.2,75.8,0.0,0.0,0.0,0.0,81.8,0.0,18.2,100.0,33,2013.0,7.0,LIVING
93,University of Michigan Medical Center (MIUM) , MIUM , TX1 , 2014/03/20 , Kidney ,4.0,3.0,1.0,25.7,24.8,29.7,11.9,0.0,4.0,46.5,9.9,39.6,15.8,28.7,22.8,32.7,0.0,0.0,27.7,72.3,0.0,0.0,0.0,0.0,87.1,0.0,12.9,100.0,101,2013.0,7.0,LIVING
94,Abbott Northwestern Hospital (MNAN) , MNAN , TX1 , 2014/03/20 , Kidney ,0.0,0.0,0.0,12.5,18.8,37.5,31.3,0.0,0.0,31.3,25.0,43.8,6.3,31.3,25.0,37.5,0.0,0.0,25.0,75.0,0.0,0.0,0.0,0.0,93.8,0.0,6.3,100.0,16,2013.0,7.0,LIVING
95,Hennepin County Medical Center (MNHC) , MNHC , TX1 , 2014/03/20 , Kidney ,0.0,0.0,0.0,8.3,30.6,38.9,22.2,0.0,5.6,36.1,8.3,50.0,2.8,25.0,25.0,47.2,0.0,0.0,41.7,58.3,0.0,0.0,0.0,0.0,88.9,0.0,11.1,100.0,36,2013.0,7.0,LIVING
96,Rochester Methodist Hospital (Mayo Clinic) (MNMC) , MNMC , TX1 , 2014/03/20 , Kidney ,0.0,0.0,0.0,17.4,29.8,31.4,21.5,0.0,2.5,39.7,8.3,49.6,10.7,33.1,24.8,31.4,0.0,0.0,42.1,57.9,0.0,0.0,0.0,0.0,83.5,0.0,16.5,100.0,121,2013.0,7.0,LIVING
97,Saint Marys Hospital (Mayo Clinic) (MNSM) , MNSM , TX1 , 2014/03/20 , Kidney ,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,2,2013.0,7.0,LIVING
98,"University of Minnesota Medical Center, Fairview (MNUM) ", MNUM , TX1 , 2014/03/20 , Kidney ,5.1,10.3,3.8,10.3,29.5,20.5,20.5,0.0,7.7,44.9,17.9,29.5,29.5,25.6,28.2,16.7,0.0,0.0,34.6,65.4,0.0,0.0,0.0,2.6,75.6,0.0,24.4,97.4,78,2013.0,7.0,LIVING
99,Barnes-Jewish Hospital (MOBH) , MOBH , TX1 , 2014/03/20 , Kidney ,0.0,0.0,0.0,21.8,32.7,32.7,12.7,0.0,5.5,41.8,7.3,45.5,9.1,25.5,34.5,30.9,0.0,0.0,34.5,65.5,0.0,0.0,0.0,1.8,94.5,0.0,5.5,98.2,55,2013.0,7.0,LIVING
100,St. Louis Children's Hospital (MOCH) , MOCH , TX1 , 2014/03/20 , Kidney ,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,100.0,2,2013.0,7.0,LIVING
101,Children's Mercy Hospital (MOCM) , MOCM , TX1 , 2014/03/20 , Kidney ,28.6,57.1,0.0,14.3,0.0,0.0,0.0,0.0,14.3,28.6,0.0,57.1,71.4,28.6,0.0,0.0,0.0,0.0,28.6,71.4,0.0,0.0,0.0,14.3,100.0,0.0,0.0,85.7,7,2013.0,7.0,LIVING
102,St Luke's Hospital of Kansas City (MOLH) , MOLH , TX1 , 2014/03/20 , Kidney ,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,1,2013.0,7.0,LIVING
103,Research Medical Center (MORH) , MORH , TX1 , 2014/03/20 , Kidney ,0.0,0.0,0.0,0.0,12.5,37.5,50.0,0.0,0.0,25.0,25.0,50.0,12.5,37.5,37.5,12.5,0.0,0.0,25.0,75.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,8,2013.0,7.0,LIVING
104,Saint Louis University Hospital (MOSL) , MOSL , TX1 , 2014/03/20 , Kidney ,0.0,0.0,0.0,40.0,40.0,20.0,0.0,0.0,0.0,40.0,0.0,60.0,40.0,40.0,0.0,20.0,0.0,0.0,20.0,80.0,0.0,0.0,0.0,0.0,80.0,0.0,20.0,100.0,5,2013.0,7.0,LIVING
105,University of Missouri Hospital and Clinics (MOUM) , MOUM , TX1 , 2014/03/20 , Kidney ,20.0,0.0,0.0,0.0,0.0,60.0,20.0,0.0,0.0,80.0,0.0,20.0,20.0,20.0,20.0,40.0,0.0,0.0,20.0,80.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,5,2013.0,7.0,LIVING
106,Wake Forest Baptist Medical Center (NCBG) , NCBG , TX1 , 2014/03/20 , Kidney ,0.0,4.0,0.0,16.0,32.0,44.0,4.0,0.0,0.0,52.0,12.0,36.0,8.0,36.0,44.0,12.0,0.0,0.0,24.0,76.0,0.0,0.0,0.0,4.0,96.0,0.0,4.0,96.0,25,2013.0,7.0,LIVING
107,Carolinas Medical Center (NCCM) , NCCM , TX1 , 2014/03/20 , Kidney ,6.5,3.2,0.0,32.3,25.8,22.6,9.7,0.0,6.5,45.2,22.6,25.8,22.6,22.6,32.3,22.6,0.0,0.0,45.2,54.8,0.0,0.0,0.0,0.0,80.6,0.0,19.4,100.0,31,2013.0,7.0,LIVING
108,Duke University Hospital (NCDU) , NCDU , TX1 , 2014/03/20 , Kidney ,0.0,0.0,0.0,31.8,31.8,22.7,13.6,0.0,4.5,18.2,22.7,54.5,18.2,22.7,22.7,36.4,0.0,0.0,45.5,54.5,0.0,0.0,0.0,4.5,90.9,0.0,9.1,95.5,22,2013.0,7.0,LIVING
109,Vidant Medical Center (NCEC) , NCEC , TX1 , 2014/03/20 , Kidney ,0.0,0.0,0.0,10.0,20.0,20.0,50.0,0.0,10.0,50.0,10.0,30.0,20.0,20.0,30.0,30.0,0.0,0.0,20.0,80.0,0.0,0.0,0.0,0.0,90.0,0.0,10.0,100.0,10,2013.0,7.0,LIVING
110,University of North Carolina Hospitals (NCMH) , NCMH , TX1 , 2014/03/20 , Kidney ,0.0,2.8,0.0,19.4,30.6,27.8,19.4,0.0,0.0,36.1,11.1,52.8,16.7,16.7,30.6,36.1,0.0,0.0,52.8,47.2,0.0,0.0,0.0,2.8,88.9,0.0,11.1,97.2,36,2013.0,7.0,LIVING
111,Sanford Bismarck Medical Center (NDMC) , NDMC , TX1 , 2014/03/20 , Kidney ,0.0,0.0,0.0,40.0,20.0,40.0,0.0,0.0,0.0,80.0,0.0,20.0,20.0,0.0,80.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,5,2013.0,7.0,LIVING
112,Sanford Medical Center Fargo (NDSL) , NDSL , TX1 , 2014/03/20 , Kidney ,0.0,0.0,0.0,22.2,33.3,33.3,11.1,0.0,0.0,44.4,11.1,44.4,11.1,11.1,22.2,44.4,11.1,0.0,33.3,66.7,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,9,2013.0,7.0,LIVING
113,The Nebraska Medical Center (NEUN) , NEUN , TX1 , 2014/03/20 , Kidney ,2.9,0.0,0.0,11.8,26.5,47.1,11.8,0.0,8.8,35.3,17.6,38.2,2.9,20.6,41.2,32.4,2.9,0.0,32.4,67.6,0.0,0.0,0.0,0.0,88.2,0.0,11.8,100.0,34,2013.0,7.0,LIVING
114,Mary Hitchcock Memorial Hospital (NHDH) , NHDH , TX1 , 2014/03/20 , Kidney ,0.0,0.0,0.0,10.0,15.0,55.0,20.0,0.0,10.0,60.0,5.0,25.0,0.0,30.0,35.0,30.0,5.0,0.0,30.0,70.0,0.0,0.0,0.0,0.0,95.0,0.0,5.0,100.0,20,2013.0,7.0,LIVING
