,ENTIRE_NAME,CTR_CD,CTR_TY,RELEASE_DATE,ORG,RCC_A10_C,RCC_A17_C,RCC_A2_C,RCC_A34_C,RCC_A49_C, RCC_A65P_C,RCC_AU_C,RCC_BAB_C,RCC_BA_C,RCC_BB_C,RCC_BO_C,RCC_BMI20_C,RCC_BMI25_C,RCC_BMI30_C,RCC_BMI31P_C,RCC_BMINR_C,RCC_BU_C,RCC_GF_C,RCC_GM_C,RCC_GU_C,RCC_ICU_C,RCC_HOSPNR_C,RCC_HOSP_C,RCC_PTXN_C,RCC_PTXU_C,RCC_PTXY_C,RCC_NOTHOSP_C,RCC_TST1_C,RCC_TST1_R,RCC_TST1A_C,RCC_TST1A_R,RCC_TST1B_C, RCC_TST1B_R,RCC_TST2_C,RCC_TST2_R,RCC_TST2A_C,RCC_TST2A_R,RCC_TST2B_C,RCC_TST2B_R,RCC_TST3_C,RCC_TST3_R,RCC_ME11_C,RCC_ME11_R,RCC_ME15_C,RCC_ME15_R,RCC_ME21_C,RCC_ME21_R,RCC_ME31_C,RCC_ME31_R,RCC_ME6_C,RCC_ME6_R,RCC_PE6_C,RCC_PE6_R,RCC_PE11_C,RCC_PE11_R,RCC_PE15_C,RCC_PE15_R,RCC_PE21_C,RCC_PE21_R,RCC_PE31_C,RCC_PE31_R,RCC_TINA_C,RCC_TINA_R,D_OR_L,YEAR,MONTH
68,University of California San Francisco Medical Center (CASF),CASF,TX1,2021-07-06 19:00:00,HR,0,0,0,5.8823529412,35.294117647,,,5.8823529412,47.058823529,29.411764706,17.647058824,5.8823529412,52.941176471,29.411764706,,0,0,17.647058824,82.352941176,0,23.529411765,0,17.647058824,100,0,0,58.823529412,-,-,0,9.0620031797,0,,0,0.6359300477,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,D,2021,May
69,Sutter Meidcal Center Sacramento (CASG),CASG,TX1,2021-07-06 19:00:00,HR,0,0,0,10,20,,,0,40,30,30,0,10,40,,0,0,20,80,0,50,0,10,100,0,0,40,-,-,0,9.0620031797,0,,0,0.6359300477,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,D,2021,May
70,Sharp Memorial Hospital (CASH),CASH,TX1,2021-07-06 19:00:00,HR,0,0,0,14.285714286,0,,,0,14.285714286,28.571428571,57.142857143,0,42.857142857,57.142857143,,0,0,28.571428571,71.428571429,0,85.714285714,0,0,100,0,0,14.285714286,-,-,0,9.0620031797,0,,0,0.6359300477,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,D,2021,May
71,Stanford Health Care (CASU),CASU,TX1,2021-07-06 19:00:00,HR,0,0,0,12.790697674,18.604651163,,,5.8139534884,33.720930233,13.953488372,46.511627907,9.3023255814,34.88372093,34.88372093,,0,0,23.255813953,76.744186047,0,45.348837209,0,11.627906977,97.674418605,0,2.3255813953,43.023255814,-,-,0,9.0620031797,0,,0,0.6359300477,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,D,2021,May
72,University of California at Los Angeles Medical Center (CAUC),CAUC,TX1,2021-07-06 19:00:00,HR,3.2258064516,4.8387096774,3.2258064516,11.290322581,17.741935484,,,0,40.322580645,22.580645161,37.096774194,25.806451613,37.096774194,25.806451613,,0,0,30.64516129,69.35483871,0,62.903225806,0,24.193548387,96.774193548,0,3.2258064516,12.903225806,-,-,9.6774193548,9.0620031797,3.2258064516,,0,0.6359300477,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,D,2021,May
73,Keck Hospital of USC (CAUH),CAUH,TX1,2021-07-06 19:00:00,HR,0,0,0,6.25,37.5,,,9.375,40.625,15.625,34.375,0,15.625,28.125,,34.375,0,21.875,78.125,0,59.375,34.375,3.125,96.875,0,3.125,3.125,-,-,0,9.0620031797,0,,0,0.6359300477,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,D,2021,May
74,Intermountain Medical Center (UTLD),UTLD,TX1,2021-07-06 19:00:00,HR,0,0,0,18.75,25,,,12.5,31.25,25,31.25,18.75,12.5,31.25,,0,0,31.25,68.75,0,68.75,0,0,93.75,0,6.25,31.25,-,-,0,9.0620031797,0,,0,0.6359300477,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,D,2021,May
75,University of Utah Medical Center (UTMC),UTMC,TX1,2021-07-06 19:00:00,HR,0,0,0,3.7037037037,25.925925926,,,0,59.259259259,22.222222222,18.518518519,3.7037037037,25.925925926,48.148148148,,0,0,14.814814815,85.185185185,0,37.037037037,0,22.222222222,100,0,0,40.740740741,-,-,0,9.0620031797,0,,0,0.6359300477,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,D,2021,May
76,Primary Children's Hospital (UTPC),UTPC,TX1,2021-07-06 19:00:00,HR,0,30,50,20,0,,,0,30,10,60,50,30,20,,0,0,30,70,0,40,0,30,100,0,0,30,-,-,70,9.0620031797,20,,10,0.6359300477,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,D,2021,May
77,St Vincent Hospital and Medical Center (ORSV),ORSV,TX1,2021-07-06 19:00:00,HR,0,0,0,0,16.666666667,,,0,16.666666667,33.333333333,50,0,50,50,,0,0,16.666666667,83.333333333,0,83.333333333,0,0,100,0,0,16.666666667,-,-,0,5.5555555556,0,,0,1.1111111111,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,D,2021,May
78,Oregon Health & Science University (ORUO),ORUO,TX1,2021-07-06 19:00:00,HR,0,0,0,0,0,,,20,40,0,40,0,20,60,,0,0,0,100,0,20,0,20,100,0,0,60,-,-,0,5.5555555556,0,,0,1.1111111111,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,D,2021,May
79,Seattle Children's Hospital (WACH),WACH,TX1,2021-07-06 19:00:00,HR,27.272727273,54.545454545,18.181818182,0,0,,,0,9.0909090909,27.272727273,63.636363636,72.727272727,18.181818182,9.0909090909,,0,0,81.818181818,18.181818182,0,18.181818182,0,36.363636364,100,0,0,45.454545455,-,-,45.454545455,5.5555555556,45.454545455,,9.0909090909,1.1111111111,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,D,2021,May
80,Providence Sacred Heart Medical Center & Children's Hospital (WASH),WASH,TX1,2021-07-06 19:00:00,HR,0,0,0,7.6923076923,7.6923076923,,,0,61.538461538,15.384615385,23.076923077,0,23.076923077,46.153846154,,0,0,38.461538462,61.538461538,0,15.384615385,0,23.076923077,92.307692308,0,7.6923076923,61.538461538,-,-,0,5.5555555556,0,,0,1.1111111111,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,D,2021,May
81,University of Washington Medical Center (WAUW),WAUW,TX1,2021-07-06 19:00:00,HR,0,0,0,9.0909090909,14.545454545,,,5.4545454545,40,20,34.545454545,1.8181818182,32.727272727,36.363636364,,0,0,25.454545455,74.545454545,0,32.727272727,0,7.2727272727,96.363636364,0,3.6363636364,60,-,-,0,5.5555555556,0,,0,1.1111111111,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,D,2021,May
82,Advocate Christ Medical Center (ILCH),ILCH,TX1,2021-07-06 19:00:00,HR,0,0,0,14.285714286,9.5238095238,,,9.5238095238,47.619047619,19.047619048,23.80952381,4.7619047619,23.80952381,38.095238095,,0,0,19.047619048,80.952380952,0,61.904761905,0,4.7619047619,100,0,0,33.333333333,-,-,0,11.764705882,0,,0,0.6191950464,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,D,2021,May
83,Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM),ILCM,TX1,2021-07-06 19:00:00,HR,46.428571429,17.857142857,25,10.714285714,0,,,7.1428571429,46.428571429,10.714285714,35.714285714,32.142857143,0,3.5714285714,,64.285714286,0,53.571428571,46.428571429,0,67.857142857,0,21.428571429,85.714285714,0,14.285714286,10.714285714,-,-,85.714285714,11.764705882,3.5714285714,,0,0.6191950464,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,D,2021,May
84,Loyola University Medical Center (ILLU),ILLU,TX1,2021-07-06 19:00:00,HR,0,0,0,0,42.857142857,,,0,28.571428571,28.571428571,42.857142857,0,28.571428571,28.571428571,,0,0,28.571428571,71.428571429,0,42.857142857,0,14.285714286,100,0,0,42.857142857,-,-,0,11.764705882,0,,0,0.6191950464,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,D,2021,May
85,Northwestern Memorial Hospital (ILNM),ILNM,TX1,2021-07-06 19:00:00,HR,0,0,0,13.333333333,26.666666667,,,0,50,6.6666666667,43.333333333,10,16.666666667,50,,0,0,30,70,0,66.666666667,0,3.3333333333,96.666666667,0,3.3333333333,30,-,-,0,11.764705882,0,,0,0.6191950464,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,D,2021,May
86,University of Chicago Medical Center (ILUC),ILUC,TX1,2021-07-06 19:00:00,HR,0,2.2222222222,0,15.555555556,28.888888889,,,6.6666666667,44.444444444,2.2222222222,46.666666667,4.4444444444,26.666666667,37.777777778,,0,0,24.444444444,75.555555556,0,73.333333333,0,8.8888888889,97.777777778,0,2.2222222222,17.777777778,-,-,2.2222222222,11.764705882,0,,0,0.6191950464,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,D,2021,May
87,Abbott Northwestern Hospital (MNAN),MNAN,TX1,2021-07-06 19:00:00,HR,0,0,0,0,40,,,0,70,10,20,0,20,40,,0,0,10,90,0,0,0,10,80,0,20,90,-,-,0,11.764705882,0,,0,0.6191950464,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,D,2021,May
88,Children's Minnesota (MNCM),MNCM,TX1,2021-07-06 19:00:00,HR,0,0,100,0,0,,,0,100,0,0,50,50,0,,0,0,50,50,0,50,0,50,100,0,0,0,-,-,100,11.764705882,0,,0,0.6191950464,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,D,2021,May
89,Rochester Methodist Hospital (Mayo Clinic) (MNMC),MNMC,TX1,2021-07-06 19:00:00,HR,5.2631578947,5.2631578947,0,15.789473684,21.052631579,,,5.2631578947,52.631578947,15.789473684,26.315789474,15.789473684,36.842105263,26.315789474,,0,0,47.368421053,52.631578947,0,63.157894737,0,10.526315789,89.473684211,0,10.526315789,26.315789474,-,-,5.2631578947,11.764705882,5.2631578947,,0,0.6191950464,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,D,2021,May
90,"University of Minnesota Medical Center, Fairview (MNUM)",MNUM,TX1,2021-07-06 19:00:00,HR,7.1428571429,9.5238095238,14.285714286,9.5238095238,2.380952381,,,4.7619047619,40.476190476,14.285714286,40.476190476,35.714285714,26.19047619,23.80952381,,0,0,38.095238095,61.904761905,0,52.380952381,0,16.666666667,100,0,0,30.952380952,-,-,16.666666667,11.764705882,9.5238095238,,4.7619047619,0.6191950464,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,D,2021,May
91,Children's Hospital of Wisconsin (WICH),WICH,TX1,2021-07-06 19:00:00,HR,11.111111111,33.333333333,33.333333333,22.222222222,0,,,11.111111111,11.111111111,11.111111111,66.666666667,66.666666667,11.111111111,0,,0,0,44.444444444,55.555555556,0,33.333333333,0,0,100,0,0,66.666666667,-,-,33.333333333,11.764705882,66.666666667,,0,0.6191950464,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,D,2021,May
92,Froedtert Memorial Lutheran Hospital (WISE),WISE,TX1,2021-07-06 19:00:00,HR,0,0,0,16.666666667,16.666666667,,,0,55.555555556,22.222222222,22.222222222,11.111111111,16.666666667,50,,0,0,22.222222222,77.777777778,0,61.111111111,0,16.666666667,100,0,0,22.222222222,-,-,0,11.764705882,0,,0,0.6191950464,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,D,2021,May
93,Aurora St. Luke's Medical Center (WISL),WISL,TX1,2021-07-06 19:00:00,HR,0,0,0,12,8,,,10,38,14,38,6,34,26,,0,0,12,88,0,32,0,10,98,0,2,58,-,-,0,11.764705882,0,,0,0.6191950464,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,D,2021,May
94,University of Wisconsin Hospital and Clinics (WIUW),WIUW,TX1,2021-07-06 19:00:00,HR,0,0,0,0,9.5238095238,,,4.7619047619,52.380952381,11.904761905,30.952380952,4.7619047619,23.80952381,33.333333333,,0,0,33.333333333,66.666666667,0,50,0,0,95.238095238,0,4.7619047619,50,-,-,0,11.764705882,0,,0,0.6191950464,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,D,2021,May
95,Children's Hospital Colorado (COCH),COCH,TX1,2021-07-06 19:00:00,HR,36.363636364,9.0909090909,36.363636364,18.181818182,0,,,0,45.454545455,9.0909090909,45.454545455,90.909090909,9.0909090909,0,,0,0,63.636363636,36.363636364,0,18.181818182,0,54.545454545,90.909090909,0,9.0909090909,27.272727273,-,-,63.636363636,13.06122449,18.181818182,,9.0909090909,2.0408163265,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,D,2021,May
96,University of Colorado Hospital/Health Science Center (COUC),COUC,TX1,2021-07-06 19:00:00,HR,0,0,0,27.272727273,21.212121212,,,6.0606060606,51.515151515,9.0909090909,33.333333333,12.121212121,36.363636364,33.333333333,,0,0,33.333333333,66.666666667,0,63.636363636,0,0,100,0,0,36.363636364,-,-,0,13.06122449,0,,0,2.0408163265,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,D,2021,May
97,University of Iowa Hospitals and Clinics Transplant Programs (IAIV),IAIV,TX1,2021-07-06 19:00:00,HR,15.384615385,23.076923077,7.6923076923,7.6923076923,15.384615385,,,0,30.769230769,30.769230769,38.461538462,38.461538462,30.769230769,15.384615385,,0,0,38.461538462,61.538461538,0,46.153846154,0,0,100,0,0,53.846153846,-,-,23.076923077,13.06122449,7.6923076923,,23.076923077,2.0408163265,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,D,2021,May
98,University of Kansas Hospital (KSUK),KSUK,TX1,2021-07-06 19:00:00,HR,0,0,0,4.6511627907,32.558139535,,,4.6511627907,46.511627907,13.953488372,34.88372093,6.976744186,30.23255814,41.860465116,,0,0,34.88372093,65.11627907,0,62.790697674,0,0,100,0,0,37.209302326,-,-,0,13.06122449,0,,0,2.0408163265,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,D,2021,May
99,Barnes-Jewish Hospital (MOBH),MOBH,TX1,2021-07-06 19:00:00,HR,0,0,0,2.1739130435,39.130434783,,,0,43.47826087,10.869565217,45.652173913,2.1739130435,21.739130435,41.304347826,,0,0,28.260869565,71.739130435,0,63.043478261,0,6.5217391304,100,0,0,30.434782609,-,-,0,13.06122449,0,,0,2.0408163265,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,D,2021,May
100,Cardinal Glennon Children's Hospital (MOCG),MOCG,TX1,2021-07-06 19:00:00,HR,0,100,0,0,0,,,100,0,0,0,0,100,0,,0,0,100,0,0,100,0,0,100,0,0,0,-,-,100,13.06122449,0,,0,2.0408163265,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,D,2021,May
101,St. Louis Children's Hospital (MOCH),MOCH,TX1,2021-07-06 19:00:00,HR,28.571428571,28.571428571,35.714285714,7.1428571429,0,,,14.285714286,28.571428571,14.285714286,42.857142857,57.142857143,21.428571429,7.1428571429,,0,0,42.857142857,57.142857143,0,57.142857143,0,21.428571429,100,0,0,21.428571429,-,-,78.571428571,13.06122449,14.285714286,,0,2.0408163265,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,D,2021,May
102,Children's Mercy Hospital (MOCM),MOCM,TX1,2021-07-06 19:00:00,HR,37.5,37.5,25,0,0,,,12.5,62.5,0,25,62.5,25,0,,0,0,50,50,0,25,0,75,100,0,0,0,-,-,100,13.06122449,0,,0,2.0408163265,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,D,2021,May
103,St Luke's Hospital of Kansas City (MOLH),MOLH,TX1,2021-07-06 19:00:00,HR,0,0,0,12.5,28.125,,,6.25,43.75,18.75,31.25,6.25,28.125,34.375,,0,0,6.25,93.75,0,62.5,0,3.125,96.875,0,3.125,34.375,-,-,0,13.06122449,0,,0,2.0408163265,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,D,2021,May
104,Children's Hospital & Medical Center (NECH),NECH,TX1,2021-07-06 19:00:00,HR,0,50,50,0,0,,,0,50,0,50,100,0,0,,0,0,0,100,0,50,0,0,100,0,0,50,-,-,50,13.06122449,0,,50,2.0408163265,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,D,2021,May
105,The Nebraska Medical Center (NEUN),NEUN,TX1,2021-07-06 19:00:00,HR,0,2.380952381,0,7.1428571429,16.666666667,,,2.380952381,42.857142857,14.285714286,40.476190476,7.1428571429,21.428571429,38.095238095,,0,0,33.333333333,66.666666667,0,23.80952381,0,7.1428571429,97.619047619,0,2.380952381,69.047619048,-,-,2.380952381,13.06122449,0,,0,2.0408163265,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,D,2021,May
106,NY Presbyterian Hospital/Columbia Univ. Medical Center (NYCP),NYCP,TX1,2021-07-06 19:00:00,HR,8.5365853659,7.3170731707,7.3170731707,8.5365853659,19.512195122,,,3.6585365854,46.341463415,12.195121951,37.804878049,26.829268293,34.146341463,25.609756098,,0,0,24.390243902,75.609756098,0,59.756097561,0,26.829268293,95.12195122,0,4.8780487805,13.414634146,-,-,23.170731707,8.4337349398,0,,1.2195121951,0.4016064257,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,D,2021,May
107,"Strong Memorial Hospital, University of Rochester Medical Center (NYFL)",NYFL,TX1,2021-07-06 19:00:00,HR,0,0,0,12.5,18.75,,,12.5,43.75,12.5,31.25,0,43.75,43.75,,0,0,12.5,87.5,0,56.25,0,12.5,100,0,0,31.25,-,-,0,8.4337349398,0,,0,0.4016064257,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,D,2021,May
108,Montefiore Medical Center (NYMA),NYMA,TX1,2021-07-06 19:00:00,HR,0,3.3333333333,0,10,20,,,0,26.666666667,23.333333333,50,10,40,30,,0,0,26.666666667,73.333333333,0,43.333333333,0,0,96.666666667,0,3.3333333333,56.666666667,-,-,0,8.4337349398,3.3333333333,,0,0.4016064257,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,D,2021,May
109,Mount Sinai Medical Center (NYMS),NYMS,TX1,2021-07-06 19:00:00,HR,3.2258064516,0,3.2258064516,12.903225806,19.35483871,,,12.903225806,9.6774193548,19.35483871,58.064516129,22.580645161,29.032258065,35.483870968,,0,0,29.032258065,70.967741935,0,38.709677419,0,32.258064516,96.774193548,0,3.2258064516,29.032258065,-,-,6.4516129032,8.4337349398,0,,0,0.4016064257,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,D,2021,May
110,North Shore University Hospital/Northwell Health (NYNS),NYNS,TX1,2021-07-06 19:00:00,HR,0,0,0,6.25,25,,,25,18.75,18.75,37.5,12.5,31.25,31.25,,0,0,18.75,81.25,0,81.25,0,6.25,100,0,0,12.5,-,-,0,8.4337349398,0,,0,0.4016064257,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,D,2021,May
111,New York University Medical Center (NYUC),NYUC,TX1,2021-07-06 19:00:00,HR,0,0,0,5.2631578947,23.684210526,,,5.2631578947,39.473684211,23.684210526,31.578947368,5.2631578947,50,28.947368421,,0,0,18.421052632,81.578947368,0,63.157894737,0,10.526315789,97.368421053,0,2.6315789474,26.315789474,-,-,0,8.4337349398,0,,0,0.4016064257,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,D,2021,May
112,Westchester Medical Center (NYWC),NYWC,TX1,2021-07-06 19:00:00,HR,0,0,0,5.5555555556,27.777777778,,,2.7777777778,44.444444444,22.222222222,30.555555556,2.7777777778,33.333333333,22.222222222,,0,0,19.444444444,80.555555556,0,72.222222222,0,13.888888889,91.666666667,0,8.3333333333,13.888888889,-,-,0,8.4337349398,0,,0,0.4016064257,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,D,2021,May
113,Indiana University Health (INIM),INIM,TX1,2021-07-06 19:00:00,HR,13.793103448,3.4482758621,0,6.8965517241,24.137931034,,,6.8965517241,44.827586207,3.4482758621,44.827586207,6.8965517241,13.793103448,27.586206897,,0,0,34.482758621,65.517241379,0,41.379310345,0,41.379310345,93.103448276,0,6.8965517241,17.24137931,-,-,6.8965517241,11.419753086,10.344827586,,0,0.6172839506,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,D,2021,May
114,Lutheran Hospital of Fort Wayne (INLH),INLH,TX1,2021-07-06 19:00:00,HR,0,0,0,14.285714286,14.285714286,,,14.285714286,28.571428571,28.571428571,28.571428571,0,14.285714286,28.571428571,,0,0,0,100,0,71.428571429,0,0,100,0,0,28.571428571,-,-,0,11.419753086,0,,0,0.6172839506,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,D,2021,May
115,St Vincent Hospital and Health Care Center (INSV),INSV,TX1,2021-07-06 19:00:00,HR,0,0,0,6.25,12.5,,,6.25,50,9.375,34.375,9.375,25,28.125,,0,0,25,75,0,34.375,0,3.125,100,0,0,62.5,-,-,0,11.419753086,0,,0,0.6172839506,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,D,2021,May
116,Children's Hospital of Michigan (MICH),MICH,TX1,2021-07-06 19:00:00,HR,33.333333333,0,66.666666667,0,0,,,0,66.666666667,0,33.333333333,66.666666667,33.333333333,0,,0,0,0,100,0,100,0,0,100,0,0,0,-,-,100,11.419753086,0,,0,0.6172839506,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,D,2021,May
117,Henry Ford Hospital (MIHF),MIHF,TX1,2021-07-06 19:00:00,HR,0,0,0,6.0606060606,27.272727273,,,3.0303030303,33.333333333,18.181818182,45.454545455,3.0303030303,27.272727273,36.363636364,,0,0,30.303030303,69.696969697,0,66.666666667,0,9.0909090909,93.939393939,0,6.0606060606,24.242424242,-,-,0,11.419753086,0,,0,0.6172839506,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,D,2021,May
118,Spectrum Health (MISH),MISH,TX1,2021-07-06 19:00:00,HR,0,0,0,27.272727273,22.727272727,,,9.0909090909,45.454545455,9.0909090909,36.363636364,4.5454545455,22.727272727,54.545454545,,0,0,36.363636364,63.636363636,0,54.545454545,0,13.636363636,100,0,0,31.818181818,-,-,0,11.419753086,0,,0,0.6172839506,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,D,2021,May
119,University of Michigan Medical Center (MIUM),MIUM,TX1,2021-07-06 19:00:00,HR,16.666666667,12.5,16.666666667,8.3333333333,18.75,,,4.1666666667,47.916666667,10.416666667,37.5,41.666666667,20.833333333,25,,0,0,31.25,68.75,0,31.25,0,20.833333333,100,0,0,47.916666667,-,-,29.166666667,11.419753086,16.666666667,,0,0.6172839506,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,D,2021,May
120,The Cleveland Clinic Foundation (OHCC),OHCC,TX1,2021-07-06 19:00:00,HR,2.9850746269,1.4925373134,2.9850746269,14.925373134,8.9552238806,,,5.9701492537,43.28358209,19.402985075,31.343283582,17.910447761,31.343283582,25.373134328,,0,0,25.373134328,74.626865672,0,58.208955224,0,10.447761194,97.014925373,0,2.9850746269,31.343283582,-,-,7.4626865672,11.419753086,0,,0,0.6172839506,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,D,2021,May
121,Nationwide Children's Hospital (OHCH),OHCH,TX1,2021-07-06 19:00:00,HR,0,50,37.5,12.5,0,,,12.5,62.5,0,25,50,25,25,,0,0,37.5,62.5,0,62.5,0,25,87.5,0,12.5,12.5,-,-,75,11.419753086,12.5,,0,0.6172839506,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,D,2021,May
122,Children's Hospital Medical Center (OHCM),OHCM,TX1,2021-07-06 19:00:00,HR,7.6923076923,53.846153846,15.384615385,15.384615385,7.6923076923,,,15.384615385,38.461538462,0,46.153846154,61.538461538,30.769230769,7.6923076923,,0,0,53.846153846,46.153846154,0,38.461538462,0,7.6923076923,84.615384615,0,15.384615385,53.846153846,-,-,53.846153846,11.419753086,7.6923076923,,15.384615385,0.6172839506,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,D,2021,May
123,Ohio State University Medical Center (OHOU),OHOU,TX1,2021-07-06 19:00:00,HR,0,0,0,0,27.586206897,,,0,48.275862069,6.8965517241,44.827586207,3.4482758621,24.137931034,37.931034483,,0,0,37.931034483,62.068965517,0,44.827586207,0,6.8965517241,100,0,0,48.275862069,-,-,0,11.419753086,0,,0,0.6172839506,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,D,2021,May
124,University of Cincinnati  Medical Center (OHUC),OHUC,TX1,2021-07-06 19:00:00,HR,0,0,0,20,30,,,10,30,20,40,10,0,50,,0,0,40,60,0,30,0,0,100,0,0,70,-,-,0,11.419753086,0,,0,0.6172839506,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,D,2021,May
