,Unnamed: 0, CTR_CD, CTR_TY, RELEASE_DATE, ORG, RCC_A10_N, RCC_A17_N, RCC_A2_N, RCC_A34_N, RCC_A49_N, RCC_A64_N, RCC_A65P_N, RCC_AU_N, RCC_BAB_N, RCC_BAT_N, RCC_BA_N, RCC_BB_N, RCC_BMI20_N, RCC_BMI25_N, RCC_BMI30_N, RCC_BMI31P_N, RCC_BMINR_N, RCC_BO_N, RCC_BU_N, RCC_CAD_N, RCC_CAR_N, RCC_CHD_N, RCC_CLD_N, RCC_COD_N, RCC_CON_N, RCC_CYF_N, RCC_DEVS_N, RCC_DIA_N, RCC_ECO_N, RCC_FBP_N, RCC_GF_N, RCC_GLO_N, RCC_GM_N, RCC_GU_N, RCC_HOSPNR_N, RCC_HOSP_N, RCC_HYP_N, RCC_ICU_N, RCC_IDP_N, RCC_INRET_N, RCC_KIRET_N, RCC_LSNR_N, RCC_LS_N, RCC_LURET_N, RCC_ME11_N, RCC_ME15_N, RCC_ME21_N, RCC_ME31_N, RCC_ME6_N, RCC_MET_N, RCC_MIS_N, RCC_MNEO_N, RCC_NCC_N, RCC_NEC_N, RCC_NEO_N, RCC_NOTHOSP_N, RCC_NOTLS_N, RCC_N_N, RCC_OTH_N, RCC_OTK_N, RCC_PE11_N, RCC_PE15_N, RCC_PE21_N, RCC_PE31_N, RCC_PE6_N, RCC_POL_N, RCC_PPH_N, RCC_PRA79_N, RCC_PRA80_N, RCC_PRA9_N, RCC_PRAU_N, RCC_PTXN_N, RCC_PTXU_N, RCC_PTXY_N, RCC_RA_N, RCC_RB_N, RCC_RET_N, RCC_RH_N, RCC_RO_N, RCC_RU_N, RCC_RW_N, RCC_SGS_N, RCC_TINA_N, RCC_TST1A_N, RCC_TST1B_N, RCC_TST1_N, RCC_TST2A_N, RCC_TST2B_N, RCC_TST2_N, RCC_TST3_N, RCC_TUB_N, RCC_VAS_N, RCC_VHD_N,ENTIRE_NAME,CTR_CD,CTR_TY,RELEASE_DATE,ORG,RCC_A10_N,RCC_A17_N,RCC_A2_N,RCC_A34_N,RCC_A49_N,RCC_A64_N,RCC_A65P_N,RCC_AU_N,RCC_BAB_N,RCC_BAT_N,RCC_BA_N,RCC_BB_N,RCC_BMI20_N,RCC_BMI25_N,RCC_BMI30_N,RCC_BMI31P_N,RCC_BMINR_N,RCC_BO_N,RCC_BU_N,RCC_CAD_N,RCC_CAR_N,RCC_CHD_N,RCC_CLD_N,RCC_COD_N,RCC_CYF_N,RCC_DEVS_N,RCC_DIA_N,RCC_ECO_N,RCC_FBP_N,RCC_GF_N,RCC_GLO_N,RCC_GM_N,RCC_GU_N,RCC_HOSPNR_N,RCC_HOSP_N,RCC_HYP_N,RCC_ICU_N,RCC_IDP_N,RCC_INRET_N,RCC_KIRET_N,RCC_LSNR_N,RCC_LS_N,RCC_LURET_N,RCC_ME11_N,RCC_ME15_N,RCC_ME21_N,RCC_ME31_N,RCC_ME6_N,RCC_MET_N,RCC_MIS_N,RCC_MNEO_N,RCC_NCC_N,RCC_NEC_N,RCC_NEO_N,RCC_NOTHOSP_N,RCC_NOTLS_N,RCC_N_N,RCC_OTH_N,RCC_OTK_N,RCC_PE11_N,RCC_PE15_N,RCC_PE21_N,RCC_PE31_N,RCC_PE6_N,RCC_POL_N,RCC_PPH_N,RCC_PRA79_N,RCC_PRA80_N,RCC_PRA9_N,RCC_PRAU_N,RCC_PTXN_N,RCC_PTXU_N,RCC_PTXY_N,RCC_RA_N,RCC_RB_N,RCC_RET_N,RCC_RH_N,RCC_RO_N,RCC_RU_N,RCC_RW_N,RCC_SGS_N,RCC_TINA_N,RCC_TST1A_N,RCC_TST1B_N,RCC_TST1_N,RCC_TST2A_N,RCC_TST2B_N,RCC_TST2_N,RCC_TST3_N,RCC_TUB_N,RCC_VAS_N,RCC_VHD_N,RCC_CON_N,RCC_A69_N,RCC_A70P_N,RCC_BMI35_N,RCC_BMI40_N,RCC_BMI41P_N,RCC_TAST1_N,RCC_TAST2_N,RCC_TAST3_N,RCC_TAST4_N,RCC_TAST5_N,RCC_TAST6_N
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sharp Memorial Hospital (CASH),CASH,TX1,2017-07-05 19:00:00,HR,4.4827586207,4.3573667712,5.078369906,9.0909090909,16.865203762,42.63322884,17.492163009,0,5.1724137931,,39.498432602,15.203761755,18.119122257,27.680250784,30.470219436,22.978056426,0.7523510972,40.12539185,0,28.934169279,60.12539185,9.1849529781,,,,55.768025078,,,,28.401253918,,71.598746082,0,0.407523511,16.865203762,,31.849529781,,,,0.1567398119,29.529780564,,,,,,,,0.0940438871,,,,,50.877742947,14.545454545,3190,0.65830721,,,,,,,,,,,,,96.614420063,0,3.3855799373,4.0438871473,22.131661442,0,11.379310345,1.0971786834,0,61.347962382,,0,69.247648903,28.463949843,,,,2.2884012539,,,,1.0031347962,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stanford Health Care (CASU),CASU,TX1,2017-07-05 19:00:00,HR,4.4827586207,4.3573667712,5.078369906,9.0909090909,16.865203762,42.63322884,17.492163009,0,5.1724137931,,39.498432602,15.203761755,18.119122257,27.680250784,30.470219436,22.978056426,0.7523510972,40.12539185,0,28.934169279,60.12539185,9.1849529781,,,,55.768025078,,,,28.401253918,,71.598746082,0,0.407523511,16.865203762,,31.849529781,,,,0.1567398119,29.529780564,,,,,,,,0.0940438871,,,,,50.877742947,14.545454545,3190,0.65830721,,,,,,,,,,,,,96.614420063,0,3.3855799373,4.0438871473,22.131661442,0,11.379310345,1.0971786834,0,61.347962382,,0,69.247648903,28.463949843,,,,2.2884012539,,,,1.0031347962,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of California at Los Angeles Medical Center (CAUC),CAUC,TX1,2017-07-05 19:00:00,HR,4.4827586207,4.3573667712,5.078369906,9.0909090909,16.865203762,42.63322884,17.492163009,0,5.1724137931,,39.498432602,15.203761755,18.119122257,27.680250784,30.470219436,22.978056426,0.7523510972,40.12539185,0,28.934169279,60.12539185,9.1849529781,,,,55.768025078,,,,28.401253918,,71.598746082,0,0.407523511,16.865203762,,31.849529781,,,,0.1567398119,29.529780564,,,,,,,,0.0940438871,,,,,50.877742947,14.545454545,3190,0.65830721,,,,,,,,,,,,,96.614420063,0,3.3855799373,4.0438871473,22.131661442,0,11.379310345,1.0971786834,0,61.347962382,,0,69.247648903,28.463949843,,,,2.2884012539,,,,1.0031347962,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keck Hospital of USC (CAUH),CAUH,TX1,2017-07-05 19:00:00,HR,4.4827586207,4.3573667712,5.078369906,9.0909090909,16.865203762,42.63322884,17.492163009,0,5.1724137931,,39.498432602,15.203761755,18.119122257,27.680250784,30.470219436,22.978056426,0.7523510972,40.12539185,0,28.934169279,60.12539185,9.1849529781,,,,55.768025078,,,,28.401253918,,71.598746082,0,0.407523511,16.865203762,,31.849529781,,,,0.1567398119,29.529780564,,,,,,,,0.0940438871,,,,,50.877742947,14.545454545,3190,0.65830721,,,,,,,,,,,,,96.614420063,0,3.3855799373,4.0438871473,22.131661442,0,11.379310345,1.0971786834,0,61.347962382,,0,69.247648903,28.463949843,,,,2.2884012539,,,,1.0031347962,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intermountain Medical Center (UTLD),UTLD,TX1,2017-07-05 19:00:00,HR,4.4827586207,4.3573667712,5.078369906,9.0909090909,16.865203762,42.63322884,17.492163009,0,5.1724137931,,39.498432602,15.203761755,18.119122257,27.680250784,30.470219436,22.978056426,0.7523510972,40.12539185,0,28.934169279,60.12539185,9.1849529781,,,,55.768025078,,,,28.401253918,,71.598746082,0,0.407523511,16.865203762,,31.849529781,,,,0.1567398119,29.529780564,,,,,,,,0.0940438871,,,,,50.877742947,14.545454545,3190,0.65830721,,,,,,,,,,,,,96.614420063,0,3.3855799373,4.0438871473,22.131661442,0,11.379310345,1.0971786834,0,61.347962382,,0,69.247648903,28.463949843,,,,2.2884012539,,,,1.0031347962,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Utah Medical Center (UTMC),UTMC,TX1,2017-07-05 19:00:00,HR,4.4827586207,4.3573667712,5.078369906,9.0909090909,16.865203762,42.63322884,17.492163009,0,5.1724137931,,39.498432602,15.203761755,18.119122257,27.680250784,30.470219436,22.978056426,0.7523510972,40.12539185,0,28.934169279,60.12539185,9.1849529781,,,,55.768025078,,,,28.401253918,,71.598746082,0,0.407523511,16.865203762,,31.849529781,,,,0.1567398119,29.529780564,,,,,,,,0.0940438871,,,,,50.877742947,14.545454545,3190,0.65830721,,,,,,,,,,,,,96.614420063,0,3.3855799373,4.0438871473,22.131661442,0,11.379310345,1.0971786834,0,61.347962382,,0,69.247648903,28.463949843,,,,2.2884012539,,,,1.0031347962,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Primary Children's Hospital (UTPC),UTPC,TX1,2017-07-05 19:00:00,HR,4.4827586207,4.3573667712,5.078369906,9.0909090909,16.865203762,42.63322884,17.492163009,0,5.1724137931,,39.498432602,15.203761755,18.119122257,27.680250784,30.470219436,22.978056426,0.7523510972,40.12539185,0,28.934169279,60.12539185,9.1849529781,,,,55.768025078,,,,28.401253918,,71.598746082,0,0.407523511,16.865203762,,31.849529781,,,,0.1567398119,29.529780564,,,,,,,,0.0940438871,,,,,50.877742947,14.545454545,3190,0.65830721,,,,,,,,,,,,,96.614420063,0,3.3855799373,4.0438871473,22.131661442,0,11.379310345,1.0971786834,0,61.347962382,,0,69.247648903,28.463949843,,,,2.2884012539,,,,1.0031347962,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oregon Health & Science University (ORUO),ORUO,TX1,2017-07-05 19:00:00,HR,4.4827586207,4.3573667712,5.078369906,9.0909090909,16.865203762,42.63322884,17.492163009,0,5.1724137931,,39.498432602,15.203761755,18.119122257,27.680250784,30.470219436,22.978056426,0.7523510972,40.12539185,0,28.934169279,60.12539185,9.1849529781,,,,55.768025078,,,,28.401253918,,71.598746082,0,0.407523511,16.865203762,,31.849529781,,,,0.1567398119,29.529780564,,,,,,,,0.0940438871,,,,,50.877742947,14.545454545,3190,0.65830721,,,,,,,,,,,,,96.614420063,0,3.3855799373,4.0438871473,22.131661442,0,11.379310345,1.0971786834,0,61.347962382,,0,69.247648903,28.463949843,,,,2.2884012539,,,,1.0031347962,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seattle Children's Hospital (WACH),WACH,TX1,2017-07-05 19:00:00,HR,4.4827586207,4.3573667712,5.078369906,9.0909090909,16.865203762,42.63322884,17.492163009,0,5.1724137931,,39.498432602,15.203761755,18.119122257,27.680250784,30.470219436,22.978056426,0.7523510972,40.12539185,0,28.934169279,60.12539185,9.1849529781,,,,55.768025078,,,,28.401253918,,71.598746082,0,0.407523511,16.865203762,,31.849529781,,,,0.1567398119,29.529780564,,,,,,,,0.0940438871,,,,,50.877742947,14.545454545,3190,0.65830721,,,,,,,,,,,,,96.614420063,0,3.3855799373,4.0438871473,22.131661442,0,11.379310345,1.0971786834,0,61.347962382,,0,69.247648903,28.463949843,,,,2.2884012539,,,,1.0031347962,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Providence Sacred Heart Medical Center & Children's Hospital (WASH),WASH,TX1,2017-07-05 19:00:00,HR,4.4827586207,4.3573667712,5.078369906,9.0909090909,16.865203762,42.63322884,17.492163009,0,5.1724137931,,39.498432602,15.203761755,18.119122257,27.680250784,30.470219436,22.978056426,0.7523510972,40.12539185,0,28.934169279,60.12539185,9.1849529781,,,,55.768025078,,,,28.401253918,,71.598746082,0,0.407523511,16.865203762,,31.849529781,,,,0.1567398119,29.529780564,,,,,,,,0.0940438871,,,,,50.877742947,14.545454545,3190,0.65830721,,,,,,,,,,,,,96.614420063,0,3.3855799373,4.0438871473,22.131661442,0,11.379310345,1.0971786834,0,61.347962382,,0,69.247648903,28.463949843,,,,2.2884012539,,,,1.0031347962,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Washington Medical Center (WAUW),WAUW,TX1,2017-07-05 19:00:00,HR,4.4827586207,4.3573667712,5.078369906,9.0909090909,16.865203762,42.63322884,17.492163009,0,5.1724137931,,39.498432602,15.203761755,18.119122257,27.680250784,30.470219436,22.978056426,0.7523510972,40.12539185,0,28.934169279,60.12539185,9.1849529781,,,,55.768025078,,,,28.401253918,,71.598746082,0,0.407523511,16.865203762,,31.849529781,,,,0.1567398119,29.529780564,,,,,,,,0.0940438871,,,,,50.877742947,14.545454545,3190,0.65830721,,,,,,,,,,,,,96.614420063,0,3.3855799373,4.0438871473,22.131661442,0,11.379310345,1.0971786834,0,61.347962382,,0,69.247648903,28.463949843,,,,2.2884012539,,,,1.0031347962,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advocate Christ Medical Center (ILCH),ILCH,TX1,2017-07-05 19:00:00,HR,4.4827586207,4.3573667712,5.078369906,9.0909090909,16.865203762,42.63322884,17.492163009,0,5.1724137931,,39.498432602,15.203761755,18.119122257,27.680250784,30.470219436,22.978056426,0.7523510972,40.12539185,0,28.934169279,60.12539185,9.1849529781,,,,55.768025078,,,,28.401253918,,71.598746082,0,0.407523511,16.865203762,,31.849529781,,,,0.1567398119,29.529780564,,,,,,,,0.0940438871,,,,,50.877742947,14.545454545,3190,0.65830721,,,,,,,,,,,,,96.614420063,0,3.3855799373,4.0438871473,22.131661442,0,11.379310345,1.0971786834,0,61.347962382,,0,69.247648903,28.463949843,,,,2.2884012539,,,,1.0031347962,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM),ILCM,TX1,2017-07-05 19:00:00,HR,4.4827586207,4.3573667712,5.078369906,9.0909090909,16.865203762,42.63322884,17.492163009,0,5.1724137931,,39.498432602,15.203761755,18.119122257,27.680250784,30.470219436,22.978056426,0.7523510972,40.12539185,0,28.934169279,60.12539185,9.1849529781,,,,55.768025078,,,,28.401253918,,71.598746082,0,0.407523511,16.865203762,,31.849529781,,,,0.1567398119,29.529780564,,,,,,,,0.0940438871,,,,,50.877742947,14.545454545,3190,0.65830721,,,,,,,,,,,,,96.614420063,0,3.3855799373,4.0438871473,22.131661442,0,11.379310345,1.0971786834,0,61.347962382,,0,69.247648903,28.463949843,,,,2.2884012539,,,,1.0031347962,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loyola University Medical Center (ILLU),ILLU,TX1,2017-07-05 19:00:00,HR,4.4827586207,4.3573667712,5.078369906,9.0909090909,16.865203762,42.63322884,17.492163009,0,5.1724137931,,39.498432602,15.203761755,18.119122257,27.680250784,30.470219436,22.978056426,0.7523510972,40.12539185,0,28.934169279,60.12539185,9.1849529781,,,,55.768025078,,,,28.401253918,,71.598746082,0,0.407523511,16.865203762,,31.849529781,,,,0.1567398119,29.529780564,,,,,,,,0.0940438871,,,,,50.877742947,14.545454545,3190,0.65830721,,,,,,,,,,,,,96.614420063,0,3.3855799373,4.0438871473,22.131661442,0,11.379310345,1.0971786834,0,61.347962382,,0,69.247648903,28.463949843,,,,2.2884012539,,,,1.0031347962,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northwestern Memorial Hospital (ILNM),ILNM,TX1,2017-07-05 19:00:00,HR,4.4827586207,4.3573667712,5.078369906,9.0909090909,16.865203762,42.63322884,17.492163009,0,5.1724137931,,39.498432602,15.203761755,18.119122257,27.680250784,30.470219436,22.978056426,0.7523510972,40.12539185,0,28.934169279,60.12539185,9.1849529781,,,,55.768025078,,,,28.401253918,,71.598746082,0,0.407523511,16.865203762,,31.849529781,,,,0.1567398119,29.529780564,,,,,,,,0.0940438871,,,,,50.877742947,14.545454545,3190,0.65830721,,,,,,,,,,,,,96.614420063,0,3.3855799373,4.0438871473,22.131661442,0,11.379310345,1.0971786834,0,61.347962382,,0,69.247648903,28.463949843,,,,2.2884012539,,,,1.0031347962,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Chicago Medical Center (ILUC),ILUC,TX1,2017-07-05 19:00:00,HR,4.4827586207,4.3573667712,5.078369906,9.0909090909,16.865203762,42.63322884,17.492163009,0,5.1724137931,,39.498432602,15.203761755,18.119122257,27.680250784,30.470219436,22.978056426,0.7523510972,40.12539185,0,28.934169279,60.12539185,9.1849529781,,,,55.768025078,,,,28.401253918,,71.598746082,0,0.407523511,16.865203762,,31.849529781,,,,0.1567398119,29.529780564,,,,,,,,0.0940438871,,,,,50.877742947,14.545454545,3190,0.65830721,,,,,,,,,,,,,96.614420063,0,3.3855799373,4.0438871473,22.131661442,0,11.379310345,1.0971786834,0,61.347962382,,0,69.247648903,28.463949843,,,,2.2884012539,,,,1.0031347962,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abbott Northwestern Hospital (MNAN),MNAN,TX1,2017-07-05 19:00:00,HR,4.4827586207,4.3573667712,5.078369906,9.0909090909,16.865203762,42.63322884,17.492163009,0,5.1724137931,,39.498432602,15.203761755,18.119122257,27.680250784,30.470219436,22.978056426,0.7523510972,40.12539185,0,28.934169279,60.12539185,9.1849529781,,,,55.768025078,,,,28.401253918,,71.598746082,0,0.407523511,16.865203762,,31.849529781,,,,0.1567398119,29.529780564,,,,,,,,0.0940438871,,,,,50.877742947,14.545454545,3190,0.65830721,,,,,,,,,,,,,96.614420063,0,3.3855799373,4.0438871473,22.131661442,0,11.379310345,1.0971786834,0,61.347962382,,0,69.247648903,28.463949843,,,,2.2884012539,,,,1.0031347962,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saint Marys Hospital (Mayo Clinic) (MNSM),MNSM,TX1,2017-07-05 19:00:00,HR,4.4827586207,4.3573667712,5.078369906,9.0909090909,16.865203762,42.63322884,17.492163009,0,5.1724137931,,39.498432602,15.203761755,18.119122257,27.680250784,30.470219436,22.978056426,0.7523510972,40.12539185,0,28.934169279,60.12539185,9.1849529781,,,,55.768025078,,,,28.401253918,,71.598746082,0,0.407523511,16.865203762,,31.849529781,,,,0.1567398119,29.529780564,,,,,,,,0.0940438871,,,,,50.877742947,14.545454545,3190,0.65830721,,,,,,,,,,,,,96.614420063,0,3.3855799373,4.0438871473,22.131661442,0,11.379310345,1.0971786834,0,61.347962382,,0,69.247648903,28.463949843,,,,2.2884012539,,,,1.0031347962,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"University of Minnesota Medical Center, Fairview (MNUM)",MNUM,TX1,2017-07-05 19:00:00,HR,4.4827586207,4.3573667712,5.078369906,9.0909090909,16.865203762,42.63322884,17.492163009,0,5.1724137931,,39.498432602,15.203761755,18.119122257,27.680250784,30.470219436,22.978056426,0.7523510972,40.12539185,0,28.934169279,60.12539185,9.1849529781,,,,55.768025078,,,,28.401253918,,71.598746082,0,0.407523511,16.865203762,,31.849529781,,,,0.1567398119,29.529780564,,,,,,,,0.0940438871,,,,,50.877742947,14.545454545,3190,0.65830721,,,,,,,,,,,,,96.614420063,0,3.3855799373,4.0438871473,22.131661442,0,11.379310345,1.0971786834,0,61.347962382,,0,69.247648903,28.463949843,,,,2.2884012539,,,,1.0031347962,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Children's Hospital of Wisconsin (WICH),WICH,TX1,2017-07-05 19:00:00,HR,4.4827586207,4.3573667712,5.078369906,9.0909090909,16.865203762,42.63322884,17.492163009,0,5.1724137931,,39.498432602,15.203761755,18.119122257,27.680250784,30.470219436,22.978056426,0.7523510972,40.12539185,0,28.934169279,60.12539185,9.1849529781,,,,55.768025078,,,,28.401253918,,71.598746082,0,0.407523511,16.865203762,,31.849529781,,,,0.1567398119,29.529780564,,,,,,,,0.0940438871,,,,,50.877742947,14.545454545,3190,0.65830721,,,,,,,,,,,,,96.614420063,0,3.3855799373,4.0438871473,22.131661442,0,11.379310345,1.0971786834,0,61.347962382,,0,69.247648903,28.463949843,,,,2.2884012539,,,,1.0031347962,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Froedtert Memorial Lutheran Hospital (WISE),WISE,TX1,2017-07-05 19:00:00,HR,4.4827586207,4.3573667712,5.078369906,9.0909090909,16.865203762,42.63322884,17.492163009,0,5.1724137931,,39.498432602,15.203761755,18.119122257,27.680250784,30.470219436,22.978056426,0.7523510972,40.12539185,0,28.934169279,60.12539185,9.1849529781,,,,55.768025078,,,,28.401253918,,71.598746082,0,0.407523511,16.865203762,,31.849529781,,,,0.1567398119,29.529780564,,,,,,,,0.0940438871,,,,,50.877742947,14.545454545,3190,0.65830721,,,,,,,,,,,,,96.614420063,0,3.3855799373,4.0438871473,22.131661442,0,11.379310345,1.0971786834,0,61.347962382,,0,69.247648903,28.463949843,,,,2.2884012539,,,,1.0031347962,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aurora St. Luke's Medical Center (WISL),WISL,TX1,2017-07-05 19:00:00,HR,4.4827586207,4.3573667712,5.078369906,9.0909090909,16.865203762,42.63322884,17.492163009,0,5.1724137931,,39.498432602,15.203761755,18.119122257,27.680250784,30.470219436,22.978056426,0.7523510972,40.12539185,0,28.934169279,60.12539185,9.1849529781,,,,55.768025078,,,,28.401253918,,71.598746082,0,0.407523511,16.865203762,,31.849529781,,,,0.1567398119,29.529780564,,,,,,,,0.0940438871,,,,,50.877742947,14.545454545,3190,0.65830721,,,,,,,,,,,,,96.614420063,0,3.3855799373,4.0438871473,22.131661442,0,11.379310345,1.0971786834,0,61.347962382,,0,69.247648903,28.463949843,,,,2.2884012539,,,,1.0031347962,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Wisconsin Hospital and Clinics (WIUW),WIUW,TX1,2017-07-05 19:00:00,HR,4.4827586207,4.3573667712,5.078369906,9.0909090909,16.865203762,42.63322884,17.492163009,0,5.1724137931,,39.498432602,15.203761755,18.119122257,27.680250784,30.470219436,22.978056426,0.7523510972,40.12539185,0,28.934169279,60.12539185,9.1849529781,,,,55.768025078,,,,28.401253918,,71.598746082,0,0.407523511,16.865203762,,31.849529781,,,,0.1567398119,29.529780564,,,,,,,,0.0940438871,,,,,50.877742947,14.545454545,3190,0.65830721,,,,,,,,,,,,,96.614420063,0,3.3855799373,4.0438871473,22.131661442,0,11.379310345,1.0971786834,0,61.347962382,,0,69.247648903,28.463949843,,,,2.2884012539,,,,1.0031347962,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Children's Hospital Colorado (COCH),COCH,TX1,2017-07-05 19:00:00,HR,4.4827586207,4.3573667712,5.078369906,9.0909090909,16.865203762,42.63322884,17.492163009,0,5.1724137931,,39.498432602,15.203761755,18.119122257,27.680250784,30.470219436,22.978056426,0.7523510972,40.12539185,0,28.934169279,60.12539185,9.1849529781,,,,55.768025078,,,,28.401253918,,71.598746082,0,0.407523511,16.865203762,,31.849529781,,,,0.1567398119,29.529780564,,,,,,,,0.0940438871,,,,,50.877742947,14.545454545,3190,0.65830721,,,,,,,,,,,,,96.614420063,0,3.3855799373,4.0438871473,22.131661442,0,11.379310345,1.0971786834,0,61.347962382,,0,69.247648903,28.463949843,,,,2.2884012539,,,,1.0031347962,,,,,,,,,,,,
