ENTIRE_NAME,CTR_CD,CTR_TY,RELEASE_DATE,ORG,RCC_A10_C,RCC_A17_C,RCC_A2_C,RCC_A34_C,RC_A49_C,RCC_A64_C,RCC_A65P_C,RCC_AU_C,RCC_BAB_C,RCC_BA_C,RCC_BB_C,RCC_BO_C,RCC_BMI20_C,RCC_BMI25_C,RCC_BMI30_C,RCC_BMI31P_C,RCC_BMINR_C,RCC_BU_C,RCC_GF_C,RCC_GM_C,RCC_GU_C,RCC_ICU_C,RCC_HOSPNR_C,RCC_HOSP_C,RCC_PTXN_C,RCC_PTXU_C,RCC_PTXY_C,RCC_TINA_R,D_OR_L,YEAR,MONTH
University of Maryland Medical System (MDUM) , MDUM , TX1 , 2015/06/16 , Lung , 0.0 , 0.0 , 0.0 , 3.8 , 15.4 , 38.5 , 0.0 , 3.8 , 42.3 , 11.5 , 42.3 , 15.4 , 23.1 , 42.3 , 19.2 , 0.0 , 0.0 , 42.3 , 57.7 , 0.0 , 11.5 , 0.0 , 88.5 , 84.6 , 0.0 , 15.4 , 0.0 , 42.3 ,D,2015,6
Henry Ford Hospital (MIHF) , MIHF , TX1 , 2015/06/16 , Lung , 0.0 , 0.0 , 0.0 , 6.3 , 6.3 , 37.5 , 0.0 , 12.5 , 31.3 , 12.5 , 43.8 , 6.3 , 25.0 , 31.3 , 37.5 , 0.0 , 0.0 , 25.0 , 75.0 , 0.0 , 18.8 , 0.0 , 6.3 , 100.0 , 0.0 , 0.0 , 75.0 , 50.0 ,D,2015,6
Spectrum Health (MISH) , MISH , TX1 , 2015/06/16 , Lung , 0.0 , 0.0 , 0.0 , 14.3 , 0.0 , 28.6 , 0.0 , 14.3 , 42.9 , 0.0 , 42.9 , 50.0 , 35.7 , 14.3 , 0.0 , 0.0 , 0.0 , 50.0 , 50.0 , 0.0 , 92.9 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 7.1 , 57.1 ,D,2015,6
University of Michigan Medical Center (MIUM) , MIUM , TX1 , 2015/06/16 , Lung , 0.0 , 0.0 , 0.0 , 10.7 , 25.0 , 10.7 , 0.0 , 0.0 , 50.0 , 14.3 , 35.7 , 17.9 , 39.3 , 25.0 , 17.9 , 0.0 , 0.0 , 25.0 , 75.0 , 0.0 , 10.7 , 0.0 , 7.1 , 100.0 , 0.0 , 0.0 , 82.1 , 53.6 ,D,2015,6
Saint Marys Hospital (Mayo Clinic) (MNSM) , MNSM , TX1 , 2015/06/16 , Lung , 0.0 , 0.0 , 0.0 , 18.2 , 27.3 , 0.0 , 0.0 , 0.0 , 54.5 , 9.1 , 36.4 , 18.2 , 36.4 , 27.3 , 9.1 , 9.1 , 0.0 , 27.3 , 72.7 , 0.0 , 36.4 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 63.6 , 54.5 ,D,2015,6
"University of Minnesota Medical Center, Fairview (MNUM) ", MNUM , TX1 , 2015/06/16 , Lung , 0.0 , 0.0 , 0.0 , 13.5 , 13.5 , 17.3 , 0.0 , 5.8 , 34.6 , 15.4 , 44.2 , 25.0 , 36.5 , 25.0 , 13.5 , 0.0 , 0.0 , 30.8 , 69.2 , 0.0 , 13.5 , 0.0 , 13.5 , 100.0 , 0.0 , 0.0 , 73.1 , 55.8 ,D,2015,6
Barnes-Jewish Hospital (MOBH) , MOBH , TX1 , 2015/06/16 , Lung , 0.0 , 0.0 , 0.0 , 9.1 , 21.2 , 18.2 , 0.0 , 9.1 , 50.0 , 6.1 , 34.8 , 25.8 , 39.4 , 33.3 , 1.5 , 0.0 , 0.0 , 31.8 , 68.2 , 0.0 , 10.6 , 0.0 , 16.7 , 95.5 , 0.0 , 4.5 , 72.7 , 51.5 ,D,2015,6
St. Louis Children's Hospital (MOCH) , MOCH , TX1 , 2015/06/16 , Lung , 12.5 , 50.0 , 0.0 , 37.5 , 0.0 , 0.0 , 0.0 , 0.0 , 62.5 , 0.0 , 37.5 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 87.5 , 12.5 , 0.0 , 25.0 , 0.0 , 0.0 , 50.0 , 0.0 , 50.0 , 75.0 , 0.0 ,D,2015,6
Duke University Hospital (NCDU) , NCDU , TX1 , 2015/06/16 , Lung , 0.0 , 0.0 , 0.0 , 16.7 , 13.9 , 38.9 , 0.0 , 2.8 , 41.7 , 11.1 , 44.4 , 32.4 , 46.3 , 21.3 , 0.0 , 0.0 , 0.0 , 42.6 , 57.4 , 0.0 , 10.2 , 0.0 , 8.3 , 92.6 , 0.0 , 7.4 , 81.5 , 30.6 ,D,2015,6
University of North Carolina Hospitals (NCMH) , NCMH , TX1 , 2015/06/16 , Lung , 0.0 , 0.0 , 0.0 , 33.3 , 25.0 , 8.3 , 0.0 , 0.0 , 41.7 , 0.0 , 58.3 , 50.0 , 16.7 , 25.0 , 8.3 , 0.0 , 0.0 , 33.3 , 66.7 , 0.0 , 8.3 , 0.0 , 16.7 , 91.7 , 0.0 , 8.3 , 75.0 , 33.3 ,D,2015,6
NY Presbyterian Hospital/Columbia Univ. Medical Center (NYCP) , NYCP , TX1 , 2015/06/16 , Lung , 0.0 , 1.7 , 0.0 , 11.7 , 11.7 , 25.0 , 0.0 , 6.7 , 38.3 , 15.0 , 40.0 , 26.7 , 31.7 , 31.7 , 10.0 , 0.0 , 0.0 , 43.3 , 56.7 , 0.0 , 26.7 , 0.0 , 6.7 , 93.3 , 0.0 , 6.7 , 66.7 , 50.0 ,D,2015,6
The Cleveland Clinic Foundation (OHCC) , OHCC , TX1 , 2015/06/16 , Lung , 0.0 , 0.0 , 0.0 , 12.5 , 8.7 , 33.7 , 0.0 , 6.7 , 34.6 , 15.4 , 43.3 , 22.1 , 26.0 , 40.4 , 11.5 , 0.0 , 0.0 , 29.8 , 70.2 , 0.0 , 14.4 , 0.0 , 20.2 , 97.1 , 0.0 , 2.9 , 65.4 , 45.2 ,D,2015,6
Nationwide Children's Hospital (OHCH) , OHCH , TX1 , 2015/06/16 , Lung , 0.0 , 66.7 , 0.0 , 33.3 , 0.0 , 0.0 , 0.0 , 0.0 , 66.7 , 0.0 , 33.3 , 33.3 , 66.7 , 0.0 , 0.0 , 0.0 , 0.0 , 33.3 , 66.7 , 0.0 , 0.0 , 0.0 , 33.3 , 100.0 , 0.0 , 0.0 , 66.7 , 0.0 ,D,2015,6
Children's Hospital Medical Center (OHCM) , OHCM , TX1 , 2015/06/16 , Lung , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 ,D,2015,6
Ohio State University Medical Center (OHOU) , OHOU , TX1 , 2015/06/16 , Lung , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 16.7 , 0.0 , 0.0 , 44.4 , 11.1 , 44.4 , 5.6 , 33.3 , 27.8 , 33.3 , 0.0 , 0.0 , 27.8 , 72.2 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 100.0 , 83.3 ,D,2015,6
Integris Baptist Medical Center (OKBC) , OKBC , TX1 , 2015/06/16 , Lung , 0.0 , 0.0 , 0.0 , 20.0 , 0.0 , 45.0 , 0.0 , 5.0 , 55.0 , 5.0 , 35.0 , 20.0 , 50.0 , 25.0 , 5.0 , 0.0 , 0.0 , 35.0 , 65.0 , 0.0 , 10.0 , 0.0 , 15.0 , 100.0 , 0.0 , 0.0 , 75.0 , 35.0 ,D,2015,6
Children's Hospital of Pittsburgh of UPMC (PACH) , PACH , TX1 , 2015/06/16 , Lung , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 50.0 , 0.0 , 50.0 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 50.0 , 50.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 100.0 , 0.0 ,D,2015,6
Children's Hospital of Philadelphia (PACP) , PACP , TX1 , 2015/06/16 , Lung , 40.0 , 20.0 , 20.0 , 20.0 , 0.0 , 0.0 , 0.0 , 0.0 , 20.0 , 40.0 , 40.0 , 80.0 , 20.0 , 0.0 , 0.0 , 0.0 , 0.0 , 60.0 , 40.0 , 0.0 , 40.0 , 0.0 , 20.0 , 100.0 , 0.0 , 0.0 , 40.0 , 0.0 ,D,2015,6
University of Pittsburgh Medical Center (PAPT) , PAPT , TX1 , 2015/06/16 , Lung , 0.0 , 0.0 , 0.0 , 9.3 , 16.3 , 22.1 , 0.0 , 5.8 , 36.0 , 12.8 , 45.3 , 19.8 , 32.6 , 36.0 , 11.6 , 0.0 , 0.0 , 44.2 , 55.8 , 0.0 , 19.8 , 0.0 , 11.6 , 96.5 , 0.0 , 3.5 , 68.6 , 52.3 ,D,2015,6
Temple University Hospital (PATU) , PATU , TX1 , 2015/06/16 , Lung , 0.0 , 0.0 , 0.0 , 0.0 , 5.4 , 57.1 , 0.0 , 1.8 , 26.8 , 12.5 , 58.9 , 8.9 , 23.2 , 37.5 , 30.4 , 0.0 , 0.0 , 33.9 , 66.1 , 0.0 , 21.4 , 0.0 , 17.9 , 100.0 , 0.0 , 0.0 , 60.7 , 37.5 ,D,2015,6
Hospital of the University of Pennsylvania (PAUP) , PAUP , TX1 , 2015/06/16 , Lung , 0.0 , 0.0 , 0.0 , 4.8 , 9.5 , 26.2 , 0.0 , 7.1 , 33.3 , 19.0 , 40.5 , 23.8 , 26.2 , 40.5 , 9.5 , 0.0 , 0.0 , 45.2 , 54.8 , 0.0 , 9.5 , 0.0 , 16.7 , 97.6 , 0.0 , 2.4 , 73.8 , 59.5 ,D,2015,6
Medical University of South Carolina (SCMU) , SCMU , TX1 , 2015/06/16 , Lung , 0.0 , 0.0 , 0.0 , 0.0 , 25.0 , 12.5 , 0.0 , 0.0 , 25.0 , 12.5 , 62.5 , 37.5 , 25.0 , 25.0 , 12.5 , 0.0 , 0.0 , 50.0 , 50.0 , 0.0 , 0.0 , 0.0 , 25.0 , 100.0 , 0.0 , 0.0 , 75.0 , 62.5 ,D,2015,6
Vanderbilt University Medical Center (TNVU) , TNVU , TX1 , 2015/06/16 , Lung , 0.0 , 0.0 , 0.0 , 16.0 , 0.0 , 16.0 , 0.0 , 0.0 , 44.0 , 16.0 , 40.0 , 40.0 , 32.0 , 28.0 , 0.0 , 0.0 , 0.0 , 32.0 , 68.0 , 0.0 , 4.0 , 0.0 , 8.0 , 100.0 , 0.0 , 0.0 , 88.0 , 68.0 ,D,2015,6
"University Hospital, University of Texas Health Science Center (TXBC) ", TXBC , TX1 , 2015/06/16 , Lung , 0.0 , 0.0 , 0.0 , 2.6 , 5.3 , 42.1 , 0.0 , 5.3 , 44.7 , 5.3 , 44.7 , 13.2 , 39.5 , 39.5 , 7.9 , 0.0 , 0.0 , 47.4 , 52.6 , 0.0 , 7.9 , 0.0 , 2.6 , 94.7 , 0.0 , 5.3 , 89.5 , 50.0 ,D,2015,6
CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI) , TXHI , TX1 , 2015/06/16 , Lung , 0.0 , 0.0 , 0.0 , 31.8 , 0.0 , 31.8 , 0.0 , 0.0 , 45.5 , 9.1 , 45.5 , 27.3 , 36.4 , 31.8 , 4.5 , 0.0 , 0.0 , 27.3 , 72.7 , 0.0 , 4.5 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 95.5 , 36.4 ,D,2015,6
The Methodist Hospital (TXMH) , TXMH , TX1 , 2015/06/16 , Lung , 0.0 , 0.0 , 0.0 , 8.0 , 11.0 , 38.0 , 0.0 , 4.0 , 36.0 , 16.0 , 44.0 , 15.0 , 25.0 , 18.0 , 10.0 , 32.0 , 0.0 , 37.0 , 63.0 , 0.0 , 11.0 , 32.0 , 8.0 , 92.0 , 0.0 , 8.0 , 49.0 , 43.0 ,D,2015,6
William P. Clements Jr. University Hospital (TXSP) , TXSP , TX1 , 2015/06/16 , Lung , 0.0 , 3.2 , 0.0 , 3.2 , 12.9 , 33.9 , 0.0 , 3.2 , 40.3 , 11.3 , 45.2 , 25.8 , 29.0 , 38.7 , 6.5 , 0.0 , 0.0 , 43.5 , 56.5 , 0.0 , 17.7 , 0.0 , 6.5 , 98.4 , 0.0 , 1.6 , 75.8 , 46.8 ,D,2015,6
Scott and White Memorial Hospital (TXSW) , TXSW , TX1 , 2015/06/16 , Lung , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 20.0 , 0.0 , 40.0 , 20.0 , 20.0 , 20.0 , 0.0 , 20.0 , 40.0 , 40.0 , 0.0 , 0.0 , 60.0 , 40.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 100.0 , 80.0 ,D,2015,6
Texas Children's Hospital (TXTC) , TXTC , TX1 , 2015/06/16 , Lung , 25.0 , 43.8 , 31.3 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 31.3 , 6.3 , 62.5 , 87.5 , 6.3 , 0.0 , 6.3 , 0.0 , 0.0 , 43.8 , 56.3 , 0.0 , 43.8 , 0.0 , 25.0 , 87.5 , 0.0 , 12.5 , 31.3 , 0.0 ,D,2015,6
Baylor University Medical Center (TXTX) , TXTX , TX1 , 2015/06/16 , Lung , 0.0 , 0.0 , 0.0 , 5.6 , 8.3 , 16.7 , 0.0 , 0.0 , 36.1 , 13.9 , 50.0 , 22.2 , 36.1 , 33.3 , 8.3 , 0.0 , 0.0 , 44.4 , 55.6 , 0.0 , 5.6 , 0.0 , 13.9 , 100.0 , 0.0 , 0.0 , 80.6 , 69.4 ,D,2015,6
University of Utah Medical Center (UTMC) , UTMC , TX1 , 2015/06/16 , Lung , 0.0 , 0.0 , 0.0 , 13.3 , 20.0 , 26.7 , 0.0 , 6.7 , 53.3 , 6.7 , 33.3 , 20.0 , 33.3 , 26.7 , 20.0 , 0.0 , 0.0 , 33.3 , 66.7 , 0.0 , 20.0 , 0.0 , 0.0 , 80.0 , 0.0 , 20.0 , 80.0 , 40.0 ,D,2015,6
Inova Fairfax Hospital (VAFH) , VAFH , TX1 , 2015/06/16 , Lung , 0.0 , 0.0 , 0.0 , 0.0 , 18.5 , 33.3 , 0.0 , 0.0 , 44.4 , 7.4 , 48.1 , 3.7 , 40.7 , 44.4 , 11.1 , 0.0 , 0.0 , 29.6 , 70.4 , 0.0 , 18.5 , 0.0 , 14.8 , 96.3 , 0.0 , 3.7 , 66.7 , 48.1 ,D,2015,6
University of Virginia Health Sciences Center (VAUV) , VAUV , TX1 , 2015/06/16 , Lung , 0.0 , 0.0 , 0.0 , 6.3 , 18.8 , 18.8 , 0.0 , 6.3 , 37.5 , 0.0 , 56.3 , 25.0 , 43.8 , 25.0 , 6.3 , 0.0 , 0.0 , 37.5 , 62.5 , 0.0 , 6.3 , 0.0 , 12.5 , 93.8 , 0.0 , 6.3 , 81.3 , 56.3 ,D,2015,6
University of Washington Medical Center (WAUW) , WAUW , TX1 , 2015/06/16 , Lung , 0.0 , 2.3 , 0.0 , 20.5 , 2.3 , 34.1 , 0.0 , 2.3 , 54.5 , 2.3 , 40.9 , 15.9 , 29.5 , 52.3 , 0.0 , 2.3 , 0.0 , 34.1 , 65.9 , 0.0 , 6.8 , 6.8 , 4.5 , 97.7 , 0.0 , 2.3 , 81.8 , 40.9 ,D,2015,6
Froedtert Memorial Lutheran Hospital (WISE) , WISE , TX1 , 2015/06/16 , Lung , 0.0 , 0.0 , 0.0 , 0.0 , 50.0 , 20.0 , 0.0 , 0.0 , 40.0 , 50.0 , 10.0 , 10.0 , 30.0 , 30.0 , 30.0 , 0.0 , 0.0 , 20.0 , 80.0 , 0.0 , 10.0 , 0.0 , 20.0 , 100.0 , 0.0 , 0.0 , 70.0 , 30.0 ,D,2015,6
University of Wisconsin Hospital and Clinics (WIUW) , WIUW , TX1 , 2015/06/16 , Lung , 0.0 , 0.0 , 0.0 , 9.4 , 25.0 , 18.8 , 0.0 , 0.0 , 31.3 , 6.3 , 62.5 , 15.6 , 40.6 , 37.5 , 6.3 , 0.0 , 0.0 , 21.9 , 78.1 , 0.0 , 0.0 , 0.0 , 12.5 , 100.0 , 0.0 , 0.0 , 87.5 , 46.9 ,D,2015,6
University of Alabama Hospital (ALUA) , ALUA , TX1 , 2015/12/16 , Lung , 0.0 , 4.3 , 0.0 , 8.7 , 8.7 , 13.0 , 0.0 , 4.3 , 56.5 , 17.4 , 21.7 , 8.7 , 30.4 , 30.4 , 30.4 , 0.0 , 0.0 , 43.5 , 56.5 , 0.0 , 21.7 , 0.0 , 4.3 , 100.0 , 0.0 , 0.0 , 73.9 , 65.2 ,D,2015,12
St. Joseph's Hospital and Medical Center (AZSJ) , AZSJ , TX1 , 2015/12/16 , Lung , 0.0 , 0.0 , 0.0 , 3.2 , 5.3 , 37.2 , 0.0 , 3.2 , 34.0 , 9.6 , 53.2 , 18.1 , 37.2 , 26.6 , 18.1 , 0.0 , 0.0 , 33.0 , 67.0 , 0.0 , 27.7 , 0.0 , 2.1 , 95.7 , 0.0 , 4.3 , 70.2 , 54.3 ,D,2015,12
Banner University Medical Center-Tucson (AZUA) , AZUA , TX1 , 2015/12/16 , Lung , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 100.0 , 0.0 ,D,2015,12
Cedars-Sinai Medical Center (CACS) , CACS , TX1 , 2015/12/16 , Lung , 0.0 , 0.0 , 0.0 , 0.0 , 6.7 , 40.0 , 0.0 , 0.0 , 73.3 , 6.7 , 20.0 , 6.7 , 26.7 , 60.0 , 6.7 , 0.0 , 0.0 , 40.0 , 60.0 , 0.0 , 6.7 , 0.0 , 0.0 , 86.7 , 0.0 , 13.3 , 93.3 , 53.3 ,D,2015,12
University of California San Diego Medical Center (CASD) , CASD , TX1 , 2015/12/16 , Lung , 0.0 , 0.0 , 0.0 , 45.5 , 0.0 , 27.3 , 0.0 , 4.5 , 40.9 , 4.5 , 50.0 , 45.5 , 18.2 , 31.8 , 4.5 , 0.0 , 0.0 , 31.8 , 68.2 , 0.0 , 13.6 , 0.0 , 13.6 , 72.7 , 0.0 , 27.3 , 72.7 , 27.3 ,D,2015,12
University of California San Francisco Medical Center (CASF) , CASF , TX1 , 2015/12/16 , Lung , 0.0 , 0.0 , 0.0 , 4.1 , 32.7 , 20.4 , 0.0 , 6.1 , 40.8 , 20.4 , 32.7 , 6.1 , 38.8 , 51.0 , 4.1 , 0.0 , 0.0 , 36.7 , 63.3 , 0.0 , 28.6 , 0.0 , 14.3 , 98.0 , 0.0 , 2.0 , 57.1 , 42.9 ,D,2015,12
Stanford University Medical Center (CASU) , CASU , TX1 , 2015/12/16 , Lung , 0.0 , 0.0 , 0.0 , 21.6 , 16.2 , 24.3 , 0.0 , 2.7 , 32.4 , 10.8 , 54.1 , 21.6 , 35.1 , 40.5 , 2.7 , 0.0 , 0.0 , 29.7 , 70.3 , 0.0 , 10.8 , 0.0 , 5.4 , 91.9 , 0.0 , 8.1 , 83.8 , 37.8 ,D,2015,12
University of California at Los Angeles Medical Center (CAUC) , CAUC , TX1 , 2015/12/16 , Lung , 0.0 , 0.0 , 0.0 , 9.7 , 8.6 , 38.7 , 0.0 , 7.5 , 35.5 , 10.8 , 46.2 , 21.5 , 30.1 , 33.3 , 15.1 , 0.0 , 0.0 , 31.2 , 68.8 , 0.0 , 7.5 , 0.0 , 6.5 , 91.4 , 0.0 , 8.6 , 86.0 , 43.0 ,D,2015,12
Keck Hospital of USC (CAUH) , CAUH , TX1 , 2015/12/16 , Lung , 0.0 , 0.0 , 0.0 , 11.8 , 23.5 , 17.6 , 0.0 , 5.9 , 47.1 , 11.8 , 35.3 , 17.6 , 35.3 , 35.3 , 11.8 , 0.0 , 0.0 , 47.1 , 52.9 , 0.0 , 23.5 , 0.0 , 11.8 , 94.1 , 0.0 , 5.9 , 64.7 , 47.1 ,D,2015,12
University of Colorado Hospital/Health Science Center (COUC) , COUC , TX1 , 2015/12/16 , Lung , 0.0 , 0.0 , 0.0 , 11.1 , 13.9 , 11.1 , 0.0 , 2.8 , 38.9 , 5.6 , 52.8 , 25.0 , 30.6 , 36.1 , 8.3 , 0.0 , 0.0 , 44.4 , 55.6 , 0.0 , 16.7 , 0.0 , 2.8 , 94.4 , 0.0 , 5.6 , 80.6 , 63.9 ,D,2015,12
Jackson Memorial Hospital University of Miami School of Medicine (FLJM) , FLJM , TX1 , 2015/12/16 , Lung , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 25.0 , 50.0 , 0.0 , 25.0 , 25.0 , 0.0 , 25.0 , 50.0 , 0.0 , 0.0 , 75.0 , 25.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 100.0 , 100.0 ,D,2015,12
Mayo Clinic Florida (FLSL) , FLSL , TX1 , 2015/12/16 , Lung , 0.0 , 2.9 , 0.0 , 0.0 , 26.5 , 41.2 , 0.0 , 2.9 , 32.4 , 11.8 , 52.9 , 14.7 , 47.1 , 32.4 , 5.9 , 0.0 , 0.0 , 35.3 , 64.7 , 0.0 , 38.2 , 0.0 , 17.6 , 94.1 , 0.0 , 5.9 , 44.1 , 29.4 ,D,2015,12
Tampa General Hospital (FLTG) , FLTG , TX1 , 2015/12/16 , Lung , 0.0 , 0.0 , 0.0 , 10.8 , 8.1 , 35.1 , 0.0 , 0.0 , 29.7 , 24.3 , 45.9 , 27.0 , 37.8 , 29.7 , 5.4 , 0.0 , 0.0 , 27.0 , 73.0 , 0.0 , 10.8 , 0.0 , 13.5 , 94.6 , 0.0 , 5.4 , 75.7 , 45.9 ,D,2015,12
UF Health Shands Hospital (FLUF) , FLUF , TX1 , 2015/12/16 , Lung , 0.0 , 5.3 , 0.0 , 15.8 , 21.1 , 21.1 , 0.0 , 0.0 , 36.8 , 10.5 , 52.6 , 26.3 , 47.4 , 26.3 , 0.0 , 0.0 , 0.0 , 52.6 , 47.4 , 0.0 , 21.1 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 78.9 , 36.8 ,D,2015,12
Emory University Hospital (GAEM) , GAEM , TX1 , 2015/12/16 , Lung , 0.0 , 0.0 , 0.0 , 8.3 , 12.5 , 33.3 , 0.0 , 4.2 , 54.2 , 12.5 , 29.2 , 29.2 , 8.3 , 54.2 , 8.3 , 0.0 , 0.0 , 37.5 , 62.5 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 100.0 , 45.8 ,D,2015,12
University of Iowa Hospitals and Clinics (IAIV) , IAIV , TX1 , 2015/12/16 , Lung , 0.0 , 0.0 , 0.0 , 11.1 , 11.1 , 27.8 , 0.0 , 0.0 , 44.4 , 11.1 , 44.4 , 27.8 , 55.6 , 16.7 , 0.0 , 0.0 , 0.0 , 33.3 , 66.7 , 0.0 , 0.0 , 0.0 , 5.6 , 100.0 , 0.0 , 0.0 , 94.4 , 50.0 ,D,2015,12
Advocate Christ Medical Center (ILCH) , ILCH , TX1 , 2015/12/16 , Lung , 0.0 , 0.0 , 0.0 , 0.0 , 20.0 , 40.0 , 0.0 , 20.0 , 40.0 , 0.0 , 40.0 , 20.0 , 20.0 , 40.0 , 20.0 , 0.0 , 0.0 , 60.0 , 40.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 100.0 , 40.0 ,D,2015,12
Loyola University Medical Center (ILLU) , ILLU , TX1 , 2015/12/16 , Lung , 0.0 , 0.0 , 0.0 , 9.6 , 13.5 , 21.2 , 0.0 , 5.8 , 34.6 , 5.8 , 53.8 , 23.1 , 30.8 , 42.3 , 3.8 , 0.0 , 0.0 , 40.4 , 59.6 , 0.0 , 13.5 , 0.0 , 5.8 , 94.2 , 0.0 , 5.8 , 80.8 , 55.8 ,D,2015,12
Northwestern Memorial Hospital (ILNM) , ILNM , TX1 , 2015/12/16 , Lung , 0.0 , 0.0 , 0.0 , 0.0 , 14.3 , 28.6 , 0.0 , 0.0 , 57.1 , 14.3 , 28.6 , 14.3 , 35.7 , 42.9 , 7.1 , 0.0 , 0.0 , 64.3 , 35.7 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 100.0 , 57.1 ,D,2015,12
University of Chicago Medical Center (ILUC) , ILUC , TX1 , 2015/12/16 , Lung , 0.0 , 0.0 , 0.0 , 7.7 , 15.4 , 23.1 , 0.0 , 7.7 , 26.9 , 11.5 , 53.8 , 15.4 , 61.5 , 19.2 , 3.8 , 0.0 , 0.0 , 42.3 , 57.7 , 0.0 , 11.5 , 0.0 , 0.0 , 96.2 , 0.0 , 3.8 , 88.5 , 53.8 ,D,2015,12
Indiana University Health (INIM) , INIM , TX1 , 2015/12/16 , Lung , 0.0 , 1.5 , 0.0 , 4.6 , 9.2 , 24.6 , 0.0 , 4.6 , 41.5 , 13.8 , 40.0 , 18.5 , 33.8 , 41.5 , 6.2 , 0.0 , 0.0 , 52.3 , 47.7 , 0.0 , 18.5 , 0.0 , 3.1 , 95.4 , 0.0 , 4.6 , 78.5 , 60.0 ,D,2015,12
Jewish Hospital (KYJH) , KYJH , TX1 , 2015/12/16 , Lung , 0.0 , 0.0 , 0.0 , 6.3 , 12.5 , 25.0 , 0.0 , 6.3 , 50.0 , 6.3 , 37.5 , 12.5 , 50.0 , 37.5 , 0.0 , 0.0 , 0.0 , 50.0 , 50.0 , 0.0 , 6.3 , 0.0 , 25.0 , 93.8 , 0.0 , 6.3 , 68.8 , 56.3 ,D,2015,12
University of Kentucky Medical Center (KYUK) , KYUK , TX1 , 2015/12/16 , Lung , 12.5 , 0.0 , 0.0 , 12.5 , 12.5 , 25.0 , 0.0 , 0.0 , 62.5 , 12.5 , 25.0 , 37.5 , 12.5 , 50.0 , 0.0 , 0.0 , 0.0 , 25.0 , 75.0 , 0.0 , 37.5 , 0.0 , 12.5 , 100.0 , 0.0 , 0.0 , 50.0 , 37.5 ,D,2015,12
Ochsner Foundation Hospital (LAOF) , LAOF , TX1 , 2015/12/16 , Lung , 0.0 , 3.8 , 0.0 , 19.2 , 23.1 , 3.8 , 0.0 , 3.8 , 46.2 , 7.7 , 42.3 , 38.5 , 26.9 , 23.1 , 11.5 , 0.0 , 0.0 , 38.5 , 61.5 , 0.0 , 7.7 , 0.0 , 15.4 , 100.0 , 0.0 , 0.0 , 76.9 , 50.0 ,D,2015,12
Boston Children's Hospital (MACH) , MACH , TX1 , 2015/12/16 , Lung , 0.0 , 60.0 , 0.0 , 40.0 , 0.0 , 0.0 , 0.0 , 0.0 , 20.0 , 60.0 , 20.0 , 80.0 , 20.0 , 0.0 , 0.0 , 0.0 , 0.0 , 60.0 , 40.0 , 0.0 , 40.0 , 0.0 , 0.0 , 80.0 , 0.0 , 20.0 , 60.0 , 0.0 ,D,2015,12
Massachusetts General Hospital (MAMG) , MAMG , TX1 , 2015/12/16 , Lung , 0.0 , 0.0 , 0.0 , 10.0 , 10.0 , 50.0 , 0.0 , 10.0 , 30.0 , 0.0 , 60.0 , 20.0 , 40.0 , 40.0 , 0.0 , 0.0 , 0.0 , 20.0 , 80.0 , 0.0 , 20.0 , 0.0 , 10.0 , 100.0 , 0.0 , 0.0 , 70.0 , 30.0 ,D,2015,12
