,ENTIRE_NAME,CTR_CD,CTR_TY,RELEASE_DATE,ORG,RCC_A10_C,RCC_A17_C,RCC_A2_C,RCC_A34_C,RCC_A49_C,RCC_A64_C,RCC_BAB_C,RCC_BA_C,RCC_BB_C,RCC_BO_C,RCC_BMI20_C,RCC_BMI25_C,RCC_BMI30_C,RCC_BMINR_C,RCC_BU_C,RCC_GF_C,RCC_GM_C,RCC_GU_C,RCC_ICU_C,RCC_HOSPNR_C,RCC_HOSP_C,RCC_PTXN_C,RCC_PTXU_C,RCC_PTXY_C,RCC_NOTHOSP_C,RCC_TST1_C,RCC_TST1_R,RCC_TST1A_C,RCC_TST1A_R,RCC_TST1B_C,RCC_TST2_C,RCC_TST2_R,RCC_TST2A_C,RCC_TST2A_R,RCC_TST2B_C,RCC_TST2B_R,RCC_TST3_C,RCC_TST3_R,RCC_ME11_C,RCC_ME11_R,RCC_ME15_C,RCC_ME15_R,RCC_ME21_C,RCC_ME21_R,RCC_ME31_C,RCC_ME31_R,RCC_ME6_C,RCC_ME6_R,RCC_PE6_C,RCC_PE6_R,RCC_PE11_C,RCC_PE11_R,RCC_PE15_C,RCC_PE15_R,RCC_PE21_C,RCC_PE21_R,RCC_PE31_C,RCC_PE31_R,RCC_TINA_C,RCC_TINA_R,RCC_N_C,D_OR_L,YEAR,MONTH,RCC_A65P_C,RCC_AU_C,RCC_BMI31P_C, RCC_TST1B_R
99,Children's Hospital Colorado (COCH),COCH,TX1,2022-01-06 18:00:00,LI,25,37.5,37.5,0,0,0,12.5,50,0,37.5,75,12.5,12.5,0,0,37.5,62.5,0,25,0,12.5,100,0,0,62.5,0,0,12.5,3.2258064516,25,-,-,0,0,0,0,0,0,0,5.8823529412,25,20.683111954,0,33.965844402,0,20.303605313,0,6.6413662239,25,1.5180265655,0,0.1897533207,0,0.7590132827,0,0.1897533207,12.5,0.1897533207,0,0,8,D,2021,November,,,,
100,Centura Porter Adventist Hospital (COPM),COPM,TX1,2022-01-06 18:00:00,LI,0,0,0,0,50,20,0,50,40,10,40,40,10,0,0,50,50,0,10,0,70,90,0,10,20,0,0,0,3.2258064516,0,-,-,0,0,0,0,0,0,0,5.8823529412,0,20.683111954,50,33.965844402,40,20.303605313,0,6.6413662239,0,1.5180265655,0,0.1897533207,0,0.7590132827,0,0.1897533207,0,0.1897533207,0,0,10,D,2021,November,,,,
101,Presbyterian/St Luke's Medical Center (COSL),COSL,TX1,2022-01-06 18:00:00,LI,0,0,0,25,25,37.5,0,41.666666667,4.1666666667,54.166666667,0,29.166666667,29.166666667,0,0,41.666666667,58.333333333,0,0,0,41.666666667,100,0,0,58.333333333,0,0,0,3.2258064516,0,-,-,0,0,0,0,0,0,8.3333333333,5.8823529412,8.3333333333,20.683111954,25,33.965844402,50,20.303605313,0,6.6413662239,0,1.5180265655,0,0.1897533207,0,0.7590132827,0,0.1897533207,0,0.1897533207,0,0,24,D,2021,November,,,,
102,University of Colorado Hospital/Health Science Center (COUC),COUC,TX1,2022-01-06 18:00:00,LI,0,0,0,7.6086956522,25,53.260869565,2.1739130435,45.652173913,10.869565217,41.304347826,8.6956521739,32.608695652,31.52173913,1.0869565217,0,31.52173913,68.47826087,0,15.217391304,0,9.7826086957,91.304347826,0,8.6956521739,75,0,0,2.1739130435,3.2258064516,0,-,-,0,0,0,0,0,0,8.6956521739,5.8823529412,33.695652174,20.683111954,34.782608696,33.965844402,11.956521739,20.303605313,3.2608695652,6.6413662239,0,1.5180265655,0,0.1897533207,0,0.7590132827,0,0.1897533207,0,0.1897533207,0,0,92,D,2021,November,,,,
103,University of Iowa Hospitals and Clinics Transplant Programs (IAIV),IAIV,TX1,2022-01-06 18:00:00,LI,0,0,0,7.6923076923,23.076923077,57.692307692,7.6923076923,34.615384615,19.230769231,38.461538462,3.8461538462,15.384615385,42.307692308,0,0,23.076923077,76.923076923,0,19.230769231,0,11.538461538,92.307692308,0,7.6923076923,69.230769231,0,0,3.8461538462,3.2258064516,0,-,-,0,0,0,0,0,0,7.6923076923,5.8823529412,7.6923076923,20.683111954,23.076923077,33.965844402,38.461538462,20.303605313,19.230769231,6.6413662239,0,1.5180265655,0,0.1897533207,0,0.7590132827,0,0.1897533207,0,0.1897533207,0,0,26,D,2021,November,,,,
104,University of Kansas Hospital (KSUK),KSUK,TX1,2022-01-06 18:00:00,LI,0,0,0,1.8867924528,15.094339623,56.603773585,11.320754717,33.962264151,9.4339622642,45.283018868,5.6603773585,22.641509434,35.849056604,0,0,45.283018868,54.716981132,0,9.4339622642,0,7.5471698113,94.339622642,0,5.6603773585,83.018867925,0,0,1.8867924528,3.2258064516,0,-,-,0,0,0,0,0,0,5.6603773585,5.8823529412,11.320754717,20.683111954,39.622641509,33.965844402,26.41509434,20.303605313,9.4339622642,6.6413662239,0,1.5180265655,0,0.1897533207,0,0.7590132827,0,0.1897533207,0,0.1897533207,0,0,53,D,2021,November,,,,
105,Barnes-Jewish Hospital (MOBH),MOBH,TX1,2022-01-06 18:00:00,LI,0,0,0,7.2463768116,13.768115942,47.101449275,3.6231884058,34.782608696,11.594202899,50,12.31884058,30.434782609,28.260869565,0.7246376812,0,40.579710145,59.420289855,0,4.347826087,0,18.115942029,94.202898551,0,5.7971014493,77.536231884,0,0,3.6231884058,3.2258064516,0,-,-,0,0,0,0,0,0,6.5217391304,5.8823529412,24.637681159,20.683111954,41.304347826,33.965844402,15.217391304,20.303605313,6.5217391304,6.6413662239,0,1.5180265655,0,0.1897533207,0,0.7590132827,0,0.1897533207,0,0.1897533207,0,0,138,D,2021,November,,,,
106,Cardinal Glennon Children's Hospital (MOCG),MOCG,TX1,2022-01-06 18:00:00,LI,0,100,0,0,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,100,0,0,0,3.2258064516,0,-,-,0,0,0,0,0,0,0,5.8823529412,0,20.683111954,100,33.965844402,0,20.303605313,0,6.6413662239,0,1.5180265655,0,0.1897533207,0,0.7590132827,0,0.1897533207,0,0.1897533207,0,0,1,D,2021,November,,,,
107,St. Louis Children's Hospital (MOCH),MOCH,TX1,2022-01-06 18:00:00,LI,29.411764706,17.647058824,52.941176471,0,0,0,0,41.176470588,5.8823529412,52.941176471,70.588235294,23.529411765,0,5.8823529412,0,35.294117647,64.705882353,0,23.529411765,0,0,88.235294118,0,11.764705882,76.470588235,0,0,11.764705882,3.2258064516,17.647058824,-,-,0,0,0,0,0,0,5.8823529412,5.8823529412,0,20.683111954,5.8823529412,33.965844402,0,20.303605313,5.8823529412,6.6413662239,23.529411765,1.5180265655,0,0.1897533207,23.529411765,0.7590132827,5.8823529412,0.1897533207,0,0.1897533207,0,0,17,D,2021,November,,,,
108,St Luke's Hospital of Kansas City (MOLH),MOLH,TX1,2022-01-06 18:00:00,LI,0,0,0,7.6923076923,19.230769231,34.615384615,0,42.307692308,7.6923076923,50,3.8461538462,34.615384615,46.153846154,0,0,34.615384615,65.384615385,0,7.6923076923,0,26.923076923,96.153846154,0,3.8461538462,65.384615385,0,0,3.8461538462,3.2258064516,0,-,-,0,0,0,0,0,0,3.8461538462,5.8823529412,30.769230769,20.683111954,34.615384615,33.965844402,15.384615385,20.303605313,3.8461538462,6.6413662239,0,1.5180265655,0,0.1897533207,0,0.7590132827,0,0.1897533207,0,0.1897533207,0,0,26,D,2021,November,,,,
109,SSM Health Saint Louis University Hospital (MOSL),MOSL,TX1,2022-01-06 18:00:00,LI,0,0,0,0,17.24137931,68.965517241,6.8965517241,31.034482759,6.8965517241,55.172413793,3.4482758621,20.689655172,41.379310345,0,0,24.137931034,75.862068966,0,13.793103448,0,37.931034483,100,0,0,48.275862069,0,0,0,3.2258064516,0,-,-,0,0,0,0,0,0,3.4482758621,5.8823529412,6.8965517241,20.683111954,41.379310345,33.965844402,27.586206897,20.303605313,13.793103448,6.6413662239,0,1.5180265655,0,0.1897533207,0,0.7590132827,0,0.1897533207,0,0.1897533207,0,0,29,D,2021,November,,,,
110,The Nebraska Medical Center (NEUN),NEUN,TX1,2022-01-06 18:00:00,LI,4.854368932,2.9126213592,2.9126213592,8.7378640777,20.388349515,39.805825243,4.854368932,34.951456311,12.621359223,47.572815534,13.59223301,20.388349515,33.009708738,0.9708737864,0,43.689320388,56.310679612,0,7.7669902913,0,28.155339806,91.262135922,0,8.7378640777,64.077669903,0,0,3.8834951456,3.2258064516,3.8834951456,-,-,0,0,0,0,0,0,3.8834951456,5.8823529412,21.359223301,20.683111954,28.155339806,33.965844402,22.330097087,20.303605313,6.7961165049,6.6413662239,1.9417475728,1.5180265655,0.9708737864,0.1897533207,0,0.7590132827,0,0.1897533207,0,0.1897533207,0,0,103,D,2021,November,,,,
111,NY Presbyterian Hospital/Columbia Univ. Medical Center (NYCP),NYCP,TX1,2022-01-06 18:00:00,LI,6.4814814815,7.4074074074,5.5555555556,8.3333333333,17.592592593,35.185185185,4.6296296296,34.259259259,12.962962963,48.148148148,17.592592593,21.296296296,28.703703704,6.4814814815,0,39.814814815,60.185185185,0,0,0,29.62962963,84.259259259,0,15.740740741,70.37037037,0,0,5.5555555556,5.016722408,0,-,-,0,0,0,0,0,0,16.666666667,9.5317725753,10.185185185,9.6989966555,30.555555556,28.260869565,12.962962963,27.424749164,12.037037037,10.200668896,6.4814814815,1.6722408027,1.8518518519,0.3344481605,0.9259259259,0.3344481605,0.9259259259,0.1672240803,0,0.3344481605,0,0,108,D,2021,November,,,,
112,"Strong Memorial Hospital, University of Rochester Medical Center (NYFL)",NYFL,TX1,2022-01-06 18:00:00,LI,0,0,0,11.904761905,23.80952381,47.619047619,5.9523809524,34.523809524,10.714285714,48.80952381,9.5238095238,28.571428571,27.380952381,0,0,33.333333333,66.666666667,0,26.19047619,0,41.666666667,92.857142857,0,7.1428571429,32.142857143,0,0,1.1904761905,5.016722408,0,-,-,0,0,0,0,0,0,1.1904761905,9.5317725753,5.9523809524,9.6989966555,30.952380952,28.260869565,39.285714286,27.424749164,9.5238095238,10.200668896,0,1.6722408027,0,0.3344481605,0,0.3344481605,0,0.1672240803,0,0.3344481605,0,0,84,D,2021,November,,,,
113,Montefiore Medical Center (NYMA),NYMA,TX1,2022-01-06 18:00:00,LI,3.9215686275,5.8823529412,3.9215686275,7.8431372549,23.529411765,35.294117647,15.68627451,31.37254902,15.68627451,37.254901961,13.725490196,19.607843137,45.098039216,0,0,43.137254902,56.862745098,0,1.9607843137,0,47.058823529,98.039215686,0,1.9607843137,50.980392157,0,0,7.8431372549,5.016722408,1.9607843137,-,-,0,0,0,0,0,0,5.8823529412,9.5317725753,17.647058824,9.6989966555,23.529411765,28.260869565,19.607843137,27.424749164,11.764705882,10.200668896,5.8823529412,1.6722408027,0,0.3344481605,0,0.3344481605,0,0.1672240803,0,0.3344481605,0,0,51,D,2021,November,,,,
114,Mount Sinai Medical Center (NYMS),NYMS,TX1,2022-01-06 18:00:00,LI,2.2598870056,2.2598870056,0,5.0847457627,24.293785311,46.327683616,7.3446327684,36.15819209,13.559322034,42.937853107,10.734463277,31.638418079,33.333333333,0,0,41.807909605,58.192090395,0,9.0395480226,0,40.677966102,92.655367232,0,7.3446327684,50.282485876,0,0,6.2146892655,5.016722408,1.1299435028,-,-,0,0,0,0,0,0,11.299435028,9.5317725753,7.3446327684,9.6989966555,28.813559322,28.260869565,26.553672316,27.424749164,10.734463277,10.200668896,0,1.6722408027,0,0.3344481605,0.5649717514,0.3344481605,0,0.1672240803,0.5649717514,0.3344481605,0,0,177,D,2021,November,,,,
115,North Shore University Hospital/Northwell Health (NYNS),NYNS,TX1,2022-01-06 18:00:00,LI,0,0,0,0,62.5,37.5,12.5,50,12.5,25,12.5,25,37.5,0,0,50,50,0,25,0,37.5,100,0,0,37.5,0,0,37.5,5.016722408,0,-,-,0,0,0,0,0,0,0,9.5317725753,0,9.6989966555,0,28.260869565,50,27.424749164,12.5,10.200668896,0,1.6722408027,0,0.3344481605,0,0.3344481605,0,0.1672240803,0,0.3344481605,0,0,8,D,2021,November,,,,
116,New York-Presbyterian Hospital/Weill Cornell Medical Center (NYNY),NYNY,TX1,2022-01-06 18:00:00,LI,0,0,0,8.3333333333,31.25,47.916666667,6.25,37.5,6.25,50,6.25,27.083333333,25,0,0,45.833333333,54.166666667,0,12.5,0,22.916666667,93.75,0,6.25,64.583333333,0,0,0,5.016722408,0,-,-,0,0,0,0,0,0,22.916666667,9.5317725753,18.75,9.6989966555,29.166666667,28.260869565,22.916666667,27.424749164,2.0833333333,10.200668896,0,1.6722408027,0,0.3344481605,0,0.3344481605,0,0.1672240803,0,0.3344481605,0,0,48,D,2021,November,,,,
117,New York University Medical Center (NYUC),NYUC,TX1,2022-01-06 18:00:00,LI,0,0,0,6.8181818182,22.727272727,38.636363636,15.909090909,29.545454545,15.909090909,38.636363636,11.363636364,29.545454545,34.090909091,11.363636364,0,34.090909091,65.909090909,0,27.272727273,0,15.909090909,95.454545455,0,4.5454545455,56.818181818,0,0,4.5454545455,5.016722408,0,-,-,0,0,0,0,0,0,4.5454545455,9.5317725753,13.636363636,9.6989966555,22.727272727,28.260869565,31.818181818,27.424749164,22.727272727,10.200668896,0,1.6722408027,0,0.3344481605,0,0.3344481605,0,0.1672240803,0,0.3344481605,0,0,44,D,2021,November,,,,
118,Westchester Medical Center (NYWC),NYWC,TX1,2022-01-06 18:00:00,LI,0,0,1.2820512821,5.1282051282,38.461538462,41.025641026,7.6923076923,26.923076923,25.641025641,39.743589744,8.9743589744,28.205128205,33.333333333,0,0,39.743589744,60.256410256,0,23.076923077,0,52.564102564,100,0,0,24.358974359,0,0,3.8461538462,5.016722408,0,-,-,0,0,0,0,0,0,2.5641025641,9.5317725753,6.4102564103,9.6989966555,29.487179487,28.260869565,39.743589744,27.424749164,3.8461538462,10.200668896,0,1.6722408027,0,0.3344481605,0,0.3344481605,0,0.1672240803,1.2820512821,0.3344481605,0,0,78,D,2021,November,,,,
119,Indiana University Health (INIM),INIM,TX1,2022-01-06 18:00:00,LI,1.4084507042,1.4084507042,1.4084507042,4.9295774648,21.126760563,48.591549296,2.1126760563,37.323943662,14.084507042,46.478873239,7.7464788732,26.76056338,28.873239437,0,0,38.028169014,61.971830986,0,11.971830986,0,13.38028169,93.661971831,0,6.338028169,74.647887324,0,0,4.2253521127,2.2196261682,0,-,-,0,0,0,0,0,0,10.563380282,8.6448598131,21.830985915,19.859813084,31.690140845,31.191588785,13.38028169,17.640186916,14.788732394,13.668224299,1.4084507042,0.9345794393,0.7042253521,0.2336448598,0.7042253521,0.8177570093,0,0.7009345794,0,0,0,0,142,D,2021,November,,,,
120,William Beaumont Hospital (MIBH),MIBH,TX1,2022-01-06 18:00:00,LI,0,0,0,11.111111111,22.222222222,48.148148148,14.814814815,37.037037037,3.7037037037,44.444444444,7.4074074074,25.925925926,33.333333333,0,0,25.925925926,74.074074074,0,22.222222222,0,29.62962963,100,0,0,48.148148148,0,0,0,2.2196261682,0,-,-,0,0,0,0,0,0,3.7037037037,8.6448598131,14.814814815,19.859813084,18.518518519,31.191588785,48.148148148,17.640186916,7.4074074074,13.668224299,0,0.9345794393,0,0.2336448598,0,0.8177570093,0,0.7009345794,0,0,0,0,27,D,2021,November,,,,
121,Children's Hospital of Michigan (MICH),MICH,TX1,2022-01-06 18:00:00,LI,0,0,100,0,0,0,0,0,0,100,100,0,0,0,0,100,0,0,0,0,0,100,0,0,100,0,0,0,2.2196261682,0,-,-,0,0,0,0,0,0,0,8.6448598131,0,19.859813084,0,31.191588785,0,17.640186916,0,13.668224299,0,0.9345794393,0,0.2336448598,0,0.8177570093,100,0.7009345794,0,0,0,0,1,D,2021,November,,,,
122,Henry Ford Hospital (MIHF),MIHF,TX1,2022-01-06 18:00:00,LI,0,0,0,6.7961165049,12.621359223,52.427184466,2.9126213592,37.86407767,10.67961165,48.54368932,4.854368932,24.27184466,37.86407767,1.9417475728,0,33.009708738,66.990291262,0,12.621359223,0,20.388349515,97.087378641,0,2.9126213592,66.990291262,0,0,3.8834951456,2.2196261682,0,-,-,0,0,0,0,0,0,2.9126213592,8.6448598131,15.533980583,19.859813084,47.572815534,31.191588785,12.621359223,17.640186916,10.67961165,13.668224299,0,0.9345794393,0,0.2336448598,0,0.8177570093,0,0.7009345794,0,0,0,0,103,D,2021,November,,,,
123,University of Michigan Medical Center (MIUM),MIUM,TX1,2022-01-06 18:00:00,LI,3.6144578313,1.2048192771,1.2048192771,4.8192771084,19.277108434,45.78313253,2.4096385542,42.168674699,18.072289157,37.34939759,8.4337349398,22.891566265,25.301204819,2.4096385542,0,34.939759036,65.060240964,0,7.2289156627,0,20.481927711,89.156626506,0,10.843373494,72.289156627,0,0,2.4096385542,2.2196261682,1.2048192771,-,-,0,0,0,0,0,0,7.2289156627,8.6448598131,27.710843373,19.859813084,30.120481928,31.191588785,15.662650602,17.640186916,8.4337349398,13.668224299,0,0.9345794393,1.2048192771,0.2336448598,1.2048192771,0.8177570093,1.2048192771,0.7009345794,0,0,0,0,83,D,2021,November,,,,
124,The Cleveland Clinic Foundation (OHCC),OHCC,TX1,2022-01-06 18:00:00,LI,0,0.5917159763,0,4.7337278107,19.526627219,47.337278107,4.1420118343,48.520710059,10.650887574,36.686390533,10.650887574,18.343195266,34.911242604,0,0,31.952662722,68.047337278,0,19.526627219,0,21.893491124,94.674556213,0,5.325443787,58.579881657,0,0,0.5917159763,2.2196261682,0,-,-,0,0,0,0,0,0,9.4674556213,8.6448598131,18.343195266,19.859813084,27.810650888,31.191588785,24.26035503,17.640186916,15.384615385,13.668224299,0,0.9345794393,0,0.2336448598,0,0.8177570093,0,0.7009345794,0,0,0,0,169,D,2021,November,,,,
125,Nationwide Children's Hospital (OHCH),OHCH,TX1,2022-01-06 18:00:00,LI,0,100,0,0,0,0,0,50,50,0,50,50,0,0,0,50,50,0,0,0,0,100,0,0,100,0,0,0,2.2196261682,0,-,-,0,0,0,0,0,0,0,8.6448598131,0,19.859813084,50,31.191588785,0,17.640186916,50,13.668224299,0,0.9345794393,0,0.2336448598,0,0.8177570093,0,0.7009345794,0,0,0,0,2,D,2021,November,,,,
126,Children's Hospital Medical Center (OHCM),OHCM,TX1,2022-01-06 18:00:00,LI,25.806451613,29.032258065,29.032258065,16.129032258,0,0,6.4516129032,32.258064516,12.903225806,48.387096774,51.612903226,25.806451613,12.903225806,0,0,67.741935484,32.258064516,0,16.129032258,0,12.903225806,96.774193548,0,3.2258064516,70.967741935,0,0,6.4516129032,2.2196261682,3.2258064516,-,-,0,0,0,0,0,0,9.6774193548,8.6448598131,19.35483871,19.859813084,0,31.191588785,0,17.640186916,12.903225806,13.668224299,19.35483871,0.9345794393,0,0.2336448598,16.129032258,0.8177570093,12.903225806,0.7009345794,0,0,0,0,31,D,2021,November,,,,
127,Ohio State University Medical Center (OHOU),OHOU,TX1,2022-01-06 18:00:00,LI,0,0,0,5.8394160584,27.00729927,42.335766423,4.3795620438,42.335766423,12.408759124,40.875912409,5.8394160584,24.087591241,29.927007299,0,0,43.065693431,56.934306569,0,5.8394160584,0,16.058394161,97.810218978,0,2.1897810219,78.102189781,0,0,2.1897810219,2.2196261682,0,-,-,0,0,0,0,0,0,1.4598540146,8.6448598131,21.167883212,19.859813084,45.98540146,31.191588785,18.97810219,17.640186916,6.5693430657,13.668224299,0,0.9345794393,0,0.2336448598,0,0.8177570093,0,0.7009345794,0,0,0,0,137,D,2021,November,,,,
128,University of Cincinnati  Medical Center (OHUC),OHUC,TX1,2022-01-06 18:00:00,LI,0,0,0,2.8985507246,15.217391304,53.623188406,5.0724637681,42.753623188,12.31884058,39.855072464,9.4202898551,21.014492754,30.434782609,0,0,35.507246377,64.492753623,0,9.4202898551,0,13.768115942,96.376811594,0,3.6231884058,76.811594203,0,0,0,2.2196261682,0,-,-,0,0,0,0,0,0,19.565217391,8.6448598131,21.739130435,19.859813084,16.666666667,31.191588785,13.043478261,17.640186916,25.362318841,13.668224299,0,0.9345794393,0,0.2336448598,0,0.8177570093,0,0.7009345794,0,0,0,0,138,D,2021,November,,,,
129,University Hospitals of Cleveland (OHUH),OHUH,TX1,2022-01-06 18:00:00,LI,0,4.347826087,0,4.347826087,52.173913043,13.043478261,4.347826087,39.130434783,13.043478261,43.47826087,4.347826087,30.434782609,21.739130435,0,0,30.434782609,69.565217391,0,13.043478261,0,34.782608696,100,0,0,52.173913043,0,0,4.347826087,2.2196261682,0,-,-,0,0,0,0,0,0,4.347826087,8.6448598131,0,19.859813084,39.130434783,31.191588785,34.782608696,17.640186916,4.347826087,13.668224299,0,0.9345794393,0,0.2336448598,0,0.8177570093,0,0.7009345794,0,0,0,0,23,D,2021,November,,,,
130,Jewish Hospital (KYJH),KYJH,TX1,2022-01-06 18:00:00,LI,0,0,0,5,10,75,10,35,10,45,5,20,50,0,0,45,55,0,10,0,40,100,0,0,50,0,0,0,3.375,0,-,-,0,0,0,0,0,0,10,5.625,5,11,35,37,45,23.75,0,9,0,0.625,0,0.125,0,0.625,0,0.25,0,0.125,0,0,20,D,2021,November,,,,
131,University of Kentucky Medical Center (KYUK),KYUK,TX1,2022-01-06 18:00:00,LI,0,0,0,6.3492063492,19.047619048,49.206349206,3.1746031746,30.158730159,14.285714286,52.380952381,3.1746031746,17.46031746,30.158730159,0,0,36.507936508,63.492063492,0,11.111111111,0,26.984126984,96.825396825,0,3.1746031746,61.904761905,0,0,0,3.375,0,-,-,0,0,0,0,0,0,4.7619047619,5.625,3.1746031746,11,57.142857143,37,28.571428571,23.75,1.5873015873,9,0,0.625,0,0.125,0,0.625,0,0.25,0,0.125,0,0,63,D,2021,November,,,,
132,Carolinas Medical Center (NCCM),NCCM,TX1,2022-01-06 18:00:00,LI,4.2857142857,0,0,5.7142857143,27.142857143,47.142857143,5.7142857143,45.714285714,11.428571429,37.142857143,7.1428571429,20,32.857142857,0,0,30,70,0,14.285714286,0,41.428571429,90,0,10,44.285714286,0,0,2.8571428571,3.375,0,-,-,0,0,0,0,0,0,2.8571428571,5.625,4.2857142857,11,35.714285714,37,32.857142857,23.75,4.2857142857,9,2.8571428571,0.625,0,0.125,1.4285714286,0.625,0,0.25,0,0.125,0,0,70,D,2021,November,,,,
133,Duke University Hospital (NCDU),NCDU,TX1,2022-01-06 18:00:00,LI,0,0,6.9306930693,6.9306930693,15.841584158,48.514851485,3.9603960396,39.603960396,14.851485149,41.584158416,10.891089109,16.831683168,31.683168317,0,0,39.603960396,60.396039604,0,17.821782178,0,23.762376238,96.03960396,0,3.9603960396,58.415841584,0,0,3.9603960396,3.375,1.9801980198,-,-,0,0,0,0,0,0,5.9405940594,5.625,13.861386139,11,36.633663366,37,17.821782178,23.75,12.871287129,9,0.9900990099,0.625,0,0.125,0,0.625,1.9801980198,0.25,0,0.125,0,0,101,D,2021,November,,,,
134,University of North Carolina Hospitals (NCMH),NCMH,TX1,2022-01-06 18:00:00,LI,0,0,0,3.3333333333,23.333333333,53.333333333,10,33.333333333,16.666666667,40,13.333333333,23.333333333,30,0,0,53.333333333,46.666666667,0,13.333333333,0,33.333333333,93.333333333,0,6.6666666667,53.333333333,0,0,10,3.375,0,-,-,0,0,0,0,0,0,3.3333333333,5.625,0,11,40,37,33.333333333,23.75,6.6666666667,9,0,0.625,0,0.125,0,0.625,0,0.25,0,0.125,0,0,30,D,2021,November,,,,
135,Medical University of South Carolina (SCMU),SCMU,TX1,2022-01-06 18:00:00,LI,1.3513513514,4.0540540541,2.7027027027,5.4054054054,32.432432432,45.945945946,2.7027027027,36.486486486,8.1081081081,52.702702703,10.810810811,20.27027027,32.432432432,0,0,37.837837838,62.162162162,0,33.783783784,0,8.1081081081,97.297297297,0,2.7027027027,58.108108108,0,0,6.7567567568,3.375,0,-,-,0,0,0,0,0,0,6.7567567568,5.625,14.864864865,11,36.486486486,37,14.864864865,23.75,8.1081081081,9,0,0.625,1.3513513514,0.125,2.7027027027,0.625,0,0.25,0,0.125,0,0,74,D,2021,November,,,,
136,Le Bonheur Children's Medical Center (TNLB),TNLB,TX1,2022-01-06 18:00:00,LI,0,50,50,0,0,0,0,0,0,100,50,0,50,0,0,50,50,0,50,0,50,100,0,0,0,0,0,50,3.375,0,-,-,0,0,0,0,0,0,0,5.625,0,11,0,37,0,23.75,0,9,0,0.625,0,0.125,0,0.625,0,0.25,50,0.125,0,0,2,D,2021,November,,,,
137,Methodist University Hospital (TNMH),TNMH,TX1,2022-01-06 18:00:00,LI,0,0,0,4.8076923077,14.423076923,43.269230769,5.7692307692,27.884615385,20.192307692,46.153846154,6.7307692308,16.346153846,31.730769231,0.9615384615,0,36.538461538,63.461538462,0,13.461538462,0,23.076923077,92.307692308,0,7.6923076923,63.461538462,0,0,4.8076923077,3.375,0,-,-,0,0,0,0,0,0,7.6923076923,5.625,11.538461538,11,37.5,37,20.192307692,23.75,13.461538462,9,0,0.625,0,0.125,0,0.625,0,0.25,0,0.125,0,0,104,D,2021,November,,,,
138,Vanderbilt University Medical Center (TNVU),TNVU,TX1,2022-01-06 18:00:00,LI,0.8,2.4,4,2.4,26.4,44.8,7.2,43.2,8,41.6,12,16,30.4,8,0,32.8,67.2,0,8.8,5.6,26.4,98.4,0,1.6,59.2,0,0,1.6,3.375,1.6,-,-,0,0,0,0,0,0,6.4,5.625,14.4,11,36.8,37,22.4,23.75,7.2,9,1.6,0.625,0,0.125,1.6,0.625,0,0.25,0,0.125,0,0,125,D,2021,November,,,,
139,Medical College of Virginia Hospitals (VAMC),VAMC,TX1,2022-01-06 18:00:00,LI,0,0.7352941176,0,8.8235294118,21.323529412,50.735294118,4.4117647059,39.705882353,13.235294118,42.647058824,9.5588235294,22.058823529,27.941176471,0.7352941176,0,34.558823529,65.441176471,0,19.852941176,0,27.941176471,97.058823529,0,2.9411764706,52.205882353,0,0,1.4705882353,3.375,0,-,-,0,0,0,0,0,0,4.4117647059,5.625,13.235294118,11,28.676470588,37,24.264705882,23.75,11.764705882,9,0,0.625,0,0.125,0,0.625,0,0.25,0,0.125,0,0,136,D,2021,November,,,,
140,University of Virginia Health Sciences Center (VAUV),VAUV,TX1,2022-01-06 18:00:00,LI,0,1.3333333333,0,6.6666666667,17.333333333,52,4,22.666666667,14.666666667,58.666666667,2.6666666667,24,33.333333333,0,0,36,64,0,9.3333333333,0,26.666666667,93.333333333,0,6.6666666667,64,0,0,4,3.375,1.3333333333,-,-,0,0,0,0,0,0,5.3333333333,5.625,12,11,37.333333333,37,25.333333333,23.75,10.666666667,9,0,0.625,0,0.125,0,0.625,0,0.25,0,0.125,0,0,75,D,2021,November,,,,
141,,PARH,TX1,2022-01-06 18:00:00,LI,0,0,0,0,50,50,0,50,0,50,0,50,0,50,0,0,100,0,0,50,50,100,0,0,0,0,0,50,50,0,-,-,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,D,2021,November,,,,
1,Yale New Haven Hospital (CTYN),CTYN,TX1,2022-01-06 18:00:00,LI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,2021,November,,,,
2,Boston Children's Hospital (MACH),MACH,TX1,2022-01-06 18:00:00,LI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,2021,November,,,,
3,Lahey Clinic Medical Center (MALC),MALC,TX1,2022-01-06 18:00:00,LI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,2021,November,,,,
4,UMass Memorial Medical Center (MAUM),MAUM,TX1,2022-01-06 18:00:00,LI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,2021,November,,,,
