ENTIRE_NAME,CTR_CD,CTR_TY,RELEASE_DATE,ORG,GSR_AD_OBS_C1M,GSR_AD_OBS_C1Y,GSR_AD_OBS_C3Y,GSR_AD_ACT_C1M,GSR_AD_ACT_C1Y,GSR_AD_ACT_C3Y,GSR_AD_ADJ_C1M,GSR_AD_ADJ_C1Y,GSR_AD_ADJ_C3Y,GSR_AD_EXP_C1M,GSR_AD_EXP_C1Y,GSR_AD_EXP_C3Y,GSR_AD_N_C1M,GSR_AD_N_C1Y,GSR_AD_N_C3Y,GSR_P0_OBS_C1M,GSR_P0_OBS_C1Y,GSR_P0_OBS_C3Y,GSR_P0_ACT_C1M,GSR_P0_ACT_C1Y,GSR_P0_ADJ_C1M,GSR_P0_ADJ_C1Y,GSR_P0_ADJ_C3Y,GSR_P0_EXP_C1M,GSR_P0_EXP_C1Y,GSR_P0_EXP_C3Y,GSR_P0_N_C1M,GSR_P0_N_C1Y,YEAR,MONTH,GSR_P0_ACT_C3Y
Medical College of Virginia Hospitals (VAMC) , VAMC , TX1 , 2015/12/16 , Liver , 6 , 11 , 25 ,95.384615386,91.436865023, 79.338842976 , 95.69701984 , 89.223764523 , 79.794041623 , 5.1028259897 , 13.072277073 , 24.477581362 , 130 , 130 , 121 , 0 , 0 , 0 , 100 , 100 , 91.810152063 , 89.24931007 , 88.579087836 , 0.1713876253 , 0.2292098775 , 0.4850975407 , 2 , 2 ,2015,12,
University of Virginia Health Sciences Center (VAUV) , VAUV , TX1 , 2015/12/16 , Liver , 4 , 20 , 19 ,97.48427673,86.131269152, 86.61971831 , 95.505828448 , 87.930392702 , 81.409431905 , 7.2928131736 , 18.70172524 , 27.519632931 , 159 , 159 , 142 , 0 , 0 , 0 , 100 , 100 , 86.59652165 , 81.184264913 , 86.574713976 , 0.1439105369 , 0.2084487395 , 0.4326953704 , 1 , 1 ,2015,12,
Seattle Children's Hospital (WACH) , WACH , TX1 , 2015/12/16 , Liver , 0 , 0 , 0 ,100,100, 100 , 99.281811133 , 97.923594389 , 92.743091561 , 0.0072078026 , 0.0209826605 , 0.0753369718 , 1 , 1 , 1 , 0 , 1 , 1 , 100 , 96.96969697 , 94.472684598 , 92.113368355 , 86.451763971 , 1.8869720003 , 2.6784769022 , 5.7272737164 , 33 , 33 ,2015,12,
Swedish Medical Center (WASM) , WASM , TX1 , 2015/12/16 , Liver , 2 , 3 , 1 ,93.939393939,90.909090909, 90 , 96.469081194 , 90.21703678 , 82.477333292 , 1.1747598638 , 2.9108511283 , 1.789158393 , 33 , 33 , 10 , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA ,2015,12,
University of Washington Medical Center (WAUW) , WAUW , TX1 , 2015/12/16 , Liver , 5 , 18 , 23 ,97.422680412,90.217640321, 87.765957447 , 96.508377981 , 90.338686266 , 82.844413001 , 6.767746378 , 17.357150545 , 33.417087053 , 194 , 194 , 188 , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA ,2015,12,
Children's Hospital of Wisconsin (WICH) , WICH , TX1 , 2015/12/16 , Liver , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , 1 , 1 , 2 , 90 , 90 , 92.934837616 , 90.345597847 , 82.137484608 , 0.6416820522 , 0.8444765007 , 0.5307832352 , 10 , 10 ,2015,12,
Froedtert Memorial Lutheran Hospital (WISE) , WISE , TX1 , 2015/12/16 , Liver , 4 , 7 , 2 ,92.452830189,84.048027444, 94.871794872 , 95.374709304 , 87.356970506 , 80.307408636 , 2.312976691 , 5.6588656939 , 8.6069937382 , 53 , 53 , 39 , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA ,2015,12,
Aurora St. Luke's Medical Center (WISL) , WISL , TX1 , 2015/12/16 , Liver , 3 , 5 , 14 ,96.296296296,93.827160494, 75 , 95.431008999 , 87.437441978 , 77.944778553 , 3.7242492616 , 9.8988248397 , 12.629346386 , 81 , 81 , 56 , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA ,2015,12,
University of Wisconsin Hospital and Clinics (WIUW) , WIUW , TX1 , 2015/12/16 , Liver , 12 , 25 , 31 ,93.29608939,85.094972071, 79.054054057 , 94.486548282 , 85.145198285 , 77.058075484 , 9.6427665407 , 24.595819766 , 34.439496321 , 179 , 179 , 148 , 1 , 1 , 1 , 85.714285714 , 85.714285714 , 89.690562923 , 85.61143705 , 81.960821903 , 0.7444257507 , 0.9860701882 , 2.1168753334 , 7 , 7 ,2015,12,
Children's of Alabama (ALCH),ALCH,TX1,2020-01-06 18:00:00,LI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,85.7142857142857,85.7142857142857,96.1764194612164,92.4581284029807,88.4039448846276,0.532807429691797,1.00163162154032,1.70751930695645,14,14,2019,11,
University of Alabama Hospital (ALUA),ALUA,TX1,2020-01-06 18:00:00,LI,19,31,40,93.4256055363322,89.0273700782236,84.7908745247149,96.7209780029075,92.0102727282513,85.2014470016904,9.34665434012201,21.1072750162833,38.5099370860863,289,289,263,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,11,
UAMS Medical Center (ARUA),ARUA,TX1,2020-01-06 18:00:00,LI,0,3,15,100,95.6588257793077,80.2631578947369,96.9867804741628,92.6307879968205,85.8047712733532,2.54464418829521,5.96176953445518,10.351599893547,83,83,76,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,11,
Phoenix Children's Hospital (AZCH),AZCH,TX1,2020-01-06 18:00:00,LI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,100,93.75,95.5542863056499,91.2669315209368,88.4039448846276,0.729284600647164,1.40420770814614,1.82214973544992,16,16,2019,11,
Banner-University Medical Center Phoenix (AZGS),AZGS,TX1,2020-01-06 18:00:00,LI,7,25,25,97.0833333333333,88.5276073619632,79.5081967213115,96.0579701891648,90.4592738192467,84.0232039390802,9.5833286981101,21.5103577483593,18.8496157384095,240,240,122,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,11,
Mayo Clinic Hospital (AZMC),AZMC,TX1,2020-01-06 18:00:00,LI,8,12,35,97.0149253731343,95.4231306521579,83.7209302325581,95.9932861077713,90.3056736766422,83.4064254103149,10.7838464553257,25.4220594925403,35.6760502674106,268,268,215,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,11,
St. Joseph's Hospital and Medical Center (AZSJ),AZSJ,TX1,2020-01-06 18:00:00,LI,0,3,2,100,90.956340956341,77.7777777777778,96.3376171499131,91.0918302975483,87.947487635771,1.38382183139576,3.18548226255909,1.11089675797104,37,37,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,11,
Banner University Medical Center-Tucson (AZUA),AZUA,TX1,2020-01-06 18:00:00,LI,3,5,7,90.625,84.2592592592593,58.8235294117647,95.89372766828,90.0756363054998,83.2864986182367,1.29414661692835,2.93939055471608,2.50672600715472,32,32,17,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,11,
Rady Children's Hospital and Health Center (CACH),CACH,TX1,2020-01-06 18:00:00,LI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,88.7275405469872,0,0,0.900561430921373,0,0,2019,11,
Childrens Hospital Los Angeles (CACL),CACL,TX1,2020-01-06 18:00:00,LI,0,0,0,100,100,0,96.9335956597306,92.4873248395351,0,0.0623196895220237,0.133464881853342,0,2,2,0,2,4,1,96.8253968253968,93.3706816059757,95.6672654360153,91.8003499628312,89.2129340405266,2.7787436991494,5.11604349098481,4.50281945410901,63,63,2019,11,
Cedars-Sinai Medical Center (CACS),CACS,TX1,2020-01-06 18:00:00,LI,10,14,16,94.7916666666667,92.7083333333333,85.9649122807018,95.6610595945338,89.5583149300051,82.5314443793502,8.37302704492362,18.5338734825811,20.1592651303081,192,192,114,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,11,
Scripps Green Hospital (CAGH),CAGH,TX1,2020-01-06 18:00:00,LI,3,4,10,95.6521739130435,94.2028985507246,88.3720930232558,96.6703970407326,91.8983948669064,84.871040487598,2.24748302085013,5.33667131180254,13.5158906462655,69,69,86,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,11,
Loma Linda University Medical Center (CALL),CALL,TX1,2020-01-06 18:00:00,LI,10,16,17,93.5064935064935,89.2410341951626,77.027027027027,95.7562547603789,89.7776696264217,80.5564497008172,6.45024251810846,14.4938203768336,14.1327397641694,154,154,74,0,0,0,100,100,92.2681895277657,85.0373952046072,0,0.080470746051432,0.162079082660965,0,1,1,2019,11,
UCSF Medical Center at Mission Bay (CAMB),CAMB,TX1,2020-01-06 18:00:00,LI,1,1,0,0,0,0,93.9971255873457,85.6108449775701,0,0.0426188218604203,0.0426188218604203,0,1,1,0,1,2,2,95.4545454545455,90.9090909090909,95.9868501084701,92.2466145327054,89.1507041054574,0.888303392556752,1.65105057874634,1.33285816393954,22,22,2019,11,
Lucile Salter Packard Children's Hospital at Stanford (CAPC),CAPC,TX1,2020-01-06 18:00:00,LI,0,0,0,100,100,100,96.7662589733211,92.8035996735948,85.7827784462738,0.0328718167934199,0.0746847573620817,0.153351917050006,1,1,1,1,5,7,98.8505747126437,93.8319572608062,95.6154880568185,91.6051217450743,88.5965613503178,3.84235193679406,7.26741383568921,9.74534303920905,87,87,2019,11,
California Pacific Medical Center (CAPM),CAPM,TX1,2020-01-06 18:00:00,LI,5,11,17,96.3503649635036,91.8178658324644,88.8888888888889,95.4450364429942,89.0632765662008,83.2745563670173,6.35610870282638,14.3297978036723,26.7713767983264,137,137,153,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,11,
University of California San Diego Medical Center (CASD),CASD,TX1,2020-01-06 18:00:00,LI,6,9,15,92.4050632911392,88.1450827653359,81.25,96.2916778396661,91.0303209123006,83.6227157057618,2.78460190282896,6.27806471206828,12.8364786048926,79,79,80,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,11,
University of California San Francisco Medical Center (CASF),CASF,TX1,2020-01-06 18:00:00,LI,14,26,47,96.3917525773196,93.0594605852338,87.1934604904632,96.1805776381768,90.8703323141905,84.1465361398678,14.7930315307981,34.2635082839315,59.8799610937269,388,388,367,0,0,0,100,100,96.9021894228863,93.8585804387971,88.4039448846276,0.0314680726831975,0.0543601645176273,0.986028735587696,1,1,2019,11,
Stanford Health Care (CASU),CASU,TX1,2020-01-06 18:00:00,LI,10,18,22,94.5945945945946,90.0647125999239,83.206106870229,95.679584345838,89.6606923928415,82.3168221961703,7.63376568182058,17.416040267016,22.6681397633263,185,185,131,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,11,
University of California at Los Angeles Medical Center (CAUC),CAUC,TX1,2020-01-06 18:00:00,LI,16,36,71,94.8553054662379,87.6727773833883,77.8125,95.1588077628275,88.4322911823084,81.2755284253905,14.815690897606,34.0765225810051,57.2923157004012,311,311,320,1,1,5,96.6666666666667,96.6666666666667,95.6137125175648,91.3905528584995,88.5118101054141,1.32543564082428,2.61139470480605,3.37864219606803,30,30,2019,11,
Keck Hospital of USC (CAUH),CAUH,TX1,2020-01-06 18:00:00,LI,12,20,30,94.6902654867257,90.8849557522124,87.3417721518987,95.4937546527533,89.2036404539411,82.8389794057331,10.0312820045707,23.0360651398345,41.1102630836366,226,226,237,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,11,
Children's Hospital Colorado (COCH),COCH,TX1,2020-01-06 18:00:00,LI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,97.1428571428571,97.1428571428571,95.9913119552236,92.6255630895967,88.4039448846276,1.43551532675114,2.65979871599834,3.9508603969472,35,35,2019,11,
Centura Porter Adventist Hospital (COPM),COPM,TX1,2020-01-06 18:00:00,LI,3,4,4,88.4615384615385,84.6153846153846,89.1891891891892,96.8739447548152,92.3755921565246,86.6657657579945,0.797635892697787,1.81362720120211,4.99583122744418,26,26,37,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,11,
Presbyterian/St Luke's Medical Center (COSL),COSL,TX1,2020-01-06 18:00:00,LI,1,2,1,96,91.2,83.3333333333333,96.8406121760977,92.2762012109961,87.8460970835528,0.78151089992887,1.86385795537366,0.755921438446856,25,25,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,11,
University of Colorado Hospital/Health Science Center (COUC),COUC,TX1,2020-01-06 18:00:00,LI,9,19,23,96.137339055794,91.4991341013478,87.0056497175141,97.0999985805395,93.0213792120035,84.5263379759042,6.74800637517777,15.3629508417707,27.0244063262201,233,233,177,0,0,0,100,100,96.2272475603315,92.551153851525,88.4039448846276,0.0769644574778573,0.155016938174491,0.123253591948462,2,2,2019,11,
Hartford Hospital (CTHH),CTHH,TX1,2020-01-06 18:00:00,LI,6,8,9,90.1639344262295,86.600142551675,80.4347826086956,96.3897276186406,91.259105311276,84.8365252539025,2.03532116282702,4.6440659242953,6.459259516305,61,61,46,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,11,
Yale New Haven Hospital (CTYN),CTYN,TX1,2020-01-06 18:00:00,LI,2,4,2,96.1538461538461,91.6132478632478,96.7213114754098,96.7606140162957,92.2457118917859,86.0028771243577,1.67357502992176,3.74967421611395,9.17890242122025,52,52,61,1,3,0,94.4444444444444,81.4814814814815,95.7773738627808,92.2464001188369,90.0219231964255,0.757966495705972,1.29982896360657,1.89501295608216,18,18,2019,11,
Georgetown University Medical Center (DCGU),DCGU,TX1,2020-01-06 18:00:00,LI,2,7,28,99,96.0909090909091,80,96.3661437832587,91.1911440658348,83.426489995162,7.43107640032022,17.2845681330155,22.0511769578757,200,200,140,3,4,3,93.6170212765957,91.4893617021277,95.6474783892344,91.6488178806475,89.136614308838,2.04203532083664,3.80082302090435,5.94332317410612,47,47,2019,11,
Alfred I DuPont Hospital for Children (DEAI),DEAI,TX1,2020-01-06 18:00:00,LI,0,0,0,0,0,100,0,0,70.6172773599091,0,0,0.347895349616649,0,0,1,2,2,2,84.6153846153846,84.6153846153846,95.4855168871792,92.0277324718908,89.2668666509199,0.543388027549373,0.903768037062625,1.67632577010482,13,13,2019,11,
Broward Health Medical Center (FLBC),FLBC,TX1,2020-01-06 18:00:00,LI,5,6,4,87.8048780487805,84.8780487804878,87.8787878787879,96.6931310303776,91.9851477316737,86.1603860660467,1.19307588188407,2.774736375164,4.63749647080441,41,41,33,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,11,
Cleveland Clinic Florida Weston (FLCC),FLCC,TX1,2020-01-06 18:00:00,LI,12,17,12,91.044776119403,87.1518695183875,83.5616438356165,96.2517388432191,90.949725510635,82.7189046580847,4.92315693984631,11.4450107539999,12.3443064802543,134,134,73,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,11,
Florida Hospital Medical Center (FLFH),FLFH,TX1,2020-01-06 18:00:00,LI,4,11,17,97.2789115646258,92.1123621862538,88.3561643835616,96.7711662154507,92.134846594749,85.265561207639,4.77496868371884,11.1477048318239,22.150290139368,147,147,146,0,0,0,100,100,96.3429900508428,92.7738308460619,0,0.149085228331663,0.278906324507274,0,4,4,2019,11,
Jackson Memorial Hospital University of Miami School of Medicine (FLJM),FLJM,TX1,2020-01-06 18:00:00,LI,4,13,36,97.9166666666667,92.8831096196868,82,96.5416162817699,91.5797245890138,84.1178431907868,6.64797732085301,15.5544161057604,31.6346226267691,192,192,200,5,7,2,90,85.6216216216216,96.1557120072462,92.4225958041544,88.4039448846276,1.89344710537256,3.56552602622771,4.90351072203046,50,50,2019,11,
Largo Medical Center (FLLM),FLLM,TX1,2020-01-06 18:00:00,LI,1,2,0,93.75,87.5,0,96.8823018286798,92.3737103787689,0,0.48760069625122,1.03713343172032,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,11,
Mayo Clinic Florida (FLSL),FLSL,TX1,2020-01-06 18:00:00,LI,9,21,44,97.4431818181818,93.6048888162197,87.6056338028169,96.2250583633976,90.8642434858112,83.1481413821347,13.3808098108438,31.3960024669671,62.291035397739,352,352,355,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,11,
Tampa General Hospital (FLTG),FLTG,TX1,2020-01-06 18:00:00,LI,9,10,17,94.7976878612717,94.2196531791907,89.5061728395062,96.9044970492261,92.4504309424376,85.3278125753042,5.28939358733012,12.0176358435123,23.9750146446699,173,173,162,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,11,
UF Health Shands Hospital (FLUF),FLUF,TX1,2020-01-06 18:00:00,LI,5,9,16,92.0634920634921,85.3174603174603,83.3333333333333,96.3019094184122,91.0390815029979,81.8461460089727,2.25650164018282,5.03497310291777,17.2666337906196,63,63,96,0,0,4,0,0,0,0,88.4039448846276,0,0,0.482230609184988,0,0,2019,11,
Children's Healthcare of Atlanta at Egleston (GAEH),GAEH,TX1,2020-01-06 18:00:00,LI,1,1,1,83.3333333333333,83.3333333333333,66.6666666666667,94.4980166655176,86.840077964745,79.4761311834526,0.303446673908565,0.663373684490686,0.661482799725982,6,6,3,3,4,9,96,94.6666666666667,95.6208099433147,91.5180855832639,88.4039448846276,3.2948908300848,6.35214638878178,6.69517652266472,75,75,2019,11,
Emory University Hospital (GAEM),GAEM,TX1,2020-01-06 18:00:00,LI,6,17,42,97.841726618705,93.4267680195466,87.7551020408163,96.285099468818,90.9973585515056,84.9227377846494,10.3783205543538,24.1507653371152,52.3178160565329,278,278,343,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,11,
Piedmont Hospital (GAPH),GAPH,TX1,2020-01-06 18:00:00,LI,15,24,44,94.7183098591549,91.088195841717,78.743961352657,96.5273342206159,91.5648876283543,85.2891733107624,9.71798021787801,22.218467776832,29.1408341072407,284,284,207,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,11,
The Queen's Medical Center (HIQM),HIQM,TX1,2020-01-06 18:00:00,LI,3,5,1,91.1764705882353,85.2941176470588,97.3684210526316,97.2134263716395,93.1626997141003,88.9641020408189,0.919382693465493,2.09360571110984,4.45186625160218,34,34,38,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,11,
University of Iowa Hospitals and Clinics Transplant Programs (IAIV),IAIV,TX1,2020-01-06 18:00:00,LI,5,6,4,91.0714285714286,89.2857142857143,93.75,96.3807565896507,91.23363058268,85.4977281078835,1.9901055763213,4.45047512217072,9.63506162989197,56,56,64,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,11,
Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM),ILCM,TX1,2020-01-06 18:00:00,LI,0,0,0,0,0,100,0,0,89.3204353571504,0,0,0.112939884899594,0,0,1,5,6,2,86.8421052631579,83.9473684210526,95.9332100742759,92.3073178488853,89.0161528944971,1.41315512006717,2.57313385265236,4.19990735403196,38,38,2019,11,
Loyola University Medical Center (ILLU),ILLU,TX1,2020-01-06 18:00:00,LI,8,12,14,93.7007874015748,90.323709536308,85.5670103092784,96.5907042825543,91.7132885969642,85.1132400431166,4.2293214981201,9.53665659204506,14.3210260711048,127,127,97,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,11,
Northwestern Memorial Hospital (ILNM),ILNM,TX1,2020-01-06 18:00:00,LI,8,17,35,96.4285714285714,92.0309934318555,83.1730769230769,95.9753347704281,90.333098893822,83.5665634989198,9.05943243902381,20.7277510031154,33.7981456456982,224,224,208,0,0,0,100,100,95.9649646312399,92.0391391280317,0,0.0411870128892732,0.0829562741020463,0,1,1,2019,11,
Rush University Medical Center (ILPL),ILPL,TX1,2020-01-06 18:00:00,LI,2,4,6,97.0149253731343,94.0298507462687,88.4615384615385,95.8421394752454,89.9525372489849,83.8818343933795,2.79350457021587,6.50552348945718,8.63803786461942,67,67,52,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,11,
University of Chicago Medical Center (ILUC),ILUC,TX1,2020-01-06 18:00:00,LI,5,7,8,92.3076923076923,88.6080586080586,79.4871794871795,96.4149006982584,91.290817453317,83.2222640514101,2.2890768986227,5.03212256401058,6.36137325336911,65,65,39,0,0,2,100,100,96.1590221707143,92.4280867757828,88.6981227595,0.196200521179425,0.395174669687291,1.19034230063362,5,5,2019,11,
University of Illinois Medical Center (ILUI),ILUI,TX1,2020-01-06 18:00:00,LI,4,6,8,95.3488372093023,93.0232558139535,84,95.7597583226294,89.8442225697232,82.7444826891444,3.46603180845456,7.72513677097986,8.5331849971731,86,86,50,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,11,
Indiana University Health (INIM),INIM,TX1,2020-01-06 18:00:00,LI,6,20,34,98.0891719745223,93.4720094600769,88.2352941176471,96.7511865147044,92.0761306814082,85.5627826762394,10.2939862224751,23.8606786228318,42.2399855142588,314,314,289,1,1,1,96.7741935483871,96.7741935483871,95.9969339676568,92.1214142285831,88.4039448846276,1.24689677570221,2.38755717566122,0.992185287918391,31,31,2019,11,
University of Kansas Hospital (KSUK),KSUK,TX1,2020-01-06 18:00:00,LI,2,9,43,98.9583333333333,95.0057515337423,80.184331797235,96.9024823162947,92.4354219375306,85.4219750136343,6.04092345369517,14.4656475432921,30.6380512579416,192,192,217,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,11,
Jewish Hospital (KYJH),KYJH,TX1,2020-01-06 18:00:00,LI,5,9,18,93.5064935064935,87.8274268104777,79.7752808988764,97.0000196117637,92.6686651461763,86.0279315325317,2.31056747559648,5.3290819009577,12.1899598451307,77,77,89,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,11,
University of Kentucky Medical Center (KYUK),KYUK,TX1,2020-01-06 18:00:00,LI,4,6,13,95.7894736842105,93.6842105263158,86.0215053763441,96.8090159069683,92.2249527962691,85.6793382144329,3.04806880541746,6.87976105910061,13.5690194597413,95,95,93,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,11,
Ochsner Foundation Hospital (LAOF),LAOF,TX1,2020-01-06 18:00:00,LI,14,38,61,96.8109339407745,90.6381866387841,86.0730593607306,96.278088556356,90.9808046986606,84.2796117007661,16.4042937034145,37.2941389634725,69.3671730078476,439,439,438,0,1,5,100,88.8888888888889,96.7349410107464,93.5338238617158,88.4039448846276,0.298818265196408,0.55868185704711,1.68667260384999,9,9,2019,11,
Tulane Medical Center (LATU),LATU,TX1,2020-01-06 18:00:00,LI,1,1,6,97.7777777777778,97.7777777777778,86.3636363636364,96.8265898438532,92.2424185806227,83.612810035773,1.45300054346159,3.39760054355025,7.11531529195168,45,45,44,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,11,
Willis-Knighton Medical Center (LAWK),LAWK,TX1,2020-01-06 18:00:00,LI,1,5,7,97.5,86.5322580645161,58.8235294117647,96.8448966017076,92.2923720621811,86.6383307339864,1.27325428913333,2.98088681604971,1.97516253710776,40,40,17,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,11,
Beth Israel Deaconess Medical Center (MABI),MABI,TX1,2020-01-06 18:00:00,LI,0,3,10,100,94.987012987013,86.1111111111111,96.7289847719964,92.0987914754287,84.9379484420747,2.33280589702958,5.4303156446586,10.7525900188363,70,70,72,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,11,
Boston Children's Hospital (MACH),MACH,TX1,2020-01-06 18:00:00,LI,0,0,1,0,0,50,0,0,85.7285884983421,0,0,0.294341928692909,0,0,2,1,1,3,97.4358974358974,97.4358974358974,96.2186618596493,92.9190873616056,88.9749960534975,1.45580167684706,2.71870144127428,3.91910885336679,39,39,2019,11,
Lahey Clinic Medical Center (MALC),MALC,TX1,2020-01-06 18:00:00,LI,13,27,26,94.4915254237288,88.213890935888,82.0689655172414,95.6766744873528,89.6655861017943,84.1902612241551,10.118701378244,23.2705468669056,22.2825941466525,236,236,145,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,11,
Massachusetts General Hospital (MAMG),MAMG,TX1,2020-01-06 18:00:00,LI,3,9,17,98.0769230769231,93.1995540691193,87.9432624113475,96.751489127646,92.089805194074,85.8264345641529,5.09892838242461,11.820618339911,20.1404255487926,156,156,141,0,0,0,100,100,96.5117084974561,93.5121604047591,88.4039448846276,0.142083180567553,0.268690815285139,0.61626795974231,4,4,2019,11,
UMass Memorial Medical Center (MAUM),MAUM,TX1,2020-01-06 18:00:00,LI,6,15,28,96.1783439490446,89.8413041131383,79.2592592592593,95.689995845936,89.7399172131157,83.627084522714,6.79409169842194,15.4709612526611,21.2208679632345,157,157,135,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,11,
Johns Hopkins Hospital (MDJH),MDJH,TX1,2020-01-06 18:00:00,LI,7,19,37,97.0954356846473,91.4346646885649,81.592039800995,96.8283415860365,92.3155621297721,85.9277458544967,7.64851193618699,17.4648639135283,27.7547728936381,241,241,201,0,1,2,100,90,96.2557884843491,93.2691117183092,90.1690121338617,0.382134489776398,0.606702317489127,0.981748543079933,10,10,2019,11,
University of Maryland Medical System (MDUM),MDUM,TX1,2020-01-06 18:00:00,LI,16,47,82,95.1219512195122,84.8780487804878,74.375,95.8672897566973,90.1220676089664,82.4034054547293,13.4786391857084,29.8734866092446,53.5117009725344,328,328,320,0,0,0,100,100,95.9140076081418,91.9407298872137,88.4039448846276,0.0417181500295365,0.0840260569074154,0.123253591948462,1,1,2019,11,
William Beaumont Hospital (MIBH),MIBH,TX1,2020-01-06 18:00:00,LI,2,3,4,96.7741935483871,94.7992100065833,83.3333333333333,96.5478117850194,91.6283134309694,85.3106133145247,2.17679856150579,5.09991469567498,3.41484813390629,62,62,24,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,11,
Children's Hospital of Michigan (MICH),MICH,TX1,2020-01-06 18:00:00,LI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,96.8734608921271,93.802595516622,88.4039448846276,0.254118875941521,0.502525433394283,0.61626795974231,8,8,2019,11,
Henry Ford Hospital (MIHF),MIHF,TX1,2020-01-06 18:00:00,LI,6,17,27,97.5708502024291,92.842531429789,85.7894736842105,96.6288629589554,91.8771146130615,84.9794648001895,8.28759134120499,19.2257460616866,28.0211925407875,247,247,190,0,0,1,0,0,0,0,88.4039448846276,0,0,0.096756427488127,0,0,2019,11,
University of Michigan Medical Center (MIUM),MIUM,TX1,2020-01-06 18:00:00,LI,9,17,14,94.2675159235669,88.8450481934502,90.5405405405405,96.8873443994577,92.4393636685973,86.2125748017627,4.84298281492752,11.1048303699812,21.1292826096565,157,157,148,2,3,3,90.4761904761905,85.7142857142857,94.6924469152208,89.8400981896391,88.4039448846276,1.12176217441729,2.1450501670102,3.65009621459688,21,21,2019,11,
Rochester Methodist Hospital (Mayo Clinic) (MNMC),MNMC,TX1,2020-01-06 18:00:00,LI,12,25,38,95.2755905511811,89.8493666552551,83.9662447257384,96.4376014869261,91.5039178428887,83.2452107942664,8.96149640031353,19.9052151285075,40.1516087072973,254,254,237,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,11,
Saint Marys Hospital (Mayo Clinic) (MNSM),MNSM,TX1,2020-01-06 18:00:00,LI,0,0,0,100,100,0,94.1960899422035,86.0663410626056,0,0.0597915133118055,0.112778244313256,0,1,1,0,0,0,1,100,100,95.4201987529511,91.0411288906446,88.8084394625771,0.565929957794678,1.11264600403791,0.929244543649422,12,12,2019,11,
"University of Minnesota Medical Center, Fairview (MNUM)",MNUM,TX1,2020-01-06 18:00:00,LI,4,10,25,97.4193548387097,93.3672891907187,83.6601307189542,96.2304187924799,90.9032091067487,82.8362382316021,5.91598761996757,13.5740900128425,26.8049138908398,155,155,153,1,2,0,94.4444444444444,87.6984126984127,96.028201075257,92.1811497614311,88.4039448846276,0.676410665387953,1.30318937295068,0.862775143639234,18,18,2019,11,
