,ENTIRE_NAME,CTR_CD,CTR_TY,RELEASE_DATE,ORG,RCC_A10_C,RCC_A17_C,RCC_A2_C,RCC_A34_C,RCC_A49_C,RCC_A65P_C,RCC_AU_C,RCC_BAB_C,RCC_BA_C,RCC_BB_C,RCC_BO_C,RCC_BMI20_C,RCC_BMI25_C,RCC_BMI30_C,RCC_BMI31P_C,RCC_BMINR_C,RCC_BU_C,RCC_GF_C,RCC_GM_C,RCC_GU_C,RCC_ICU_C,RCC_HOSPNR_C,RCC_HOSP_C,RCC_PTXN_C,RCC_PTXU_C,RCC_PTXY_C,RCC_NOTHOSP_C,RCC_TST1_C,RCC_TST1_R,RCC_TST1A_C,RCC_TST1A_R,RCC_TST1B_C,RCC_TST1B_R,RCC_TST2_C,RCC_TST2_R,RCC_TST2A_C,RCC_TST2A_R,RCC_TST2B_C,RCC_TST2B_R,RCC_TST3_C,RCC_TST3_R,RCC_ME11_C,RCC_ME11_R,RCC_ME15_C,RCC_ME15_R,RCC_ME21_C,RCC_ME21_R,RCC_ME31_C,RCC_ME31_R,RCC_ME6_C,RCC_ME6_R,RCC_PE6_C,RCC_PE6_R,RCC_PE11_C,RCC_PE11_R,RCC_PE15_C,RCC_PE15_R,RCC_PE21_C,RCC_PE21_R,RCC_PE31_C,RCC_PE31_R,RCC_TINA_C,RCC_TINA_R,RCC_N_C,D_OR_L,YEAR,MONTH
10,Jackson Memorial Hospital University of Miami School of Medicine (FLJM) , FLJM , TX1 , 2014/03/20 , Pancreas , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 100.0 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 1 ,D,2014,January
11,Mayo Clinic Florida (FLSL) , FLSL , TX1 , 2014/03/20 , Pancreas , 0.0 , 0.0 , 0.0 , 33.3 , 0.0 , 0.0 , 0.0 , 0.0 , 33.3 , 66.7 , 0.0 , 0.0 , 66.7 , 33.3 , 0.0 , 0.0 , 0.0 , 33.3 , 66.7 , 0.0 , 0.0 , 0.0 , 0.0 , 66.7 , 0.0 , 33.3 , 100.0 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 3 ,D,2014,January
12,Tampa General Hospital (FLTG) , FLTG , TX1 , 2014/03/20 , Pancreas , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 100.0 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 1 ,D,2014,January
13,Emory University Hospital (GAEM) , GAEM , TX1 , 2014/03/20 , Pancreas , 0.0 , 0.0 , 0.0 , 50.0 , 50.0 , 0.0 , 0.0 , 0.0 , 50.0 , 0.0 , 50.0 , 0.0 , 50.0 , 50.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 100.0 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 2 ,D,2014,January
14,Piedmont Hospital (GAPH) , GAPH , TX1 , 2014/03/20 , Pancreas , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 100.0 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 1 ,D,2014,January
15,Iowa City VA Medical Center (IAIV) , IAIV , VA1 , 2014/03/20 , Pancreas , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 100.0 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 1 ,D,2014,January
16,Mercy Medical Center-Des Moines (IAMH) , IAMH , TX1 , 2014/03/20 , Pancreas , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 50.0 , 0.0 , 50.0 , 0.0 , 0.0 , 50.0 , 50.0 , 0.0 , 0.0 , 50.0 , 50.0 , 0.0 , 0.0 , 0.0 , 0.0 , 50.0 , 0.0 , 50.0 , 100.0 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 2 ,D,2014,January
17,Northwestern Memorial Hospital (ILNM) , ILNM , TX1 , 2014/03/20 , Pancreas , 0.0 , 0.0 , 0.0 , 42.9 , 14.3 , 0.0 , 0.0 , 0.0 , 42.9 , 14.3 , 42.9 , 28.6 , 14.3 , 42.9 , 14.3 , 0.0 , 0.0 , 42.9 , 57.1 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 100.0 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 7 ,D,2014,January
18,OSF Saint Francis Medical Center (ILSF) , ILSF , TX1 , 2014/03/20 , Pancreas , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 100.0 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 1 ,D,2014,January
19,University of Illinois Medical Center (ILUI) , ILUI , TX1 , 2014/03/20 , Pancreas , 11.1 , 0.0 , 0.0 , 33.3 , 33.3 , 0.0 , 0.0 , 11.1 , 33.3 , 11.1 , 44.4 , 11.1 , 44.4 , 33.3 , 11.1 , 0.0 , 0.0 , 55.6 , 44.4 , 0.0 , 0.0 , 0.0 , 0.0 , 11.1 , 0.0 , 88.9 , 100.0 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 9 ,D,2014,January
20,Indiana University Health (INIM) , INIM , TX1 , 2014/03/20 , Pancreas , 0.0 , 6.5 , 3.2 , 19.4 , 32.3 , 0.0 , 0.0 , 6.5 , 45.2 , 9.7 , 38.7 , 19.4 , 35.5 , 19.4 , 19.4 , 6.5 , 0.0 , 54.8 , 45.2 , 0.0 , 6.5 , 0.0 , 6.5 , 67.7 , 0.0 , 32.3 , 87.1 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 31 ,D,2014,January
21,Jewish Hospital (KYJH) , KYJH , TX1 , 2014/03/20 , Pancreas , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 100.0 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 1 ,D,2014,January
22,Tulane Medical Center (LATU) , LATU , TX1 , 2014/03/20 , Pancreas , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 100.0 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 1 ,D,2014,January
23,Brigham and Women's Hospital (MAPB) , MAPB , TX1 , 2014/03/20 , Pancreas , 0.0 , 0.0 , 0.0 , 0.0 , 50.0 , 0.0 , 0.0 , 0.0 , 50.0 , 50.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 100.0 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 2 ,D,2014,January
24,UMass Memorial Medical Center (MAUM) , MAUM , TX1 , 2014/03/20 , Pancreas , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 50.0 , 50.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 100.0 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 2 ,D,2014,January
25,University of Maryland Medical System (MDUM) , MDUM , TX1 , 2014/03/20 , Pancreas , 0.0 , 0.0 , 0.0 , 0.0 , 25.0 , 25.0 , 0.0 , 0.0 , 25.0 , 0.0 , 75.0 , 0.0 , 75.0 , 25.0 , 0.0 , 0.0 , 0.0 , 75.0 , 25.0 , 0.0 , 0.0 , 0.0 , 0.0 , 50.0 , 0.0 , 50.0 , 100.0 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 4 ,D,2014,January
26,Henry Ford Hospital (MIHF) , MIHF , TX1 , 2014/03/20 , Pancreas , 0.0 , 0.0 , 0.0 , 33.3 , 66.7 , 0.0 , 0.0 , 33.3 , 66.7 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 33.3 , 66.7 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 100.0 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 3 ,D,2014,January
27,University of Michigan Medical Center (MIUM) , MIUM , TX1 , 2014/03/20 , Pancreas , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 100.0 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 1 ,D,2014,January
28,Rochester Methodist Hospital (Mayo Clinic) (MNMC) , MNMC , TX1 , 2014/03/20 , Pancreas , 0.0 , 0.0 , 0.0 , 14.3 , 42.9 , 0.0 , 0.0 , 0.0 , 42.9 , 14.3 , 42.9 , 0.0 , 71.4 , 28.6 , 0.0 , 0.0 , 0.0 , 57.1 , 42.9 , 0.0 , 0.0 , 0.0 , 0.0 , 71.4 , 0.0 , 28.6 , 100.0 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 7 ,D,2014,January
29,"University of Minnesota Medical Center, Fairview (MNUM) ", MNUM , TX1 , 2014/03/20 , Pancreas , 0.0 , 0.0 , 0.0 , 16.7 , 33.3 , 8.3 , 0.0 , 0.0 , 41.7 , 8.3 , 50.0 , 16.7 , 41.7 , 25.0 , 8.3 , 8.3 , 0.0 , 66.7 , 33.3 , 0.0 , 0.0 , 0.0 , 0.0 , 58.3 , 0.0 , 41.7 , 100.0 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 12 ,D,2014,January
30,Wake Forest Baptist Medical Center (NCBG) , NCBG , TX1 , 2014/03/20 , Pancreas , 0.0 , 0.0 , 0.0 , 0.0 , 50.0 , 0.0 , 0.0 , 0.0 , 25.0 , 25.0 , 50.0 , 0.0 , 50.0 , 50.0 , 0.0 , 0.0 , 0.0 , 75.0 , 25.0 , 0.0 , 0.0 , 0.0 , 0.0 , 25.0 , 0.0 , 75.0 , 100.0 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 4 ,D,2014,January
31,The Nebraska Medical Center (NEUN) , NEUN , TX1 , 2014/03/20 , Pancreas , 20.0 , 0.0 , 40.0 , 0.0 , 40.0 , 0.0 , 0.0 , 13.3 , 20.0 , 0.0 , 66.7 , 60.0 , 26.7 , 0.0 , 13.3 , 0.0 , 0.0 , 53.3 , 46.7 , 0.0 , 0.0 , 0.0 , 13.3 , 66.7 , 0.0 , 33.3 , 86.7 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 15 ,D,2014,January
32,Mary Hitchcock Memorial Hospital (NHDH) , NHDH , TX1 , 2014/03/20 , Pancreas , 0.0 , 0.0 , 0.0 , 33.3 , 66.7 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 33.3 , 33.3 , 33.3 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 66.7 , 0.0 , 33.3 , 100.0 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 3 ,D,2014,January
33,Our Lady of Lourdes Medical Center (NJLL) , NJLL , TX1 , 2014/03/20 , Pancreas , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 100.0 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 1 ,D,2014,January
34,Saint Barnabas Medical Center (NJSB) , NJSB , TX1 , 2014/03/20 , Pancreas , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 100.0 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 3 ,D,2014,January
35,NY Presbyterian Hospital/Columbia Univ. Medical Center (NYCP) , NYCP , TX1 , 2014/03/20 , Pancreas , 0.0 , 0.0 , 0.0 , 0.0 , 66.7 , 0.0 , 0.0 , 0.0 , 66.7 , 0.0 , 33.3 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 33.3 , 66.7 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 100.0 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 3 ,D,2014,January
36,Erie County Medical Center (NYEC) , NYEC , TX1 , 2014/03/20 , Pancreas , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 100.0 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 1 ,D,2014,January
37,The Cleveland Clinic Foundation (OHCC) , OHCC , TX1 , 2014/03/20 , Pancreas , 0.0 , 0.0 , 0.0 , 33.3 , 33.3 , 0.0 , 0.0 , 0.0 , 66.7 , 33.3 , 0.0 , 33.3 , 66.7 , 0.0 , 0.0 , 0.0 , 0.0 , 66.7 , 33.3 , 0.0 , 0.0 , 0.0 , 0.0 , 66.7 , 0.0 , 33.3 , 100.0 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 3 ,D,2014,January
38,Ohio State University Medical Center (OHOU) , OHOU , TX1 , 2014/03/20 , Pancreas , 0.0 , 0.0 , 0.0 , 25.0 , 50.0 , 0.0 , 0.0 , 0.0 , 75.0 , 0.0 , 25.0 , 0.0 , 75.0 , 0.0 , 25.0 , 0.0 , 0.0 , 50.0 , 50.0 , 0.0 , 0.0 , 0.0 , 0.0 , 50.0 , 0.0 , 50.0 , 100.0 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 4 ,D,2014,January
39,University of Cincinnati  Medical Center (OHUC) , OHUC , TX1 , 2014/03/20 , Pancreas , 0.0 , 0.0 , 0.0 , 66.7 , 0.0 , 0.0 , 0.0 , 33.3 , 66.7 , 0.0 , 0.0 , 0.0 , 33.3 , 33.3 , 33.3 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 66.7 , 0.0 , 33.3 , 100.0 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 3 ,D,2014,January
40,University Hospitals of Cleveland (OHUH) , OHUH , TX1 , 2014/03/20 , Pancreas , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 100.0 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 1 ,D,2014,January
41,Integris Baptist Medical Center (OKBC) , OKBC , TX1 , 2014/03/20 , Pancreas , 0.0 , 0.0 , 0.0 , 50.0 , 50.0 , 0.0 , 0.0 , 0.0 , 50.0 , 0.0 , 50.0 , 50.0 , 0.0 , 0.0 , 50.0 , 0.0 , 0.0 , 50.0 , 50.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 100.0 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 2 ,D,2014,January
42,OU Medical Center (OKMD) , OKMD , TX1 , 2014/03/20 , Pancreas , 0.0 , 0.0 , 0.0 , 33.3 , 66.7 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 66.7 , 33.3 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 100.0 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 3 ,D,2014,January
43,Albert Einstein Medical Center (PAAE) , PAAE , TX1 , 2014/03/20 , Pancreas , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 100.0 , 0.0 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 1 ,D,2014,January
44,Allegheny General Hospital (PAAG) , PAAG , TX1 , 2014/03/20 , Pancreas , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 100.0 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 1 ,D,2014,January
45,Children's Hospital of Pittsburgh of UPMC (PACH) , PACH , TX1 , 2014/03/20 , Pancreas , 33.3 , 33.3 , 33.3 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 33.3 , 0.0 , 66.7 , 66.7 , 33.3 , 0.0 , 0.0 , 0.0 , 0.0 , 33.3 , 66.7 , 0.0 , 33.3 , 0.0 , 33.3 , 66.7 , 0.0 , 33.3 , 33.3 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 3 ,D,2014,January
46,University of Pittsburgh Medical Center (PAPT) , PAPT , TX1 , 2014/03/20 , Pancreas , 0.0 , 0.0 , 0.0 , 20.0 , 80.0 , 0.0 , 0.0 , 0.0 , 40.0 , 20.0 , 40.0 , 20.0 , 40.0 , 40.0 , 0.0 , 0.0 , 0.0 , 60.0 , 40.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 100.0 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 5 ,D,2014,January
47,Hospital of the University of Pennsylvania (PAUP) , PAUP , TX1 , 2014/03/20 , Pancreas , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 100.0 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 1 ,D,2014,January
48,Auxilio Mutuo Hospital (PRSJ) , PRSJ , TX1 , 2014/03/20 , Pancreas , 0.0 , 0.0 , 0.0 , 66.7 , 33.3 , 0.0 , 0.0 , 0.0 , 0.0 , 33.3 , 66.7 , 0.0 , 33.3 , 66.7 , 0.0 , 0.0 , 0.0 , 33.3 , 66.7 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 100.0 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 3 ,D,2014,January
49,Medical University of South Carolina (SCMU) , SCMU , TX1 , 2014/03/20 , Pancreas , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 100.0 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 1 ,D,2014,January
