ENTIRE_NAME,CTR_CD,CTR_TY,RELEASE_DATE,ORG,GSR_AD_OBS_C1M,GSR_AD_OBS_C1Y,GSR_AD_OBS_C3Y,GSR_AD_N_C1M,GSR_AD_N_C1Y,GSR_AD_N_C3Y,GSR_P0_OBS_C1M,GSR_P0_OBS_C1Y,GSR_P0_OBS_C3Y,GSR_P0_N_C1M,GSR_P0_N_C1Y,YEAR,MONTH
University of Mississippi Medical Center (MSUM) , MSUM , TX1 , 2015/12/16 , Heart , 0 , 1 , 7 , 18 , 18 , 25 , NA , NA , 1 , NA , NA ,2015,12
Wake Forest Baptist Medical Center (NCBG) , NCBG , TX1 , 2015/12/16 , Heart , 1 , 2 , 0 , 25 , 25 , 24 , NA , NA , NA , NA , NA ,2015,12
Carolinas Medical Center (NCCM) , NCCM , TX1 , 2015/12/16 , Heart , 2 , 3 , 2 , 47 , 47 , 39 , 0 , 1 , 2 , 12 , 12 ,2015,12
Duke University Hospital (NCDU) , NCDU , TX1 , 2015/12/16 , Heart , 6 , 15 , 34 , 145 , 145 , 129 , 0 , 2 , 3 , 18 , 18 ,2015,12
University of North Carolina Hospitals (NCMH) , NCMH , TX1 , 2015/12/16 , Heart , 1 , 2 , 7 , 29 , 29 , 34 , 0 , 0 , 0 , 3 , 3 ,2015,12
Children's Hospital & Medical Center (NECH) , NECH , TX1 , 2015/12/16 , Heart , 0 , 0 , NA , 1 , 1 , NA , 0 , 0 , NA , 6 , 6 ,2015,12
The Nebraska Medical Center (NEUN) , NEUN , TX1 , 2015/12/16 , Heart , 3 , 4 , 6 , 64 , 64 , 46 , 0 , 0 , 0 , 2 , 2 ,2015,12
Newark Beth Israel Medical Center (NJBI) , NJBI , TX1 , 2015/12/16 , Heart , 7 , 11 , 21 , 142 , 142 , 141 , NA , NA , NA , NA , NA ,2015,12
Robert Wood Johnson University Hospital (NJRW) , NJRW , TX1 , 2015/12/16 , Heart , 2 , 6 , 2 , 33 , 33 , 28 , NA , NA , NA , NA , NA ,2015,12
NY Presbyterian Hospital/Columbia Univ. Medical Center (NYCP) , NYCP , TX1 , 2015/12/16 , Heart , 8 , 16 , 28 , 134 , 134 , 146 , 1 , 2 , 5 , 51 , 51 ,2015,12
"Strong Memorial Hospital, University of Rochester Medical Center (NYFL) ", NYFL , TX1 , 2015/12/16 , Heart , 0 , 2 , 2 , 25 , 25 , 24 , NA , NA , NA , NA , NA ,2015,12
Montefiore Medical Center (NYMA) , NYMA , TX1 , 2015/12/16 , Heart , 2 , 3 , 6 , 50 , 50 , 45 , 0 , 0 , 4 , 12 , 12 ,2015,12
Mount Sinai Medical Center (NYMS) , NYMS , TX1 , 2015/12/16 , Heart , 3 , 5 , 14 , 51 , 51 , 61 , 0 , 0 , 2 , 7 , 7 ,2015,12
Westchester Medical Center (NYWC) , NYWC , TX1 , 2015/12/16 , Heart , 0 , 1 , 10 , 44 , 44 , 38 , NA , NA , NA , NA , NA ,2015,12
The Cleveland Clinic Foundation (OHCC) , OHCC , TX1 , 2015/12/16 , Heart , 5 , 8 , 13 , 111 , 111 , 115 , 0 , 0 , 1 , 15 , 15 ,2015,12
Nationwide Children's Hospital (OHCH) , OHCH , TX1 , 2015/12/16 , Heart , 0 , 0 , 1 , 1 , 1 , 2 , 0 , 0 , 2 , 6 , 6 ,2015,12
Children's Hospital Medical Center (OHCM) , OHCM , TX1 , 2015/12/16 , Heart , 0 , 0 , NA , 4 , 4 , NA , 0 , 1 , 3 , 18 , 18 ,2015,12
Ohio State University Medical Center (OHOU) , OHOU , TX1 , 2015/12/16 , Heart , 1 , 3 , 5 , 32 , 32 , 34 , NA , NA , NA , NA , NA ,2015,12
University Hospitals of Cleveland (OHUH) , OHUH , TX1 , 2015/12/16 , Heart , 1 , 1 , 2 , 4 , 4 , 6 , NA , NA , NA , NA , NA ,2015,12
Integris Baptist Medical Center (OKBC) , OKBC , TX1 , 2015/12/16 , Heart , 1 , 2 , 8 , 55 , 55 , 30 , 0 , 0 , NA , 2 , 2 ,2015,12
Providence Portland Medical Center (ORPM) , ORPM , TX1 , 2015/12/16 , Heart , NA , NA , 1 , NA , NA , 3 , NA , NA , NA , NA , NA ,2015,12
Oregon Health & Science University (ORUO) , ORUO , TX1 , 2015/12/16 , Heart , 1 , 3 , 3 , 40 , 40 , 45 , 0 , 0 , 0 , 1 , 1 ,2015,12
Allegheny General Hospital (PAAG) , PAAG , TX1 , 2015/12/16 , Heart , 1 , 2 , 9 , 41 , 41 , 59 , NA , NA , NA , NA , NA ,2015,12
Children's Hospital of Pittsburgh of UPMC (PACH) , PACH , TX1 , 2015/12/16 , Heart , 0 , 0 , 0 , 2 , 2 , 2 , 0 , 1 , 0 , 29 , 29 ,2015,12
Children's Hospital of Philadelphia (PACP) , PACP , TX1 , 2015/12/16 , Heart , 1 , 1 , 0 , 3 , 3 , 1 , 3 , 5 , 1 , 29 , 29 ,2015,12
Penn State Milton S Hershey Medical Center (PAHE) , PAHE , TX1 , 2015/12/16 , Heart , 1 , 8 , 8 , 37 , 37 , 30 , NA , NA , NA , NA , NA ,2015,12
Hahnemann University Hospital (PAHM) , PAHM , TX1 , 2015/12/16 , Heart , 2 , 3 , 1 , 9 , 9 , 19 , NA , NA , NA , NA , NA ,2015,12
University of Pittsburgh Medical Center (PAPT) , PAPT , TX1 , 2015/12/16 , Heart , 4 , 7 , 21 , 74 , 74 , 86 , NA , NA , NA , NA , NA ,2015,12
Thomas Jefferson University Hospital (PATJ) , PATJ , TX1 , 2015/12/16 , Heart , 1 , 3 , 6 , 21 , 21 , 26 , NA , NA , NA , NA , NA ,2015,12
Temple University Hospital (PATU) , PATU , TX1 , 2015/12/16 , Heart , 1 , 4 , 2 , 29 , 29 , 8 , NA , NA , NA , NA , NA ,2015,12
Hospital of the University of Pennsylvania (PAUP) , PAUP , TX1 , 2015/12/16 , Heart , 7 , 13 , 26 , 123 , 123 , 122 , NA , NA , 0 , NA , NA ,2015,12
Cardiovascular Center of Puerto Rico and the Caribbean (PRCC) , PRCC , TX1 , 2015/12/16 , Heart , 0 , 0 , 4 , 11 , 11 , 13 , NA , NA , 0 , NA , NA ,2015,12
Medical University of South Carolina (SCMU) , SCMU , TX1 , 2015/12/16 , Heart , 2 , 5 , 2 , 15 , 15 , 35 , 1 , 1 , 3 , 17 , 17 ,2015,12
Baptist Memorial Hospital (TNBM) , TNBM , TX1 , 2015/12/16 , Heart , 3 , 5 , 7 , 35 , 35 , 28 , NA , NA , NA , NA , NA ,2015,12
Saint Thomas Hospital (TNST) , TNST , TX1 , 2015/12/16 , Heart , NA , NA , 4 , NA , NA , 18 , NA , NA , NA , NA , NA ,2015,12
Vanderbilt University Medical Center (TNVU) , TNVU , TX1 , 2015/12/16 , Heart , 3 , 10 , 4 , 87 , 87 , 59 , 1 , 2 , 0 , 25 , 25 ,2015,12
Children's Medical Center of Dallas (TXCM) , TXCM , TX1 , 2015/12/16 , Heart , NA , NA , 0 , NA , NA , 1 , 1 , 1 , 5 , 39 , 39 ,2015,12
Seton Medical Center (TXCT) , TXCT , TX1 , 2015/12/16 , Heart , 3 , 6 , 7 , 35 , 35 , 27 , NA , NA , NA , NA , NA ,2015,12
Medical City Dallas Hospital (TXHD) , TXHD , TX1 , 2015/12/16 , Heart , 1 , 6 , 5 , 37 , 37 , 44 , NA , NA , NA , NA , NA ,2015,12
"Memorial Hermann Hospital, University of Texas at Houston (TXHH) ", TXHH , TX1 , 2015/12/16 , Heart , 4 , 8 , NA , 82 , 82 , NA , 0 , 0 , NA , 2 , 2 ,2015,12
CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI) , TXHI , TX1 , 2015/12/16 , Heart , 2 , 6 , 27 , 77 , 77 , 113 , NA , NA , NA , NA , NA ,2015,12
Methodist Specialty and Transplant Hospital (TXHS) , TXHS , TX1 , 2015/12/16 , Heart , 7 , 8 , 10 , 51 , 51 , 54 , 0 , 0 , 1 , 1 , 1 ,2015,12
University of Texas Medical Branch at Galveston (TXJS) , TXJS , TX1 , 2015/12/16 , Heart , 0 , 5 , 4 , 18 , 18 , 14 , NA , NA , NA , NA , NA ,2015,12
The Methodist Hospital (TXMH) , TXMH , TX1 , 2015/12/16 , Heart , 7 , 7 , 14 , 57 , 57 , 59 , 0 , 0 , NA , 1 , 1 ,2015,12
Christus Santa Rosa Hospital Medical Center (TXRM) , TXRM , TX1 , 2015/12/16 , Heart , NA , NA , 1 , NA , NA , 7 , NA , NA , NA , NA , NA ,2015,12
UT Southwestern Medical Center/ (TXSP) , TXSP , TX1 , 2015/12/16 , Heart , 4 , 8 , 9 , 80 , 80 , 56 , NA , NA , NA , NA , NA ,2015,12
Scott and White Memorial Hospital (TXSW) , TXSW , TX1 , 2015/12/16 , Heart , 0 , 0 , 8 , 13 , 13 , 23 , NA , NA , NA , NA , NA ,2015,12
Texas Children's Hospital (TXTC) , TXTC , TX1 , 2015/12/16 , Heart , 0 , 0 , 2 , 2 , 2 , 5 , 0 , 1 , 3 , 48 , 48 ,2015,12
Baylor University Medical Center (TXTX) , TXTX , TX1 , 2015/12/16 , Heart , 8 , 20 , 13 , 187 , 187 , 68 , NA , NA , NA , NA , NA ,2015,12
Intermountain Medical Center (UTLD) , UTLD , TX1 , 2015/12/16 , Heart , 0 , 1 , 2 , 32 , 32 , 37 , NA , NA , NA , NA , NA ,2015,12
University of Utah Medical Center (UTMC) , UTMC , TX1 , 2015/12/16 , Heart , 0 , 4 , 6 , 40 , 40 , 39 , NA , NA , NA , NA , NA ,2015,12
Primary Children's Medical Center (UTPC) , UTPC , TX1 , 2015/12/16 , Heart , 0 , 0 , NA , 2 , 2 , NA , 0 , 0 , 3 , 20 , 20 ,2015,12
Inova Fairfax Hospital (VAFH) , VAFH , TX1 , 2015/12/16 , Heart , 3 , 5 , 10 , 55 , 55 , 39 , 0 , 0 , NA , 2 , 2 ,2015,12
Medical College of Virginia Hospitals (VAMC) , VAMC , TX1 , 2015/12/16 , Heart , 3 , 5 , 7 , 44 , 44 , 50 , 0 , 0 , 0 , 2 , 2 ,2015,12
Hunter Holmes McGuire Veterans Administration Medical Center (VAMV) , VAMV , TX1 , 2015/12/16 , Heart , 0 , 3 , 3 , 18 , 18 , 13 , NA , NA , NA , NA , NA ,2015,12
Sentara Norfolk General Hospital (VANG) , VANG , TX1 , 2015/12/16 , Heart , 2 , 3 , 2 , 29 , 29 , 28 , NA , NA , NA , NA , NA ,2015,12
University of Virginia Health Sciences Center (VAUV) , VAUV , TX1 , 2015/12/16 , Heart , 1 , 1 , 8 , 21 , 21 , 41 , 0 , 1 , 0 , 15 , 15 ,2015,12
Seattle Children's Hospital (WACH) , WACH , TX1 , 2015/12/16 , Heart , 0 , 0 , 0 , 2 , 2 , 1 , 0 , 1 , 2 , 40 , 40 ,2015,12
Providence Sacred Heart Medical Center & Children's Hospital (WASH) , WASH , TX1 , 2015/12/16 , Heart , 0 , 0 , 3 , 26 , 26 , 23 , NA , NA , 0 , NA , NA ,2015,12
University of Washington Medical Center (WAUW) , WAUW , TX1 , 2015/12/16 , Heart , 7 , 7 , 6 , 76 , 76 , 59 , NA , NA , 0 , NA , NA ,2015,12
Children's Hospital of Wisconsin (WICH) , WICH , TX1 , 2015/12/16 , Heart , 0 , 2 , 1 , 8 , 8 , 2 , 1 , 3 , 6 , 21 , 21 ,2015,12
Froedtert Memorial Lutheran Hospital (WISE) , WISE , TX1 , 2015/12/16 , Heart , 0 , 2 , 0 , 14 , 14 , 3 , NA , NA , NA , NA , NA ,2015,12
Aurora St. Luke's Medical Center (WISL) , WISL , TX1 , 2015/12/16 , Heart , 0 , 2 , 20 , 55 , 55 , 112 , NA , NA , NA , NA , NA ,2015,12
University of Wisconsin Hospital and Clinics (WIUW) , WIUW , TX1 , 2015/12/16 , Heart , 1 , 2 , 6 , 49 , 49 , 39 , NA , NA , NA , NA , NA ,2015,12
Children's of Alabama (ALCH),ALCH,TX1,2021-07-06 19:00:00,HR,,,0,,,1,0,0,3,19,19,2021,5
University of Alabama Hospital (ALUA),ALUA,TX1,2021-07-06 19:00:00,HR,1,2,1,52,52,46,,,,,,2021,5
Baptist Medical Center (ARBH),ARBH,TX1,2021-07-06 19:00:00,HR,2,4,6,26,26,41,,,,,,2021,5
Arkansas Children's Hospital (ARCH),ARCH,TX1,2021-07-06 19:00:00,HR,0,0,,1,1,,1,1,3,11,11,2021,5
Phoenix Children's Hospital (AZCH),AZCH,TX1,2021-07-06 19:00:00,HR,,,,,,,1,3,5,24,24,2021,5
Banner-University Medical Center Phoenix (AZGS),AZGS,TX1,2021-07-06 19:00:00,HR,0,0,,2,2,,,,,,,2021,5
Mayo Clinic Hospital (AZMC),AZMC,TX1,2021-07-06 19:00:00,HR,3,5,3,89,89,106,,,,,,2021,5
Banner University Medical Center-Tucson (AZUA),AZUA,TX1,2021-07-06 19:00:00,HR,2,5,6,22,22,22,0,0,,1,1,2021,5
Rady Children's Hospital and Health Center (CACH),CACH,TX1,2021-07-06 19:00:00,HR,,,,,,,1,3,0,17,17,2021,5
Childrens Hospital Los Angeles (CACL),CACL,TX1,2021-07-06 19:00:00,HR,1,1,0,2,2,1,0,0,0,11,11,2021,5
Cedars-Sinai Medical Center (CACS),CACS,TX1,2021-07-06 19:00:00,HR,5,14,35,216,216,254,,,0,,,2021,5
Loma Linda University Medical Center (CALL),CALL,TX1,2021-07-06 19:00:00,HR,1,3,5,26,26,30,0,1,2,25,25,2021,5
UCSF Medical Center at Mission Bay (CAMB),CAMB,TX1,2021-07-06 19:00:00,HR,,,,,,,0,0,,6,6,2021,5
Lucile Salter Packard Children's Hospital at Stanford (CAPC),CAPC,TX1,2021-07-06 19:00:00,HR,0,0,2,4,4,4,1,2,5,42,42,2021,5
California Pacific Medical Center (CAPM),CAPM,TX1,2021-07-06 19:00:00,HR,1,2,1,33,33,16,,,,,,2021,5
University of California San Diego Medical Center (CASD),CASD,TX1,2021-07-06 19:00:00,HR,3,6,4,120,120,64,0,0,0,1,1,2021,5
University of California San Francisco Medical Center (CASF),CASF,TX1,2021-07-06 19:00:00,HR,1,2,7,38,38,40,,,,,,2021,5
Sutter Meidcal Center Sacramento (CASG),CASG,TX1,2021-07-06 19:00:00,HR,2,2,2,25,25,25,,,,,,2021,5
Sharp Memorial Hospital (CASH),CASH,TX1,2021-07-06 19:00:00,HR,3,3,2,27,27,27,,,,,,2021,5
Stanford Health Care (CASU),CASU,TX1,2021-07-06 19:00:00,HR,2,8,29,125,125,147,,,0,,,2021,5
University of California at Los Angeles Medical Center (CAUC),CAUC,TX1,2021-07-06 19:00:00,HR,1,4,17,87,87,103,0,0,3,20,20,2021,5
Keck Hospital of USC (CAUH),CAUH,TX1,2021-07-06 19:00:00,HR,0,0,4,37,37,40,,,,,,2021,5
Children's Hospital Colorado (COCH),COCH,TX1,2021-07-06 19:00:00,HR,0,0,0,2,2,1,1,1,3,28,28,2021,5
University of Colorado Hospital/Health Science Center (COUC),COUC,TX1,2021-07-06 19:00:00,HR,2,8,10,90,90,73,,,,,,2021,5
Hartford Hospital (CTHH),CTHH,TX1,2021-07-06 19:00:00,HR,0,2,4,38,38,33,,,,,,2021,5
Yale New Haven Hospital (CTYN),CTYN,TX1,2021-07-06 19:00:00,HR,2,11,4,76,76,28,,,,,,2021,5
Children's National Medical Center (DCCH),DCCH,TX1,2021-07-06 19:00:00,HR,,,,,,,1,4,5,16,16,2021,5
Washington Hospital Center (DCWH),DCWH,TX1,2021-07-06 19:00:00,HR,0,1,6,34,34,44,,,,,,2021,5
Alfred I DuPont Hospital for Children (DEAI),DEAI,TX1,2021-07-06 19:00:00,HR,,,,,,,0,0,2,5,5,2021,5
Johns Hopkins All Children's Hospital (FLAC),FLAC,TX1,2021-07-06 19:00:00,HR,,,,,,,0,1,1,4,4,2021,5
Cleveland Clinic Florida Weston (FLCC),FLCC,TX1,2021-07-06 19:00:00,HR,5,8,4,68,68,43,,,,,,2021,5
Florida Hospital Medical Center (FLFH),FLFH,TX1,2021-07-06 19:00:00,HR,7,11,18,111,111,120,,,,,,2021,5
Memorial Regional Hospital/Joe DiMaggio Children's Hospital (FLJD),FLJD,TX1,2021-07-06 19:00:00,HR,0,0,1,1,1,1,0,0,0,16,16,2021,5
Jackson Memorial Hospital University of Miami School of Medicine (FLJM),FLJM,TX1,2021-07-06 19:00:00,HR,3,4,11,48,48,63,0,0,0,2,2,2021,5
Memorial Regional Hospital (FLMR),FLMR,TX1,2021-07-06 19:00:00,HR,0,2,1,36,36,12,,,,,,2021,5
Mayo Clinic Florida (FLSL),FLSL,TX1,2021-07-06 19:00:00,HR,2,6,11,61,61,51,0,0,,1,1,2021,5
Tampa General Hospital (FLTG),FLTG,TX1,2021-07-06 19:00:00,HR,7,10,7,94,94,116,,,,,,2021,5
UF Health Shands Hospital (FLUF),FLUF,TX1,2021-07-06 19:00:00,HR,1,3,12,31,31,48,2,3,5,35,35,2021,5
Children's Healthcare of Atlanta at Egleston (GAEH),GAEH,TX1,2021-07-06 19:00:00,HR,,,0,,,1,1,1,2,29,29,2021,5
Emory University Hospital (GAEM),GAEM,TX1,2021-07-06 19:00:00,HR,3,7,15,69,69,88,,,,,,2021,5
Piedmont Hospital (GAPH),GAPH,TX1,2021-07-06 19:00:00,HR,3,4,10,25,25,30,,,,,,2021,5
University of Iowa Hospitals and Clinics Transplant Programs (IAIV),IAIV,TX1,2021-07-06 19:00:00,HR,1,2,0,16,16,25,0,2,3,14,14,2021,5
Advocate Christ Medical Center (ILCH),ILCH,TX1,2021-07-06 19:00:00,HR,0,0,5,57,57,52,0,0,,1,1,2021,5
Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM),ILCM,TX1,2021-07-06 19:00:00,HR,0,0,,5,5,,0,3,2,59,59,2021,5
Loyola University Medical Center (ILLU),ILLU,TX1,2021-07-06 19:00:00,HR,2,6,8,52,52,66,0,0,,1,1,2021,5
Northwestern Memorial Hospital (ILNM),ILNM,TX1,2021-07-06 19:00:00,HR,8,14,8,87,87,78,0,0,,1,1,2021,5
University of Chicago Medical Center (ILUC),ILUC,TX1,2021-07-06 19:00:00,HR,1,1,8,70,70,70,0,0,,5,5,2021,5
Indiana University Health (INIM),INIM,TX1,2021-07-06 19:00:00,HR,4,4,3,33,33,39,0,1,0,8,8,2021,5
Lutheran Hospital of Fort Wayne (INLH),INLH,TX1,2021-07-06 19:00:00,HR,1,2,3,5,5,17,,,,,,2021,5
St Vincent Hospital and Health Care Center (INSV),INSV,TX1,2021-07-06 19:00:00,HR,2,6,8,93,93,73,0,0,,2,2,2021,5
University of Kansas Hospital (KSUK),KSUK,TX1,2021-07-06 19:00:00,HR,1,2,0,55,55,16,,,,,,2021,5
Jewish Hospital (KYJH),KYJH,TX1,2021-07-06 19:00:00,HR,0,1,2,14,14,20,,,,,,2021,5
Norton Children's Hospital (KYKC),KYKC,TX1,2021-07-06 19:00:00,HR,0,0,,1,1,,1,2,2,16,16,2021,5
University of Kentucky Medical Center (KYUK),KYUK,TX1,2021-07-06 19:00:00,HR,3,7,18,62,62,108,,,,,,2021,5
Ochsner Foundation Hospital (LAOF),LAOF,TX1,2021-07-06 19:00:00,HR,2,2,3,48,48,62,0,0,0,6,6,2021,5
Boston Children's Hospital (MACH),MACH,TX1,2021-07-06 19:00:00,HR,0,0,0,1,1,1,0,1,7,28,28,2021,5
Massachusetts General Hospital (MAMG),MAMG,TX1,2021-07-06 19:00:00,HR,1,6,11,90,90,75,,,,,,2021,5
Tufts Medical Center (MANM),MANM,TX1,2021-07-06 19:00:00,HR,1,8,10,99,99,104,,,,,,2021,5
Brigham and Women's Hospital (MAPB),MAPB,TX1,2021-07-06 19:00:00,HR,1,5,11,46,46,53,,,,,,2021,5
Johns Hopkins Hospital (MDJH),MDJH,TX1,2021-07-06 19:00:00,HR,4,5,5,44,44,43,0,0,0,7,7,2021,5
University of Maryland Medical System (MDUM),MDUM,TX1,2021-07-06 19:00:00,HR,4,7,8,51,51,68,0,0,0,3,3,2021,5
Children's Hospital of Michigan (MICH),MICH,TX1,2021-07-06 19:00:00,HR,0,0,0,1,1,1,0,2,5,5,5,2021,5
Henry Ford Hospital (MIHF),MIHF,TX1,2021-07-06 19:00:00,HR,1,3,6,48,48,47,0,0,,1,1,2021,5
Spectrum Health (MISH),MISH,TX1,2021-07-06 19:00:00,HR,0,3,8,44,44,47,,,,,,2021,5
University of Michigan Medical Center (MIUM),MIUM,TX1,2021-07-06 19:00:00,HR,1,3,5,50,50,61,0,1,2,30,30,2021,5
Abbott Northwestern Hospital (MNAN),MNAN,TX1,2021-07-06 19:00:00,HR,0,1,4,32,32,40,,,,,,2021,5
Children's Minnesota (MNCM),MNCM,TX1,2021-07-06 19:00:00,HR,,,,,,,0,0,,4,4,2021,5
Rochester Methodist Hospital (Mayo Clinic) (MNMC),MNMC,TX1,2021-07-06 19:00:00,HR,0,1,4,33,33,35,0,2,2,9,9,2021,5
"University of Minnesota Medical Center, Fairview (MNUM)",MNUM,TX1,2021-07-06 19:00:00,HR,0,5,6,64,64,61,3,3,1,23,23,2021,5
Barnes-Jewish Hospital (MOBH),MOBH,TX1,2021-07-06 19:00:00,HR,1,2,9,74,74,77,,,,,,2021,5
Cardinal Glennon Children's Hospital (MOCG),MOCG,TX1,2021-07-06 19:00:00,HR,0,0,,1,1,,0,0,0,2,2,2021,5
St. Louis Children's Hospital (MOCH),MOCH,TX1,2021-07-06 19:00:00,HR,0,0,1,4,4,8,1,2,3,33,33,2021,5
Children's Mercy Hospital (MOCM),MOCM,TX1,2021-07-06 19:00:00,HR,,,,,,,0,1,0,14,14,2021,5
St Luke's Hospital of Kansas City (MOLH),MOLH,TX1,2021-07-06 19:00:00,HR,3,5,11,83,83,99,,,,,,2021,5
University of Mississippi Medical Center (MSUM),MSUM,TX1,2021-07-06 19:00:00,HR,1,2,9,20,20,34,1,2,0,4,4,2021,5
Wake Forest Baptist Medical Center (NCBG),NCBG,TX1,2021-07-06 19:00:00,HR,0,0,1,26,26,22,,,,,,2021,5
Carolinas Medical Center (NCCM),NCCM,TX1,2021-07-06 19:00:00,HR,4,5,9,53,53,53,2,3,3,17,17,2021,5
Duke University Hospital (NCDU),NCDU,TX1,2021-07-06 19:00:00,HR,3,17,25,157,157,149,0,0,4,14,14,2021,5
University of North Carolina Hospitals (NCMH),NCMH,TX1,2021-07-06 19:00:00,HR,0,3,4,37,37,27,0,0,0,5,5,2021,5
Children's Hospital & Medical Center (NECH),NECH,TX1,2021-07-06 19:00:00,HR,,,0,,,1,0,2,2,10,10,2021,5
The Nebraska Medical Center (NEUN),NEUN,TX1,2021-07-06 19:00:00,HR,3,6,18,85,85,102,0,0,0,1,1,2021,5
Newark Beth Israel Medical Center (NJBI),NJBI,TX1,2021-07-06 19:00:00,HR,3,8,16,74,74,125,,,,,,2021,5
Robert Wood Johnson University Hospital (NJRW),NJRW,TX1,2021-07-06 19:00:00,HR,1,1,6,9,9,33,,,,,,2021,5
NY Presbyterian Hospital/Columbia Univ. Medical Center (NYCP),NYCP,TX1,2021-07-06 19:00:00,HR,0,5,14,126,126,114,0,2,6,57,57,2021,5
"Strong Memorial Hospital, University of Rochester Medical Center (NYFL)",NYFL,TX1,2021-07-06 19:00:00,HR,1,4,3,34,34,45,,,,,,2021,5
Montefiore Medical Center (NYMA),NYMA,TX1,2021-07-06 19:00:00,HR,1,8,15,83,83,88,0,0,1,10,10,2021,5
Mount Sinai Medical Center (NYMS),NYMS,TX1,2021-07-06 19:00:00,HR,1,5,18,54,54,69,0,0,3,1,1,2021,5
North Shore University Hospital/Northwell Health (NYNS),NYNS,TX1,2021-07-06 19:00:00,HR,1,3,,33,33,,,,,,,2021,5
New York University Medical Center (NYUC),NYUC,TX1,2021-07-06 19:00:00,HR,1,1,,73,73,,,,,,,2021,5
Westchester Medical Center (NYWC),NYWC,TX1,2021-07-06 19:00:00,HR,2,6,12,57,57,52,,,,,,2021,5
The Cleveland Clinic Foundation (OHCC),OHCC,TX1,2021-07-06 19:00:00,HR,2,3,13,95,95,110,0,1,2,9,9,2021,5
Nationwide Children's Hospital (OHCH),OHCH,TX1,2021-07-06 19:00:00,HR,0,0,,3,3,,0,0,1,9,9,2021,5
Children's Hospital Medical Center (OHCM),OHCM,TX1,2021-07-06 19:00:00,HR,0,0,0,2,2,2,0,1,6,19,19,2021,5
Ohio State University Medical Center (OHOU),OHOU,TX1,2021-07-06 19:00:00,HR,1,3,9,52,52,65,,,,,,2021,5
University of Cincinnati  Medical Center (OHUC),OHUC,TX1,2021-07-06 19:00:00,HR,0,0,3,14,14,13,,,,,,2021,5
University Hospitals of Cleveland (OHUH),OHUH,TX1,2021-07-06 19:00:00,HR,1,3,5,32,32,32,,,,,,2021,5
Integris Baptist Medical Center (OKBC),OKBC,TX1,2021-07-06 19:00:00,HR,0,2,9,39,39,49,,,,,,2021,5
Oregon Health & Science University (ORUO),ORUO,TX1,2021-07-06 19:00:00,HR,0,0,11,10,10,59,,,0,,,2021,5
Allegheny General Hospital (PAAG),PAAG,TX1,2021-07-06 19:00:00,HR,4,5,7,50,50,59,,,,,,2021,5
UPMC Children's Hospital of Pittsburgh (PACH),PACH,TX1,2021-07-06 19:00:00,HR,0,0,0,2,2,1,0,0,2,23,23,2021,5
Children's Hospital of Philadelphia (PACP),PACP,TX1,2021-07-06 19:00:00,HR,,,,,,,2,3,3,24,24,2021,5
Penn State Milton S Hershey Medical Center (PAHE),PAHE,TX1,2021-07-06 19:00:00,HR,0,2,1,38,38,17,,,,,,2021,5
University of Pittsburgh Medical Center (PAPT),PAPT,TX1,2021-07-06 19:00:00,HR,3,7,7,75,75,66,,,,,,2021,5
Thomas Jefferson University Hospital (PATJ),PATJ,TX1,2021-07-06 19:00:00,HR,1,2,0,22,22,13,,,,,,2021,5
Temple University Hospital (PATU),PATU,TX1,2021-07-06 19:00:00,HR,0,4,5,31,31,52,,,,,,2021,5
Hospital of the University of Pennsylvania (PAUP),PAUP,TX1,2021-07-06 19:00:00,HR,1,7,29,100,100,155,,,,,,2021,5
Cardiovascular Center of Puerto Rico and the Caribbean (PRCC),PRCC,TX1,2021-07-06 19:00:00,HR,0,0,1,9,9,4,,,0,,,2021,5
MUSC Children's Hospital (SCCH),SCCH,TX1,2021-07-06 19:00:00,HR,,,,,,,0,0,0,12,12,2021,5
Medical University of South Carolina (SCMU),SCMU,TX1,2021-07-06 19:00:00,HR,2,2,3,50,50,22,,,0,,,2021,5
Baptist Memorial Hospital (TNBM),TNBM,TX1,2021-07-06 19:00:00,HR,2,3,5,31,31,39,,,,,,2021,5
Le Bonheur Children's Medical Center (TNLB),TNLB,TX1,2021-07-06 19:00:00,HR,,,,,,,1,2,1,23,23,2021,5
Saint Thomas Hospital (TNST),TNST,TX1,2021-07-06 19:00:00,HR,0,2,4,39,39,40,,,,,,2021,5
Vanderbilt University Medical Center (TNVU),TNVU,TX1,2021-07-06 19:00:00,HR,13,17,30,188,188,174,0,4,2,35,35,2021,5
Children's Medical Center of Dallas (TXCM),TXCM,TX1,2021-07-06 19:00:00,HR,,,,,,,2,9,2,51,51,2021,5
Seton Medical Center Austin (TXCT),TXCT,TX1,2021-07-06 19:00:00,HR,2,4,6,33,33,42,,,,,,2021,5
Medical City Dallas Hospital (TXHD),TXHD,TX1,2021-07-06 19:00:00,HR,0,0,9,27,27,28,,,,,,2021,5
"Memorial Hermann Hospital, University of Texas at Houston (TXHH)",TXHH,TX1,2021-07-06 19:00:00,HR,3,5,13,74,74,86,0,0,,1,1,2021,5
CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI),TXHI,TX1,2021-07-06 19:00:00,HR,0,3,9,38,38,79,,,,,,2021,5
