ENTIRE_NAME,CTR_CD,CTR_TY,RELEASE_DATE,ORG,GSR_AD_OBS_C1M,GSR_AD_OBS_C1Y,GSR_AD_OBS_C3Y,GSR_AD_ACT_C1M,GSR_AD_ACT_C1Y,GSR_AD_ACT_C3Y,GSR_AD_ADJ_C1M,GSR_AD_ADJ_C1Y,GSR_AD_ADJ_C3Y,GSR_AD_EXP_C1M,GSR_AD_EXP_C1Y,GSR_AD_EXP_C3Y,GSR_AD_N_C1M,GSR_AD_N_C1Y,GSR_AD_N_C3Y,GSR_P0_OBS_C1M,GSR_P0_OBS_C1Y,GSR_P0_OBS_C3Y,GSR_P0_ACT_C1M,GSR_P0_ACT_C1Y,GSR_P0_ADJ_C1M,GSR_P0_ADJ_C1Y,GSR_P0_ADJ_C3Y,GSR_P0_EXP_C1M,GSR_P0_EXP_C1Y,GSR_P0_EXP_C3Y,GSR_P0_N_C1M,GSR_P0_N_C1Y,YEAR,MONTH
University of Kentucky Medical Center (KYUK),KYUK,TX1,2019-01-06 18:00:00,KI,2,6,24,98.9417989417989,96.8253968253968,87.6923076923077,98.6971950474468,96.1564088992373,89.7376862490518,2.47448427998878,6.78187780554939,20.1609586790806,189,189,195,0,0,2,100,100,99.0438269958028,98.2359036099957,89.5247488904828,0.0672722596454094,0.115397468690952,0.72069072673023,7,7,2018,11
Children's Hospital (LACH),LACH,TX1,2019-01-06 18:00:00,KI,0,0,0,100,100,0,99.4106939817287,98.4175454273521,0,0.00591049278318723,0.0159510906361834,0,1,1,0,0,0,4,100,100,98.897560063512,97.856398457504,88.0587438858381,0.17740160323924,0.31007361043141,2.80765882410444,16,16,2018,11
Ochsner Foundation Hospital (LAOF),LAOF,TX1,2019-01-06 18:00:00,KI,5,10,28,98.1203007518797,95.9151610369207,89.9280575539568,98.6870690246598,96.1615177644763,88.7923117055701,3.47640936039908,9.51552614192907,31.8035824871185,266,266,278,0,0,1,100,100,99.2388495721906,98.7419104799847,89.3924569887337,0.00764061961186649,0.0126607047524487,0.302218131333642,1,1,2018,11
Tulane Medical Center (LATU),LATU,TX1,2019-01-06 18:00:00,KI,2,6,30,98.6928104575163,95.8981293666892,80.7692307692308,98.6687804540367,96.1194558512658,87.613523465481,2.04539066180427,5.58239006520128,18.3858339089037,153,153,156,0,0,3,100,100,98.8665337445412,97.7758973645512,83.9389817817275,0.125410582817563,0.245586134543014,1.08785108833935,11,11,2018,11
Willis-Knighton Medical Center (LAWK),LAWK,TX1,2019-01-06 18:00:00,KI,1,6,10,99.0990990990991,93.4566145092461,86.4864864864865,98.5505829002565,95.6967731220927,87.1979140812753,1.62048757704205,4.36796246397004,9.41936052530485,111,111,74,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,11
Beth Israel Deaconess Medical Center (MABI),MABI,TX1,2019-01-06 18:00:00,KI,2,5,12,98.4615384615385,95.9320859320859,91.6666666666667,98.7599362530292,96.3606680338835,90.4315976342203,1.58978664737925,4.46219868408307,13.5948948117354,130,130,144,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,11
Baystate Medical Center (MABS),MABS,TX1,2019-01-06 18:00:00,KI,2,3,8,97.0588235294118,95.078031212485,88.8888888888889,98.6083323233954,95.9305462210422,91.4834053721642,0.921247326400254,2.47175579855537,6.16188234049558,68,68,72,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,11
Boston Medical Center (MABU),MABU,TX1,2019-01-06 18:00:00,KI,2,6,11,98.1818181818182,94.0692640692641,86.7469879518072,98.6279721454855,95.9378720130192,88.9371779060453,1.47334282684293,4.03534581786052,8.40942927413866,110,110,83,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,11
Boston Children's Hospital (MACH),MACH,TX1,2019-01-06 18:00:00,KI,0,0,0,100,100,100,99.6129132329649,98.9590043607956,90.57867846821,0.0116366755136238,0.0314047698949349,0.600478013258027,3,3,6,0,0,3,100,100,99.0428268800265,98.2333087029701,92.6707537059882,0.625327550153199,1.10540758466677,4.72458059418633,65,65,2018,11
Lahey Clinic Medical Center (MALC),MALC,TX1,2019-01-06 18:00:00,KI,1,1,14,98.6486486486486,98.6486486486486,83.3333333333333,98.275896215204,94.9392667728194,85.5934743139517,1.28642446316376,3.52366234125261,11.3149499236205,74,74,84,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,11
Massachusetts General Hospital (MAMG),MAMG,TX1,2019-01-06 18:00:00,KI,2,7,23,99.3055555555556,97.5694444444444,90.8366533864542,98.5982019014249,95.9209486271949,89.1114093762714,4.07476052168091,11.1635680357209,27.4932305220561,288,288,251,0,1,0,100,88.8888888888889,98.9079021698356,97.883232155155,87.3643935565943,0.120814608696782,0.219735268185912,0.546815192064086,11,11,2018,11
Tufts Medical Center (MANM),MANM,TX1,2019-01-06 18:00:00,KI,3,3,3,96.875,96.875,95.774647887324,98.8533664957085,96.6551186769071,91.850026076969,1.09709971438413,2.897851383337,5.77676707661574,96,96,71,0,0,0,100,100,98.7837968939525,97.5612277833438,94.6218503736939,0.0122365937326478,0.0246900278144384,0.110563520270215,1,1,2018,11
Brigham and Women's Hospital (MAPB),MAPB,TX1,2019-01-06 18:00:00,KI,2,9,12,98.8372093023256,94.249636627907,91.7808219178082,98.7704265715299,96.3929734914275,90.3276607752874,2.10816818319581,5.75609914583041,14.1718775567276,172,172,146,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,11
UMass Memorial Medical Center (MAUM),MAUM,TX1,2019-01-06 18:00:00,KI,1,1,13,99.1525423728814,99.1525423728814,88.5964912280702,98.4866144656911,95.5276666323493,88.4394362983136,1.78949407623162,5.01302735244279,12.9559671045358,118,118,114,0,0,0,0,0,0,0,91.2664768476267,0,0,0.274468213203885,0,0,2018,11
Johns Hopkins Hospital (MDJH),MDJH,TX1,2019-01-06 18:00:00,KI,9,21,74,98.0810234541578,95.2319483662767,86.6425992779783,98.4468660018615,95.4182879840758,88.3505062526398,7.21692159582818,20.1785941541229,65.3455004752957,469,469,554,0,0,2,100,100,98.9979393307704,98.1168431699983,91.2699319241792,0.171254300488762,0.306810546117048,1.84368786832974,17,17,2018,11
University of Maryland Medical System (MDUM),MDUM,TX1,2019-01-06 18:00:00,KI,12,44,104,97.7055449330784,91.1194951788762,83.2797427652733,98.0874678860799,94.4256420566946,85.4843596158784,9.918853322536,26.175852255597,88.6351378035326,523,523,622,0,0,1,100,100,99.0113232330716,98.1515691316642,92.2415426158413,0.0596316400335429,0.104682289230332,0.811511187667273,6,6,2018,11
Maine Medical Center (MEMC),MEMC,TX1,2019-01-06 18:00:00,KI,1,3,12,99.0909090909091,97.0532915360502,88.9908256880734,98.8445246510383,96.6709839724351,91.3333495371691,1.27433250947983,3.4298555515698,9.46999728919486,110,110,109,0,0,1,100,100,98.7837968939525,97.5612277833438,90.7061416456691,0.0244731874652956,0.0420101471585476,0.288553940479695,2,2,2018,11
William Beaumont Hospital (MIBH),MIBH,TX1,2019-01-06 18:00:00,KI,6,10,30,97.1698113207547,94.873620505518,84.4559585492228,98.4376376964941,95.4048013843512,87.2917072282617,3.29371945931002,8.97005726705252,24.2376865558659,212,212,193,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,11
Children's Hospital of Michigan (MICH),MICH,TX1,2019-01-06 18:00:00,KI,0,0,1,100,100,0,99.1163600871418,97.3874530066817,86.852290381972,0.0266361869436943,0.0645630567516638,0.00423172159100302,3,3,1,0,0,2,100,100,98.905144274816,97.876076502448,89.8468702317916,0.165165009506592,0.285383582616971,2.26572636330414,15,15,2018,11
Helen DeVos Children's Hospital (MIDV),MIDV,TX1,2019-01-06 18:00:00,KI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,92.8571428571429,92.8571428571429,99.0113232330716,98.1515691316642,91.7993126159251,0.132642798327944,0.240558473510934,0.864699092272338,14,14,2018,11
Henry Ford Hospital (MIHF),MIHF,TX1,2019-01-06 18:00:00,KI,2,10,32,99.2647058823529,96.060678944475,87.8326996197719,98.4129054619643,95.3699352437557,87.4638381672343,4.36218634169812,12.0186989464958,33.1769648102565,272,272,263,0,0,0,100,100,98.7837968939525,97.5612277833438,90.0878324060942,0.0122365937326478,0.0173201193441092,0.104385075930611,1,1,2018,11
Harper University Hospital Detroit Medical Center (MIHH),MIHH,TX1,2019-01-06 18:00:00,KI,1,4,7,98.75,94.8550724637681,86.5384615384615,98.5578224651852,95.6922607888728,86.9477153581098,1.16146805782259,3.3218402800243,7.00994517313369,80,80,52,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,11
St John Hospital and Medical Center (MISJ),MISJ,TX1,2019-01-06 18:00:00,KI,1,3,11,98.9473684210526,96.8421052631579,90,98.804197713768,96.4965436603438,89.26971869685,1.14073400162505,3.04978880978328,11.9137461026629,95,95,110,0,0,0,100,100,99.2388495721906,98.7419104799847,0,0.00764061961186649,0.0126607047524487,0,1,1,2018,11
Mercy Health Saint Marys (MISM,MISM,TX1,2019-01-06 18:00:00,KI,6,18,25,97.8798586572438,93.2956002376559,88.1516587677725,98.3447737267,95.1555574996451,87.7581071140284,4.69059690792423,12.932150509834,25.8660328818313,283,283,211,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,11
University of Michigan Medical Center (MIUM),MIUM,TX1,2019-01-06 18:00:00,KI,6,13,58,98.4415584415584,96.6233766233766,87.7118644067797,98.7024824889366,96.2104095801483,89.8422364243655,4.95548899225181,13.8092185141824,45.9902943292167,385,385,472,1,1,2,96.551724137931,96.551724137931,98.9720945539131,98.0497861405745,91.0886885419804,0.296646741661116,0.519356606775986,3.41594607907741,29,29,2018,11
Abbott Northwestern Hospital (MNAN),MNAN,TX1,2019-01-06 18:00:00,KI,1,1,4,98.7951807228916,98.7951807228916,93.75,98.6499402399299,96.0605807293257,89.3076018663379,1.12849943100568,3.09287159687492,7.33612358781336,83,83,64,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,11
Hennepin County Medical Center (MNHC),MNHC,TX1,2019-01-06 18:00:00,KI,1,3,7,99.1666666666667,97.319587628866,92.3913043478261,98.7576376219426,96.3387380844395,91.6438442959408,1.49543735276603,4.08550237448187,7.81207990752631,120,120,92,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,11
Rochester Methodist Hospital (Mayo Clinic) (MNMC),MNMC,TX1,2019-01-06 18:00:00,KI,4,8,21,99.1769547325103,98.1492142689609,94.2465753424658,99.0710358453256,97.3850192704824,93.0214099838336,4.51967381104249,11.9508168792138,26.0393627579772,486,486,365,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,11
Saint Marys Hospital (Mayo Clinic) (MNSM),MNSM,TX1,2019-01-06 18:00:00,KI,0,0,0,100,100,0,99.3131773601558,98.158171807055,0,0.020682133043539,0.0558164252675382,0,3,3,0,0,0,0,100,100,98.9734021765517,98.0531789069442,93.3205891302661,0.123859254187867,0.236133718463312,0.973047614264985,12,12,2018,11
"University of Minnesota Medical Center, Fairview (MNUM)",MNUM,TX1,2019-01-06 18:00:00,KI,7,14,23,98.3293556085919,96.5212531343464,93.8666666666667,98.6801234146387,96.1494159322326,90.2878969297094,5.5260955059034,15.0347386457425,37.4093920198777,419,419,375,1,2,3,97.3684210526316,94.7368421052632,98.9993481625916,98.1204985343842,90.8671504909062,0.381538914704931,0.672731647685984,0.998704750969612,38,38,2018,11
Barnes-Jewish Hospital (MOBH),MOBH,TX1,2019-01-06 18:00:00,KI,10,18,54,98.2046678635547,96.5796835205211,89.4941634241245,98.5867061293078,95.8357963363788,88.5331645029998,7.82847946443712,21.6755848378142,59.8976558281421,557,557,514,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,11
Cardinal Glennon Children's Hospital (MOCG),MOCG,TX1,2019-01-06 18:00:00,KI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,100,98.8665337445412,97.7758973645512,91.3927667740009,0.125410582817563,0.247531659834843,0.739630718486729,11,11,2018,11
St. Louis Children's Hospital (MOCH),MOCH,TX1,2019-01-06 18:00:00,KI,0,0,0,0,0,100,0,0,93.7527037463271,0,0,0.194238820294196,0,0,3,0,1,3,100,92.8571428571429,98.9260008559019,97.9301911260441,91.9067001350921,0.172805629118458,0.322808311281906,1.56076075866537,16,16,2018,11
Children's Mercy Hospital (MOCM),MOCM,TX1,2019-01-06 18:00:00,KI,0,0,0,100,100,100,99.2983214347867,98.1175951505536,93.982671008991,0.00704151905983167,0.0190034761668754,0.188038519271203,1,1,3,0,0,0,100,100,98.8872179571884,97.8295647598531,92.166421908593,0.49245038302869,0.928806258166761,2.1408906146094,44,44,2018,11
St Luke's Hospital of Kansas City (MOLH),MOLH,TX1,2019-01-06 18:00:00,KI,1,5,3,99.3333333333333,96.4403669724771,95.5882352941177,98.5656001023065,95.7185581055566,88.6956285611521,2.16823366732751,6.02424501069693,8.09627301938197,150,150,68,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,11
Research Medical Center (MORH),MORH,TX1,2019-01-06 18:00:00,KI,3,7,17,98.1481481481481,95.387382132789,87.1212121212121,98.6095762845914,95.9123853091841,87.7593287236366,2.25097669846314,6.25537149238463,15.9807509353542,162,162,132,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,11
SSM Health Saint Louis University Hospital (MOSL),MOSL,TX1,2019-01-06 18:00:00,KI,1,3,8,99.1803278688525,97.3360655737705,90.6976744186047,98.4620056533626,95.4287325651031,86.8165836482057,1.87896366345326,5.2670610590763,11.8142930738604,122,122,86,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,11
University of Missouri Hospital and Clinics (MOUM),MOUM,TX1,2019-01-06 18:00:00,KI,2,5,4,95.8333333333333,89.5833333333333,87.5,98.7031510377278,96.1456976283896,89.2581039582668,0.607710307334815,1.67067919047664,3.41746243031057,48,48,32,0,0,1,100,100,98.7837968939525,97.5612277833438,91.8780805218614,0.0856561561285346,0.16546028623074,0.470193887925237,7,7,2018,11
University of Mississippi Medical Center (MSUM),MSUM,TX1,2019-01-06 18:00:00,KI,5,20,35,98.2758620689655,92.4384236453202,83.5680751173709,97.984820174042,94.0174517984631,86.4920875240812,5.86295660543821,16.2771470726984,28.3901971054122,290,290,213,0,0,1,100,100,98.7837968939525,97.5612277833438,85.6311028213821,0.0489463749305912,0.0987601112577536,0.869513378924754,4,4,2018,11
Wake Forest Baptist Medical Center (NCBG),NCBG,TX1,2019-01-06 18:00:00,KI,18,26,56,95.3125,93.0222130242826,85.0267379679144,97.8987278228857,93.7938642551041,85.6922328704585,7.84017681807131,22.2798454132735,53.5795462306356,384,384,374,0,0,1,100,100,98.888809050469,97.8336930210302,90.6039756783888,0.145287796162077,0.260827141698914,0.885735832999238,13,13,2018,11
Carolinas Medical Center (NCCM),NCCM,TX1,2019-01-06 18:00:00,KI,3,7,16,98.7551867219917,97.0228215767635,93.2203389830509,98.8413021982247,96.5538470827909,90.6642163496383,2.79166761253586,7.9412638172886,22.3911070204504,241,241,236,0,0,2,100,100,99.0113232330716,98.1515691316642,91.3883729799403,0.159017706756114,0.294914809951439,2.31106163340897,16,16,2018,11
Duke University Hospital (NCDU),NCDU,TX1,2019-01-06 18:00:00,KI,12,20,28,96.6101694915254,94.179477072658,89.1050583657588,98.3418226034479,95.1289172864413,87.9876520125705,5.7216811580293,15.7480662541588,31.4839340396225,354,354,257,0,0,0,100,100,98.9354811200319,97.9547886822241,89.338525084174,0.128455228308648,0.234956557179486,1.02527417767812,12,12,2018,11
Vidant Medical Center (NCEC),NCEC,TX1,2019-01-06 18:00:00,KI,3,8,26,98.2758620689655,95.1967105877955,88.1278538812785,97.9842940403269,94.0473526611973,83.8471786953067,3.52785241076811,9.65508145742449,37.4120993292369,174,174,219,0,1,2,100,80,98.8748074296001,97.797364322672,86.5079854273802,0.0565869945424577,0.0859104905422674,1.19575576140078,5,5,2018,11
University of North Carolina Hospitals (NCMH),NCMH,TX1,2019-01-06 18:00:00,KI,1,7,14,99.492385786802,95.6834791374158,91.1392405063291,98.6159475116959,95.9164877411929,90.560054206134,2.74468651505586,7.48176312562295,14.6087017721304,197,197,158,0,1,0,100,95.4545454545455,98.8044811065997,97.6148951786457,90.9551939975623,0.26460908799747,0.462640293671527,1.24377084768708,22,22,2018,11
Sanford Bismarck Medical Center (NDMC),NDMC,TX1,2019-01-06 18:00:00,KI,2,5,2,96.2962962962963,90.3880070546737,95.3488372093023,98.7477309257049,96.3381886051068,90.3166023700501,0.677522458382532,1.86363742341475,4.39391840390252,54,54,43,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,11
Sanford Medical Center Fargo (NDSL),NDSL,TX1,2019-01-06 18:00:00,KI,1,4,2,98.3870967741936,93.5483870967742,96.7741935483871,98.5397775061656,95.6687734421749,88.114654285132,0.906293890892059,2.48938734867692,7.73380362612952,62,62,62,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,11
The Nebraska Medical Center (NEUN),NEUN,TX1,2019-01-06 18:00:00,KI,6,10,31,97.9238754325259,96.2878355225585,90.3426791277259,98.79970529093,96.4691730672384,89.0686889084146,3.42372717633489,9.21802733022914,35.4065527770853,289,289,321,0,0,3,100,100,98.986042528725,98.0859756485175,92.2087370330429,0.18349089422141,0.318294089585671,1.39453774720451,18,18,2018,11
Mary Hitchcock Memorial Hospital (NHDH),NHDH,TX1,2019-01-06 18:00:00,KI,1,2,7,98.8505747126437,97.7011494252874,91.358024691358,98.8608707568437,96.7551909327228,90.2370173583152,0.998946652020682,2.75700837156398,7.8032735825022,87,87,81,0,0,0,100,100,99.2388495721906,98.7419104799847,91.1735196390439,0.00764061961186649,0.0126607047524487,0.186108042212129,1,1,2018,11
Newark Beth Israel Medical Center (NJBI),NJBI,TX1,2019-01-06 18:00:00,KI,0,0,2,0,0,95.5555555555555,0,0,89.6968399863367,0,0,4.8811243908818,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,11
Hackensack University Medical Center (NJHK),NJHK,TX1,2019-01-06 18:00:00,KI,1,3,5,99.0476190476191,96.6311300639659,82.1428571428571,98.6217208697787,95.9398948317439,88.41112578497,1.44980897543954,3.77197527677074,2.77804166979247,105,105,28,0,0,0,100,100,98.8596390069922,97.758008232784,87.6715282699572,0.0688235882751055,0.114001118413653,0.395365081005836,6,6,2018,11
Our Lady of Lourdes Medical Center (NJLL),NJLL,TX1,2019-01-06 18:00:00,KI,1,4,6,98.8095238095238,94.5200302343159,92.2077922077922,98.500286295354,95.5539430084861,88.0992764749115,1.27087868993047,3.52246364249722,9.43552287532391,84,84,77,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,11
Robert Wood Johnson University Hospital (NJRW),NJRW,TX1,2019-01-06 18:00:00,KI,2,6,12,98.1132075471698,94.2252715837622,90.3225806451613,98.5744703143817,95.7992518414759,89.5879912428745,1.50587474267777,4.38397158133932,13.1692266911015,106,106,124,0,0,0,100,100,98.8488044194151,97.7298967400068,88.7288361289392,0.0810601820077533,0.160800871639079,0.966572252429541,7,7,2018,11
Saint Barnabas Medical Center (NJSB),NJSB,TX1,2019-01-06 18:00:00,KI,9,25,77,98.8296488946684,96.4887240144647,87.0588235294118,98.7068175839663,96.2422894661456,89.8003954700949,10.0012740521141,26.9960251573261,60.0962103200313,769,769,595,0,0,0,100,100,98.9923627048116,98.1023740193042,90.7254325261198,0.243122534254953,0.424921904107832,1.71840008950481,24,24,2018,11
"University Hospital, University of New Mexico Health Sciences Center (NMAQ)",NMAQ,TX1,2019-01-06 18:00:00,KI,0,5,7,100,93.7271062271062,90.4109589041096,98.5462283142462,95.6690879935396,89.1969474478335,1.33577987048429,3.72501246368829,7.77285027596182,91,91,73,0,0,1,100,100,98.7837968939525,97.5612277833438,91.516059263236,0.0856561561285346,0.16546028623074,1.08998215990689,7,7,2018,11
Presbyterian Hospital (NMPH),NMPH,TX1,2019-01-06 18:00:00,KI,0,3,12,100,97.1153846153846,88.1188118811881,98.717467743351,96.2078925482677,89.6535918536675,1.34521554736488,3.68333971801946,10.1270638830794,104,104,101,0,0,0,100,100,98.7837968939525,97.5612277833438,89.1575076740248,0.0122365937326478,0.0173201193441092,0.114765631270449,1,1,2018,11
University Medical Center of Southern Nevada (NVUM),NVUM,TX1,2019-01-06 18:00:00,KI,3,5,9,98.2857142857143,97.1428571428571,93.9189189189189,98.8615805423665,96.5892090008417,90.7646480018199,1.98200200359902,5.57401698718634,13.8587724344125,175,175,148,0,0,1,0,0,0,0,83.5872825005934,0,0,0.241834986393093,0,0,2018,11
Albany Medical Center Hospital (NYAM),NYAM,TX1,2019-01-06 18:00:00,KI,0,1,4,100,98.9690721649485,96.551724137931,98.7574812374197,96.3026908533852,90.2300369760088,1.62814180433449,4.5209622081213,11.7548437921257,130,130,116,0,0,0,100,100,99.0113232330716,98.1515691316642,89.3124123131973,0.0397544266890286,0.0727559398419454,0.797920911064244,4,4,2018,11
Long Island Jewish Medical Center-Cohen Children's Medical Center (NYCC),NYCC,TX1,2019-01-06 18:00:00,KI,0,0,0,100,100,0,99.276436084776,97.8033819875236,0,0.00726194335114284,0.0155221309686179,0,1,1,0,0,0,0,100,100,98.9658179652477,98.0335008620002,0,0.0519910204216764,0.0807606254238966,0,5,5,2018,11
NY Presbyterian Hospital/Columbia Univ. Medical Center (NYCP),NYCP,TX1,2019-01-06 18:00:00,KI,4,12,70,99.1031390134529,97.1960208236689,86.3813229571984,98.5464607638719,95.7873986844317,89.6103881334279,6.4954094324388,17.9437222827668,50.9456128677325,446,446,514,0,0,1,100,100,98.9238131026411,97.9245147669256,91.3072176893418,0.140691822041296,0.246852293345095,0.878340512623579,13,13,2018,11
"State University of New York, Downstate Medical Center (NYDS)",NYDS,TX1,2019-01-06 18:00:00,KI,2,9,19,98.1481481481481,90.6666666666667,71.2121212121212,98.0729567604672,94.3058107402754,84.9670287250348,2.09710850215069,5.5547972226865,8.73185901133357,108,108,66,0,0,2,100,100,98.7837968939525,97.5612277833438,84.6273330903127,0.0367097811979434,0.0740700834433152,0.655997986283223,3,3,2018,11
Erie County Medical Center (NYEC),NYEC,TX1,2019-01-06 18:00:00,KI,7,26,20,97.8193146417446,91.490481135341,87.5,98.0395818889668,94.1903800322192,88.0271135634254,6.28676046653811,16.7889425384489,19.2651708011681,321,321,160,0,0,0,100,100,98.897560063512,97.856398457504,0,0.0443504008098099,0.0867307881957639,0,4,4,2018,11
"Strong Memorial Hospital, University of Rochester Medical Center (NYFL)",NYFL,TX1,2019-01-06 18:00:00,KI,2,6,16,98.7878787878788,96.3636363636364,88.2352941176471,98.5249352844202,95.705788667343,90.0905046643155,2.45424699474066,6.56721501604186,13.4904246650155,165,165,136,0,0,0,100,100,98.9354811200319,97.9547886822241,88.3824056243861,0.0321138070771621,0.0620407603813255,1.7670202669976,3,3,2018,11
Montefiore Medical Center (NYMA),NYMA,TX1,2019-01-06 18:00:00,KI,3,22,37,99.1549295774648,93.5507280973979,88.2911392405063,98.1027123368071,94.3881502313749,85.901192513086,6.79410976710893,19.2910596052002,45.019078746123,355,355,316,0,1,5,100,95.4545454545455,98.8251653192469,97.6685625739475,88.5731852779709,0.260013113876689,0.477418862786535,2.43860315601708,22,22,2018,11
Mount Sinai Medical Center (NYMS),NYMS,TX1,2019-01-06 18:00:00,KI,4,13,41,99.0338164251208,96.6580142764439,89.3229166666667,98.9180860992496,96.8902560380061,90.4864802533604,4.4930274571398,12.2344603017512,35.8407074688496,414,414,384,1,1,3,97.1428571428571,97.1428571428571,98.9918209754328,98.1009684446654,90.6024154027433,0.35015335558611,0.63606910425422,3.57315859094551,35,35,2018,11
North Shore University Hospital/Northwell Health (NYNS),NYNS,TX1,2019-01-06 18:00:00,KI,1,2,9,99.1452991452991,98.2905982905983,85.7142857142857,98.44602399386,95.4644049715243,90.9166092850669,1.83611165734989,4.88973598015686,5.51674594313264,117,117,63,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,11
New York-Presbyterian Hospital/Weill Cornell Medical Center (NYNY),NYNY,TX1,2019-01-06 18:00:00,KI,5,23,44,99.0530303030303,95.5676432572167,91.1823647294589,98.7979963194894,96.5670736411246,91.2205240425801,6.34880350932145,16.7553306026566,43.3954753941559,528,528,499,0,0,2,100,100,99.0871653461112,98.3483495811044,91.209801132691,0.0550356659127616,0.0907074408765136,1.40797631657425,6,6,2018,11
University Hospital of State University of New York at Stony Brook (NYSB),NYSB,TX1,2019-01-06 18:00:00,KI,1,14,24,99.4897959183673,92.4744897959184,84.7133757961784,98.0042014609655,94.1007379195079,85.7389435760439,3.9633748710335,11.0539563114979,23.0146966922907,196,196,157,0,0,0,100,100,98.7837968939525,97.5612277833438,92.0319920466346,0.061182968663239,0.116080230601863,0.416114997468364,5,5,2018,11
New York University Medical Center (NYUC),NYUC,TX1,2019-01-06 18:00:00,KI,7,19,7,97.2762645914397,91.6027215616373,89.3939393939394,97.4663957555883,92.5701173201455,87.3255057110469,6.52987479794516,17.8086127153605,8.69118820682782,257,257,66,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,11
State University of New York Upstate Medical University (NYUM),NYUM,TX1,2019-01-06 18:00:00,KI,8,17,10,96.2616822429907,91.9591976293595,91.8032786885246,98.3326545010624,95.0553192763493,89.1477162015863,3.52559002283968,9.64759388325781,13.343524677712,214,214,122,0,0,2,100,100,98.9658179652477,98.0335008620002,89.3527433222006,0.103982040843353,0.189467552134267,0.774073125237195,10,10,2018,11
James J. Peters VA Medical Center (NYVA),NYVA,TX1,2019-01-06 18:00:00,KI,1,2,0,83.3333333333333,66.6666666666667,0,97.8252496279293,93.5989064679821,0,0.130959460270301,0.24740918808167,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,11
Westchester Medical Center (NYWC),NYWC,TX1,2019-01-06 18:00:00,KI,2,6,7,98.019801980198,93.5122459614382,88.8888888888889,98.4888163085862,95.5586246365983,89.4498653840996,1.53796225924416,4.1432066354045,6.54374138255539,101,101,63,1,1,0,87.5,87.5,99.0113232330716,98.1515691316642,90.1184141825039,0.0701370763935373,0.125632193909409,0.841228182189103,8,8,2018,11
The Cleveland Clinic Foundation (OHCC),OHCC,TX1,2019-01-06 18:00:00,KI,8,21,34,97.5384615384615,93.182960465829,89.8809523809524,98.805935725696,96.5351904321462,89.8457668545168,3.88364015723245,10.4869769920781,33.6699598012215,325,325,336,1,1,1,90.9090909090909,90.9090909090909,98.8251653192469,97.6685625739475,88.6520144007202,0.127113768270073,0.236844851676441,0.931791647695207,11,11,2018,11
Nationwide Children's Hospital (OHCH),OHCH,TX1,2019-01-06 18:00:00,KI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,100,100,99.0568285008954,98.2696374013283,91.7119699802938,0.142185138902685,0.252771075896511,1.29505125801334,15,15,2018,11
Children's Hospital Medical Center (OHCM),OHCM,TX1,2019-01-06 18:00:00,KI,0,0,0,100,100,100,99.0959904024502,97.3509597988594,91.3540047286181,0.0181811234744461,0.0538936479222418,1.10231819959792,2,2,12,0,0,2,100,100,99.0073315429116,98.1412122659042,93.0493101688198,0.568798567379048,1.0126724118225,2.87177255352419,57,57,2018,11
University of Toledo Medical Center (OHCO),OHCO,TX1,2019-01-06 18:00:00,KI,3,9,31,98.2658959537572,94.4632535094963,84.7290640394089,98.7202633655682,96.2036345893405,87.5592232121616,2.21757727539838,6.27661072968616,24.4621669977168,173,173,203,0,0,1,0,0,0,0,87.2213277697134,0,0,0.110932453163053,0,0,2018,11
Ohio State University Medical Center (OHOU),OHOU,TX1,2019-01-06 18:00:00,KI,4,23,63,99.2409867172676,95.2525440078256,85.4166666666667,98.6813363439423,96.1389051163969,89.8052976420494,6.98370619849374,19.2272443473262,42.7653588575081,527,527,432,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,11
