ENTIRE_NAME,CTR_CD,CTR_TY,RELEASE_DATE,ORG,GSR_AD_OBS_C1M,GSR_AD_OBS_C1Y,GSR_AD_OBS_C3Y,GSR_AD_ACT_C1M,GSR_AD_ACT_C1Y,GSR_AD_ACT_C3Y,GSR_AD_ADJ_C1M,GSR_AD_ADJ_C1Y,GSR_AD_ADJ_C3Y,GSR_AD_EXP_C1M,GSR_AD_EXP_C1Y,GSR_AD_EXP_C3Y,GSR_AD_N_C1M,GSR_AD_N_C1Y,GSR_AD_N_C3Y,GSR_P0_OBS_C1M,GSR_P0_OBS_C1Y,GSR_P0_OBS_C3Y,GSR_P0_ACT_C1M,GSR_P0_ACT_C1Y,GSR_P0_ACT_C3Y,GSR_P0_ADJ_C1M,GSR_P0_ADJ_C1Y,GSR_P0_ADJ_C3Y,GSR_P0_EXP_C1M,GSR_P0_EXP_C1Y,GSR_P0_EXP_C3Y,GSR_P0_N_C1M,GSR_P0_N_C1Y,YEAR,MONTH
University of Iowa Hospitals and Clinics (IAIV) , IAIV , TX1 , 2014/06/17 , Lung , 1 , 1 , 9 ,97.22,97.22, 79.00 , 97.03 , 88.73 , 69.19 , 1.09 , 3.91 , 13.60 , 36 , 36 , 43 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,6
Loyola University Medical Center (ILLU) , ILLU , TX1 , 2014/06/17 , Lung , 1 , 9 , 32 ,98.44,84.09, 67.24 , 96.40 , 86.52 , 65.08 , 2.35 , 8.39 , 35.45 , 64 , 64 , 100 , 1 , 1 , 1 , 0.00 , 0.00 , 50.00 ,0,0,0,0,0,0, 1 , 1 ,2014,6
University of Chicago Medical Center (ILUC) , ILUC , TX1 , 2014/06/17 , Lung , 2 , 6 , 17 ,93.33,78.13, 55.26 , 96.38 , 86.49 , 66.15 , 1.03 , 3.22 , 10.08 , 30 , 30 , 38 ,0,0, 0 ,0,0, 100.00 ,0,0,0,0,0,0,0,0,2014,6
Indiana University Health (INIM) , INIM , TX1 , 2014/06/17 , Lung , 4 , 12 , 27 ,96.49,88.8, 67.11 , 97.24 , 89.51 , 68.67 , 3.11 , 11.23 , 25.03 , 114 , 114 , 83 , 0 , 0 ,0, 100.00 , 100.00 ,0,0,0,0,0,0,0, 1 , 1 ,2014,6
Jewish Hospital (KYJH) , KYJH , TX1 , 2014/06/17 , Lung , 2 , 7 , 7 ,95.24,82.02, 66.67 , 96.18 , 85.73 , 70.77 , 1.62 , 5.49 , 5.87 , 42 , 42 , 21 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,6
University of Kentucky Medical Center (KYUK) , KYUK , TX1 , 2014/06/17 , Lung , 1 , 6 , 13 ,97.96,87.06, 55.17 , 95.99 , 85.08 , 68.10 , 2.02 , 6.93 , 7.35 , 49 , 49 , 29 , 0 , 0 ,0, 100.00 , 100.00 ,0,0,0,0,0,0,0, 4 , 4 ,2014,6
Ochsner Foundation Hospital (LAOF) , LAOF , TX1 , 2014/06/17 , Lung , 2 , 8 , 5 ,96,83.11, 63.82 , 97.05 , 88.83 , 68.60 , 1.46 , 4.79 , 4.60 , 50 , 50 , 15 , 0 , 0 ,0, 100.00 , 100.00 ,0,0,0,0,0,0,0, 2 , 2 ,2014,6
Boston Children's Hospital (MACH) , MACH , TX1 , 2014/06/17 , Lung , 0 , 0 , 2 ,100,100, 50.00 , 96.43 , 86.44 , 69.01 , 0.04 , 0.15 , 1.11 , 1 , 1 , 4 , 0 , 0 , 4 , 100.00 , 100.00 , 66.67 ,0,0,0,0,0,0, 8 , 8 ,2014,6
Massachusetts General Hospital (MAMG) , MAMG , TX1 , 2014/06/17 , Lung , 2 , 4 , 7 ,91.3,81.84, 80.56 , 96.23 , 85.94 , 68.82 , 0.80 , 2.75 , 12.17 , 23 , 23 , 36 ,0,0, 0 ,0,0, 100.00 ,0,0,0,0,0,0,0,0,2014,6
Brigham and Women's Hospital (MAPB) , MAPB , TX1 , 2014/06/17 , Lung , 4 , 13 , 18 ,94.03,79.5, 78.64 , 96.10 , 85.51 , 67.70 , 2.58 , 8.56 , 28.61 , 67 , 67 , 85 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,6
Johns Hopkins Hospital (MDJH) , MDJH , TX1 , 2014/06/17 , Lung , 2 , 7 , 15 ,96.92,88.88, 71.10 , 96.48 , 86.82 , 62.06 , 2.28 , 7.80 , 20.48 , 65 , 65 , 52 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,6
University of Maryland Medical System (MDUM) , MDUM , TX1 , 2014/06/17 , Lung , 1 , 5 , 27 ,98.28,91.03, 57.68 , 96.38 , 86.49 , 60.69 , 2.14 , 7.18 , 23.87 , 58 , 58 , 64 , 0 , 0 ,0, 100.00 , 100.00 ,0,0,0,0,0,0,0, 1 , 1 ,2014,6
Henry Ford Hospital (MIHF) , MIHF , TX1 , 2014/06/17 , Lung , 2 , 3 , 12 ,92.86,88.21, 54.58 , 95.98 , 85.13 , 66.11 , 1.12 , 3.89 , 7.64 , 28 , 28 , 27 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,6
Spectrum Health (MISH) , MISH , TX1 , 2014/06/17 , Lung , 0 , 1 ,0,100,87.5,0, 96.17 , 85.58 ,0, 0.31 , 0.73 ,0, 8 , 8 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,6
University of Michigan Medical Center (MIUM) , MIUM , TX1 , 2014/06/17 , Lung , 0 , 1 , 21 ,100,97.3, 74.05 , 97.19 , 89.31 , 68.67 , 1.86 , 6.56 , 25.57 , 65 , 65 , 81 ,0,0, 0 ,0,0, 100.00 ,0,0,0,0,0,0,0,0,2014,6
Saint Marys Hospital (Mayo Clinic) (MNSM) , MNSM , TX1 , 2014/06/17 , Lung , 2 , 7 , 12 ,92,70.57, 68.82 , 94.73 , 81.37 , 70.68 , 1.36 , 3.87 , 10.71 , 25 , 25 , 39 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,6
"University of Minnesota Medical Center, Fairview (MNUM) ", MNUM , TX1 , 2014/06/17 , Lung , 0 , 6 , 12 ,100,89.55, 78.95 , 96.24 , 85.90 , 67.68 , 2.35 , 8.49 , 19.72 , 61 , 61 , 57 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,6
Barnes-Jewish Hospital (MOBH) , MOBH , TX1 , 2014/06/17 , Lung , 9 , 23 , 40 ,94.71,85.41, 70.94 , 96.58 , 87.14 , 67.41 , 5.77 , 20.42 , 47.27 , 170 , 170 , 138 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,6
St. Louis Children's Hospital (MOCH) , MOCH , TX1 , 2014/06/17 , Lung , 1 , 1 , 2 ,0,0, 53.33 , 97.35 , 89.81 , 58.66 , 0.00 , 0.00 , 2.34 , 1 , 1 , 5 , 1 , 5 , 16 , 96.15 , 79.64 , 52.38 ,0,0,0,0,0,0, 26 , 26 ,2014,6
Duke University Hospital (NCDU) , NCDU , TX1 , 2014/06/17 , Lung , 8 , 46 , 79 ,97.46,83.66, 66.32 , 95.20 , 82.44 , 62.69 , 15.38 , 52.14 , 93.14 , 315 , 315 , 237 , 0 , 1 , 5 , 100.00 , 50.00 , 44.44 ,0,0,0,0,0,0, 3 , 3 ,2014,6
University of North Carolina Hospitals (NCMH) , NCMH , TX1 , 2014/06/17 , Lung , 0 , 3 , 16 ,100,83.59, 51.14 , 96.08 , 85.47 , 64.94 , 0.76 , 2.74 , 9.25 , 19 , 19 , 33 , 0 , 1 , 2 , 100.00 , 50.00 , 60.00 ,0,0,0,0,0,0, 2 , 2 ,2014,6
Newark Beth Israel Medical Center (NJBI) , NJBI , TX1 , 2014/06/17 , Lung , 5 , 10 , 10 ,80.77,61.3, 43.75 , 96.04 , 85.31 , 68.56 , 0.93 , 2.74 , 4.84 , 26 , 26 , 18 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,6
NY Presbyterian Hospital/Columbia Univ. Medical Center (NYCP) , NYCP , TX1 , 2014/06/17 , Lung , 5 , 9 , 32 ,96.77,94.17, 74.67 , 96.38 , 86.42 , 67.76 , 5.67 , 20.31 , 44.22 , 155 , 155 , 128 , 0 , 0 , 2 , 100.00 , 100.00 , 50.00 ,0,0,0,0,0,0, 2 , 2 ,2014,6
The Cleveland Clinic Foundation (OHCC) , OHCC , TX1 , 2014/06/17 , Lung , 9 , 32 , 131 ,96.46,86.65, 56.56 , 96.02 , 85.19 , 64.86 , 10.22 , 35.25 , 102.38 , 254 , 254 , 302 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,6
Nationwide Children's Hospital (OHCH) , OHCH , TX1 , 2014/06/17 , Lung , 0 , 0 , 3 ,100,100, 0.00 , 98.36 , 93.61 , 70.04 , 0.05 , 0.18 , 0.84 , 3 , 3 , 3 , 0 , 0 , 0 , 100.00 , 100.00 , 100.00 ,0,0,0,0,0,0, 3 , 3 ,2014,6
Ohio State University Medical Center (OHOU) , OHOU , TX1 , 2014/06/17 , Lung ,0,0, 1 ,0,0, 50.00 ,0,0, 72.21 ,0,0, 0.42 ,0,0, 2 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,6
University Hospitals of Cleveland (OHUH) , OHUH , TX1 , 2014/06/17 , Lung , 1 , 1 , 7 ,66.67,66.67, 50.00 , 96.70 , 87.47 , 69.04 , 0.08 , 0.32 , 3.41 , 3 , 3 , 14 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,6
Integris Baptist Medical Center (OKBC) , OKBC , TX1 , 2014/06/17 , Lung , 1 , 2 , 13 ,97.56,95.12, 60.29 , 96.86 , 88.12 , 65.74 , 1.31 , 4.60 , 11.61 , 41 , 41 , 33 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,6
Allegheny General Hospital (PAAG) , PAAG , TX1 , 2014/06/17 , Lung ,0,0, 3 ,0,0, 25.00 ,0,0, 56.24 ,0,0, 1.08 ,0,0, 4 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,6
Children's Hospital of Pittsburgh of UPMC (PACH) , PACH , TX1 , 2014/06/17 , Lung , 0 , 0 ,0,100,100,0, 97.35 , 89.81 ,0, 0.03 , 0.07 ,0, 1 , 1 ,0, 0 , 1 , 0 , 100.00 , 75.00 , 100.00 ,0,0,0,0,0,0, 5 , 5 ,2014,6
Children's Hospital of Philadelphia (PACP) , PACP , TX1 , 2014/06/17 , Lung , 0 , 0 , 1 ,100,100, 50.00 , 96.32 , 86.06 , 69.69 , 0.04 , 0.15 , 0.61 , 1 , 1 , 2 , 2 , 2 , 4 , 60.00 , 60.00 , 50.00 ,0,0,0,0,0,0, 5 , 5 ,2014,6
University of Pittsburgh Medical Center (PAPT) , PAPT , TX1 , 2014/06/17 , Lung , 8 , 40 , 103 ,96.93,83.34, 67.51 , 96.42 , 86.70 , 66.68 , 9.45 , 31.61 , 104.96 , 261 , 261 , 319 , 1 , 1 ,0, 50.00 , 50.00 ,0,0,0,0,0,0,0, 2 , 2 ,2014,6
Temple University Hospital (PATU) , PATU , TX1 , 2014/06/17 , Lung , 1 , 3 , 24 ,96.97,90.91, 55.56 , 95.07 , 81.96 , 61.06 , 1.67 , 5.54 , 18.88 , 33 , 33 , 54 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,6
Hospital of the University of Pennsylvania (PAUP) , PAUP , TX1 , 2014/06/17 , Lung , 8 , 18 , 37 ,93.55,84.41, 69.64 , 96.61 , 87.20 , 67.30 , 4.09 , 13.98 , 39.23 , 124 , 124 , 122 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,6
Medical University of South Carolina (SCMU) , SCMU , TX1 , 2014/06/17 , Lung , 2 , 2 ,0,81.82,81.82,0, 95.42 , 83.53 ,0, 0.38 , 1.28 ,0, 11 , 11 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,6
Baptist Memorial Hospital (TNBM) , TNBM , TX1 , 2014/06/17 , Lung , 1 , 5 , 11 ,83.33,16.67, 35.29 , 96.98 , 88.52 , 69.72 , 0.18 , 0.43 , 3.63 , 6 , 6 , 17 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,6
Vanderbilt University Medical Center (TNVU) , TNVU , TX1 , 2014/06/17 , Lung , 0 , 1 , 11 ,100,97.87, 74.87 , 96.88 , 88.14 , 64.38 , 1.49 , 5.26 , 17.46 , 47 , 47 , 44 , 0 , 0 ,0, 100.00 , 100.00 ,0,0,0,0,0,0,0, 1 , 1 ,2014,6
"University Hospital, University of Texas Health Science Center (TXBC) ", TXBC , TX1 , 2014/06/17 , Lung , 4 , 11 , 24 ,94.94,84.37, 68.76 , 96.52 , 86.88 , 63.70 , 2.69 , 9.28 , 29.36 , 79 , 79 , 78 , 0 , 0 ,0, 100.00 , 100.00 ,0,0,0,0,0,0,0, 1 , 1 ,2014,6
CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI) , TXHI , TX1 , 2014/06/17 , Lung , 2 , 4 , 7 ,92.59,84.66, 54.55 , 96.14 , 85.53 , 67.88 , 1.03 , 3.50 , 4.72 , 27 , 27 , 16 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,6
University of Texas Medical Branch at Galveston (TXJS) , TXJS , TX1 , 2014/06/17 , Lung , 2 , 3 , 3 ,88.89,81.48, 72.73 , 96.11 , 85.56 , 72.77 , 0.67 , 2.50 , 3.12 , 18 , 18 , 11 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,6
The Methodist Hospital (TXMH) , TXMH , TX1 , 2014/06/17 , Lung , 21 , 70 , 74 ,92.93,74.99, 63.13 , 93.96 , 78.44 , 59.73 , 18.05 , 58.47 , 82.28 , 297 , 297 , 203 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,6
University Hospital - St. Paul (TXSP) , TXSP , TX1 , 2014/06/17 , Lung , 8 , 17 , 16 ,94.29,86.94, 65.96 , 96.29 , 86.15 , 66.79 , 5.16 , 18.02 , 15.14 , 140 , 140 , 47 , 0 , 0 ,0, 100.00 , 100.00 ,0,0,0,0,0,0,0, 1 , 1 ,2014,6
Scott and White Memorial Hospital (TXSW) , TXSW , TX1 , 2014/06/17 , Lung , 0 , 1 ,0,100,50,0, 95.86 , 84.65 ,0, 0.25 , 0.71 ,0, 6 , 6 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,6
Texas Children's Hospital (TXTC) , TXTC , TX1 , 2014/06/17 , Lung , 0 , 0 , 4 ,100,100, 42.86 , 98.67 , 94.78 , 51.56 , 0.04 , 0.16 , 3.64 , 3 , 3 , 7 , 0 , 1 , 12 , 100.00 , 96.43 , 60.00 ,0,0,0,0,0,0, 28 , 28 ,2014,6
Baylor University Medical Center (TXTX) , TXTX , TX1 , 2014/06/17 , Lung , 2 , 7 , 11 ,96.49,86.67, 57.69 , 96.43 , 86.58 , 68.76 , 2.04 , 6.91 , 6.70 , 57 , 57 , 26 ,0,0, 0 ,0,0, 100.00 ,0,0,0,0,0,0,0,0,2014,6
University of Utah Medical Center (UTMC) , UTMC , TX1 , 2014/06/17 , Lung , 3 , 4 , 6 ,89.29,84.82, 68.42 , 96.94 , 88.43 , 70.93 , 0.79 , 2.83 , 4.45 , 28 , 28 , 19 ,0,0, 0 ,0,0, 100.00 ,0,0,0,0,0,0,0,0,2014,6
Inova Fairfax Hospital (VAFH) , VAFH , TX1 , 2014/06/17 , Lung , 1 , 3 , 22 ,98.15,93.95, 61.15 , 96.93 , 88.36 , 70.46 , 1.66 , 6.06 , 17.09 , 54 , 54 , 58 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,6
University of Virginia Health Sciences Center (VAUV) , VAUV , TX1 , 2014/06/17 , Lung , 1 , 2 , 24 ,97.5,95, 50.77 , 97.11 , 88.98 , 68.80 , 1.15 , 4.22 , 12.52 , 40 , 40 , 50 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,6
University of Washington Medical Center (WAUW) , WAUW , TX1 , 2014/06/17 , Lung , 3 , 13 , 38 ,97.46,88.01, 68.31 , 96.97 , 88.51 , 70.39 , 3.60 , 12.01 , 33.97 , 118 , 118 , 120 , 0 , 0 , 1 , 100.00 , 100.00 , 0.00 ,0,0,0,0,0,0, 1 , 1 ,2014,6
Froedtert Memorial Lutheran Hospital (WISE) , WISE , TX1 , 2014/06/17 , Lung , 0 , 0 , 0 ,100,100, 100.00 , 96.68 , 87.49 , 70.62 , 0.41 , 1.22 , 1.76 , 12 , 12 , 5 ,0,0, 0 ,0,0, 100.00 ,0,0,0,0,0,0,0,0,2014,6
Aurora St. Luke's Medical Center (WISL) , WISL , TX1 , 2014/06/17 , Lung , 1 , 2 , 10 ,83.33,66.67, 37.50 , 97.90 , 91.89 , 68.59 , 0.12 , 0.43 , 3.20 , 6 , 6 , 16 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,6
University of Wisconsin Hospital and Clinics (WIUW) , WIUW , TX1 , 2014/06/17 , Lung , 4 , 10 , 23 ,95.65,88.06, 74.97 , 96.62 , 87.23 , 71.47 , 3.12 , 10.84 , 24.82 , 92 , 92 , 92 ,0,0, 0 ,0,0, 100.00 ,0,0,0,0,0,0,0,0,2014,6
University of Alabama Hospital (ALUA) , ALUA , TX1 , 2014/12/16 , Lung , 5 , 11 , 16 ,90.91,80, 56.40 , 96.59 , 87.22 , 64.89 , 1.85 , 6.09 , 11.53 , 55 , 55 , 37 , 0 , 0 , 0 , 100.00 , 100.00 , 100.00 ,0,0,0,0,0,0, 1 , 1 ,2014,12
St. Joseph's Hospital and Medical Center (AZSJ) , AZSJ , TX1 , 2014/12/16 , Lung , 0 , 13 , 29 ,100,89.02, 55.21 , 96.80 , 87.92 , 63.54 , 4.83 , 16.90 , 22.54 , 148 , 148 , 65 ,0,0, 2 ,0,0, 0.00 ,0,0,0,0,0,0,0,0,2014,12
"University Medical Center, Univ of Arizona (AZUA) ", AZUA , TX1 , 2014/12/16 , Lung , 4 , 9 , 13 ,77.78,50, 65.26 , 96.95 , 88.40 , 65.57 , 0.47 , 1.27 , 12.69 , 18 , 18 , 38 , 0 , 0 ,0, 100.00 , 100.00 ,0,0,0,0,0,0,0, 1 , 1 ,2014,12
Childrens Hospital Los Angeles (CACL) , CACL , TX1 , 2014/12/16 , Lung ,0,0, 2 ,0,0, 0.00 ,0,0, 72.13 ,0,0, 0.35 ,0,0, 2 ,0,0, 3 ,0,0, 0.00 ,0,0,0,0,0,0,0,0,2014,12
Cedars-Sinai Medical Center (CACS) , CACS , TX1 , 2014/12/16 , Lung , 3 , 9 , 9 ,92.5,75.83, 80.25 , 96.56 , 87.07 , 65.81 , 1.32 , 4.64 , 17.75 , 40 , 40 , 46 , 0 , 0 ,0, 100.00 , 100.00 ,0,0,0,0,0,0,0, 1 , 1 ,2014,12
Lucile Salter Packard Children's Hospital at Stanford (CAPC) , CAPC , TX1 , 2014/12/16 , Lung , 0 , 0 ,0,100,100,0, 98.70 , 94.87 ,0, 0.01 , 0.05 ,0, 1 , 1 ,0, 0 , 0 , 1 , 100.00 , 100.00 , 75.00 ,0,0,0,0,0,0, 4 , 4 ,2014,12
University of California San Diego Medical Center (CASD) , CASD , TX1 , 2014/12/16 , Lung , 1 , 4 , 11 ,98.04,92.16, 74.28 , 97.13 , 89.02 , 67.17 , 1.48 , 5.19 , 14.37 , 51 , 51 , 43 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,12
University of California San Francisco Medical Center (CASF) , CASF , TX1 , 2014/12/16 , Lung , 2 , 4 , 23 ,98,95.77, 74.18 , 96.08 , 85.38 , 64.82 , 3.99 , 14.28 , 35.47 , 100 , 100 , 94 ,0,0, 1 ,0,0, 50.00 ,0,0,0,0,0,0,0,0,2014,12
Stanford University Medical Center (CASU) , CASU , TX1 , 2014/12/16 , Lung , 2 , 16 , 32 ,97.94,81.55, 63.51 , 96.09 , 85.41 , 63.81 , 3.89 , 12.79 , 32.41 , 97 , 97 , 88 ,0,0, 0 ,0,0, 100.00 ,0,0,0,0,0,0,0,0,2014,12
University of California at Los Angeles Medical Center (CAUC) , CAUC , TX1 , 2014/12/16 , Lung , 1 , 14 , 38 ,99.42,90.49, 72.10 , 96.61 , 87.22 , 68.19 , 5.95 , 20.65 , 45.29 , 172 , 172 , 137 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,12
Keck Hospital of USC (CAUH) , CAUH , TX1 , 2014/12/16 , Lung , 0 , 2 , 14 ,100,88.29, 63.16 , 96.94 , 88.42 , 69.08 , 0.72 , 2.24 , 11.23 , 23 , 23 , 38 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,12
University of Colorado Hospital/Health Science Center (COUC) , COUC , TX1 , 2014/12/16 , Lung , 3 , 10 , 20 ,95.59,83.98, 69.08 , 96.91 , 88.27 , 68.27 , 2.09 , 7.22 , 20.74 , 68 , 68 , 65 , 0 , 1 , 1 , 100.00 , 0.00 , 0.00 ,0,0,0,0,0,0, 1 , 1 ,2014,12
Florida Hospital Medical Center (FLFH) , FLFH , TX1 , 2014/12/16 , Lung , 0 , 1 ,0,100,93.75,0, 96.97 , 88.54 ,0, 0.71 , 2.49 ,0, 23 , 23 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,12
Jackson Memorial Hospital University of Miami School of Medicine (FLJM) , FLJM , TX1 , 2014/12/16 , Lung , 1 , 3 , 11 ,90.91,72.73, 50.00 , 96.49 , 86.74 , 66.61 , 0.37 , 1.18 , 6.63 , 11 , 11 , 22 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,12
Mayo Clinic Florida (FLSL) , FLSL , TX1 , 2014/12/16 , Lung , 2 , 8 , 45 ,98.17,91.81, 57.94 , 95.82 , 84.54 , 60.11 , 4.56 , 15.97 , 40.29 , 109 , 109 , 107 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,12
Tampa General Hospital (FLTG) , FLTG , TX1 , 2014/12/16 , Lung , 3 , 7 , 39 ,96.88,92.48, 68.36 , 96.41 , 86.53 , 62.78 , 3.48 , 13.06 , 48.26 , 96 , 96 , 125 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,12
Shands Hospital at The University of Florida (FLUF) , FLUF , TX1 , 2014/12/16 , Lung , 1 , 14 , 34 ,98.57,79.05, 56.84 , 95.23 , 82.41 , 55.10 , 3.38 , 11.70 , 35.29 , 70 , 70 , 79 , 1 , 1 ,0, 66.67 , 66.67 ,0,0,0,0,0,0,0, 3 , 3 ,2014,12
Emory University Hospital (GAEM) , GAEM , TX1 , 2014/12/16 , Lung , 5 , 15 , 21 ,94.19,81.67, 71.98 , 96.20 , 85.72 , 61.73 , 3.21 , 11.16 , 29.61 , 86 , 86 , 75 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,12
University of Iowa Hospitals and Clinics (IAIV) , IAIV , TX1 , 2014/12/16 , Lung , 1 , 3 , 8 ,97.37,91.35, 80.41 , 97.28 , 89.61 , 68.53 , 1.05 , 3.83 , 13.59 , 38 , 38 , 41 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,12
Loyola University Medical Center (ILLU) , ILLU , TX1 , 2014/12/16 , Lung , 1 , 11 , 29 ,98.63,81.46, 67.11 , 96.91 , 88.26 , 64.13 , 2.29 , 7.77 , 33.03 , 73 , 73 , 90 , 0 , 0 , 2 , 100.00 , 100.00 , 33.33 ,0,0,0,0,0,0, 1 , 1 ,2014,12
University of Chicago Medical Center (ILUC) , ILUC , TX1 , 2014/12/16 , Lung , 2 , 4 , 17 ,94.44,88.89, 48.48 , 96.95 , 88.33 , 63.86 , 1.06 , 3.61 , 8.53 , 36 , 36 , 33 ,0,0, 0 ,0,0, 100.00 ,0,0,0,0,0,0,0,0,2014,12
Indiana University Health (INIM) , INIM , TX1 , 2014/12/16 , Lung , 4 , 12 , 24 ,96.69,89.26, 71.94 , 97.54 , 90.53 , 68.54 , 2.94 , 10.64 , 27.33 , 121 , 121 , 86 , 0 , 0 ,0, 100.00 , 100.00 ,0,0,0,0,0,0,0, 1 , 1 ,2014,12
Jewish Hospital (KYJH) , KYJH , TX1 , 2014/12/16 , Lung , 2 , 7 , 7 ,95.74,83.6, 63.16 , 96.59 , 87.13 , 69.10 , 1.61 , 5.38 , 5.83 , 47 , 47 , 19 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,12
University of Kentucky Medical Center (KYUK) , KYUK , TX1 , 2014/12/16 , Lung , 1 , 4 , 11 ,97.92,91.67, 64.52 , 96.57 , 87.06 , 65.83 , 1.68 , 5.87 , 9.37 , 48 , 48 , 31 , 0 , 0 , 0 , 100.00 , 100.00 , 100.00 ,0,0,0,0,0,0, 4 , 4 ,2014,12
Ochsner Foundation Hospital (LAOF) , LAOF , TX1 , 2014/12/16 , Lung , 1 , 5 , 12 ,98,89.29, 51.45 , 97.33 , 89.78 , 68.07 , 1.34 , 4.50 , 7.30 , 50 , 50 , 26 ,0,0, 1 ,0,0, 50.00 ,0,0,0,0,0,0,0,0,2014,12
Boston Children's Hospital (MACH) , MACH , TX1 , 2014/12/16 , Lung , 0 , 0 , 3 ,100,100, 40.00 , 96.21 , 85.62 , 65.62 , 0.04 , 0.10 , 1.67 , 1 , 1 , 5 , 0 , 1 , 4 , 100.00 , 85.71 , 66.67 ,0,0,0,0,0,0, 9 , 9 ,2014,12
Massachusetts General Hospital (MAMG) , MAMG , TX1 , 2014/12/16 , Lung , 2 , 3 , 6 ,94.74,92.11, 81.25 , 96.17 , 85.67 , 69.07 , 1.42 , 4.38 , 10.91 , 38 , 38 , 32 ,0,0, 0 ,0,0, 100.00 ,0,0,0,0,0,0,0,0,2014,12
Brigham and Women's Hospital (MAPB) , MAPB , TX1 , 2014/12/16 , Lung , 2 , 9 , 20 ,96.72,84.28, 75.42 , 96.58 , 87.10 , 66.22 , 2.10 , 7.16 , 27.89 , 61 , 61 , 82 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,12
Johns Hopkins Hospital (MDJH) , MDJH , TX1 , 2014/12/16 , Lung , 3 , 10 , 17 ,95.45,84.29, 69.60 , 96.96 , 88.45 , 60.78 , 1.94 , 6.71 , 22.50 , 66 , 66 , 56 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,12
University of Maryland Medical System (MDUM) , MDUM , TX1 , 2014/12/16 , Lung , 1 , 5 , 27 ,98.36,91.37, 60.58 , 96.55 , 87.07 , 60.80 , 2.14 , 7.44 , 26.40 , 61 , 61 , 69 , 0 , 0 ,0, 100.00 , 100.00 ,0,0,0,0,0,0,0, 1 , 1 ,2014,12
Henry Ford Hospital (MIHF) , MIHF , TX1 , 2014/12/16 , Lung , 2 , 3 , 10 ,93.33,90, 60.90 , 96.30 , 86.09 , 65.40 , 1.11 , 3.96 , 8.01 , 30 , 30 , 26 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,12
Spectrum Health (MISH) , MISH , TX1 , 2014/12/16 , Lung , 0 , 2 ,0,100,84.62,0, 95.52 , 83.70 ,0, 0.60 , 1.65 ,0, 13 , 13 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,12
University of Michigan Medical Center (MIUM) , MIUM , TX1 , 2014/12/16 , Lung , 0 , 3 , 21 ,100,95.63, 72.32 , 97.47 , 90.31 , 67.80 , 2.03 , 7.29 , 24.87 , 79 , 79 , 76 ,0,0, 0 ,0,0, 100.00 ,0,0,0,0,0,0,0,0,2014,12
